N	2gram	Tiupa_Disk_1	OGranits
1	и в	16	13
2	и его	2	12
3	прежде всего	11	9
4	может быть	17	8
5	не может	9	8
6	и не	11	8
7	и т.п	12	7
8	в его	7	7
9	и их	1	7
10	точки зрения	3	7
11	эстетический объект	1	7
12	только в	7	6
13	как бы	5	6
14	не только	28	6
15	то что	5	6
16	мы должны	1	6
17	таким образом	3	6
18	языка и	2	5
19	и т.д	4	5
20	все же	3	5
21	с точки	1	5
22	в процессе	5	5
23	хотя бы	3	5
24	мы не	1	4
25	еще и	1	4
26	но в	8	4
27	вопроса о	1	4
28	мы можем	1	4
29	то же	7	4
30	лишь в	4	4
31	в своей	5	4
32	было бы	1	4
33	не является	4	4
34	в каждом	2	4
35	и то	1	3
36	в ее	3	3
37	самом деле	1	3
38	в пределах	2	3
39	так и	8	3
40	понятно что	1	3
41	говорить о	1	3
42	в их	5	3
43	по отношению	9	3
44	за пределы	2	3
45	с этим	3	3
46	в которой	1	3
47	в себе	7	3
48	к одному	1	3
49	не как	4	3
50	в одном	2	3
51	одно и	1	3
52	но и	14	3
53	как и	16	3
54	что же	2	3
55	не в	7	3
56	да и	1	3
57	но для	1	3
58	никогда не	2	3
59	и все	2	3
60	т.п и	1	3
61	отношению к	9	3
62	не столько	1	3
63	что в	4	3
64	для себя	4	2
65	и др	2	2
66	данном случае	2	2
67	в произведении	3	2
68	только его	1	2
69	и может	1	2
70	роль в	7	2
71	которое может	1	2
72	те же	1	2
73	мог бы	1	2
74	человеческой речи	1	2
75	не исчерпывается	1	2
76	и классификации	1	2
77	если бы	1	2
78	и композиция	1	2
79	к предмету	1	2
80	с самого	1	2
81	и должно	1	2
82	речи не	1	2
83	а также	8	2
84	в чем	1	2
85	высказывание и	1	2
86	между тем	4	2
87	что они	1	2
88	вслед за	1	2
89	наконец в	1	2
90	его на	1	2
91	как в	10	2
92	в данном	5	2
93	в этом	15	2
94	в лингвистике	3	2
95	в том	23	2
96	с ними	1	2
97	в действительности	3	2
98	или иного	1	2
99	от этого	1	2
100	которое мы	1	2
101	в целом	4	2
102	и тем	2	2
103	с одной	9	2
104	учение о	1	2
105	уже в	2	2
106	в нем	9	2
107	при этом	13	2
108	для него	4	2
109	в другом	2	2
110	всякий литературный	1	2
111	общения и	2	2
112	тем что	3	2
113	в них	4	2
114	иерархическое место	1	2
115	в области	1	2
116	с другой	10	2
117	а как	1	2
118	в самом	3	2
119	того или	2	2
120	может стать	1	2
121	как индивидуальное	1	2
122	одной стороны	9	2
123	соответствии с	2	2
124	более того	2	2
125	не на	1	2
126	а не	22	2
127	другой стороны	3	2
128	представляет себе	2	2
129	не мог	1	2
130	несмотря на	1	2
131	в связи	1	2
132	том что	19	2
133	с помощью	1	2
134	в г	2	2
135	и при	1	2
136	разрыв между	1	2
137	и ее	2	2
138	в языковом	1	2
139	своего рода	8	2
140	в тех	2	2
141	литературного произведения	3	2
142	которой является	1	2
143	с этой	1	2
144	слова и	1	2
145	с историей	1	2
146	не менее	2	2
147	самого начала	1	2
148	не имеет	1	2
149	в книге	1	2
