N	3gram	Bakhtin_Pr_1	Tragedij
1	то же время	9	5
2	в то же	9	5
3	так и в	1	3
4	по замыслу достоевского	1	2
5	точно так же	1	2
6	не мудрено что	1	2
7	и в частности	1	2
8	в данном случае	2	2
9	но в то	5	2
10	о том что	1	2
11	но все же	2	2
12	в том что	6	2
13	в этом случае	1	1
14	как и его	1	1
15	и сам автор	1	1
16	одно из самых	1	1
17	том что он	4	1
18	и до конца	2	1
19	и не может	2	1
20	в своей книге	1	1
21	хотя бы и	2	1
22	в столкновение с	1	1
23	но и на	1	1
24	в той же	2	1
25	романа достоевского в	2	1
26	но как в	1	1
27	но несмотря на	1	1
28	и т п	3	1
29	из подполья это	1	1
30	также что все	1	1
31	но у него	1	1
32	создается впечатление что	1	1
33	во всяком случае	3	1
34	в высшей степени	1	1
35	в конце концов	5	1
36	и входят в	1	1
37	с ним она	1	1
38	кто он есть	1	1
39	и в этом	5	1
40	по сравнению с	1	1
41	не могут быть	1	1
42	прежде всего необходимо	1	1
43	начала и до	2	1
44	все же не	2	1
45	не только к	1	1
46	в мире достоевского	4	1
47	но уже не	1	1
48	не может быть	4	1
49	для самого автора	1	1
50	он сам сознает	1	1
51	если б я	1	1
52	это и есть	1	1
53	у него есть	1	1
54	в одном из	1	1
55	с самого начала	1	1
56	не только не	1	1
57	в самом деле	2	1
58	с начала и	2	1
59	могут быть отнесены	1	1
60	к тому что	1	1
61	для него была	1	1
