N	2gram	Medvedev_V_1	formyVre
1	и в	26	50
2	то есть	1	33
3	в романе	4	32
4	в этом	26	25
5	в нем	6	24
6	человека в	2	17
7	и его	6	16
8	прежде всего	13	15
9	как мы	1	14
10	и не	19	14
11	в его	14	13
12	вовсе не	3	13
13	как раз	3	13
14	по существу	3	12
15	так и	5	12
16	человека и	3	11
17	то же	10	11
18	таким образом	31	11
19	может быть	22	11
20	и как	3	10
21	но в	2	10
22	с его	3	9
23	все эти	6	9
24	роль в	4	9
25	не только	25	9
26	в то	6	9
27	же время	5	9
28	в том	15	9
29	в конце	3	9
30	в особенности	2	9
31	и др	9	9
32	и т	23	8
33	в самом	4	8
34	ни в	1	8
35	т п	9	8
36	но и	10	8
37	и их	3	8
38	как и	7	8
39	жизни и	3	8
40	это время	1	7
41	так сказать	2	7
42	и во	1	7
43	не было	7	7
44	героя и	1	7
45	например в	3	6
46	во всех	6	6
47	как в	1	6
48	с этим	3	6
49	все же	5	6
50	лишь в	2	6
51	это не	7	6
52	в их	5	6
53	с ее	1	6
54	в ее	4	6
55	в дальнейшем	1	6
56	связи с	4	6
57	в жизни	2	6
58	у него	6	6
59	то что	6	6
60	в частности	11	6
61	не может	17	6
62	так же	3	6
63	в результате	5	6
64	и все	1	6
65	отношению к	7	5
66	время как	1	5
67	еще не	2	5
68	но не	2	5
69	этого типа	3	5
70	и речи	1	5
71	отнюдь не	3	5
72	и у	2	5
73	не в	6	5
74	этот процесс	2	5
75	он не	2	5
76	всех этих	2	5
77	в основе	1	5
78	того чтобы	3	5
79	точки зрения	3	5
80	не могло	1	5
81	могут быть	5	5
82	в пределах	5	5
83	в образе	2	5
84	если бы	3	5
85	романа в	1	5
86	до нас	2	5
87	для того	3	5
88	в связи	3	5
89	в основном	5	5
90	что в	10	5
91	и другие	1	5
92	и то	1	4
93	и это	1	4
94	этого мира	1	4
95	мы и	1	4
96	в ней	2	4
97	в своем	8	4
98	конечно не	1	4
99	то время	1	4
100	но на	1	4
101	время и	1	4
102	в них	4	4
103	том что	8	4
104	в котором	3	4
105	в процессе	16	4
106	не имеет	1	4
107	потому что	1	4
108	здесь не	1	4
109	жизнь и	1	4
110	понятно что	1	4
111	или как	1	4
112	только в	7	4
113	между этими	1	4
114	характерно что	1	4
115	нет ничего	1	4
116	в той	1	4
117	все это	10	4
118	между собой	1	4
119	кроме того	1	4
120	и для	2	4
121	том числе	2	4
122	в движение	1	3
123	а как	2	3
124	в виду	4	3
125	значение и	1	3
126	по отношению	7	3
127	себе и	2	3
128	искусстве и	2	3
129	хотя и	2	3
130	всего необходимо	1	3
131	в себе	6	3
132	в классическом	1	3
133	в определенном	1	3
134	одно и	1	3
135	его в	3	3
136	входит в	1	3
137	и других	1	3
138	с другими	2	3
139	и дает	1	3
140	в новое	1	3
141	для них	1	3
142	между ними	3	3
143	в этих	1	3
144	их в	6	3
145	этими двумя	1	3
146	друг друга	1	3
147	жизни не	1	3
148	этом отношении	13	3
149	не могут	7	3
150	к тому	4	3
151	формы и	2	3
152	в порядке	5	3
153	все его	2	3
154	что и	3	3
155	во всей	2	3
156	в форме	3	3
157	один из	5	3
158	романа и	1	3
159	мы видим	1	3
160	одной из	1	3
161	во времени	1	3
162	и ее	4	3
163	с одной	2	3
164	в качестве	11	3
165	только на	1	3
166	же в	6	3
167	в начале	1	3
168	в одном	4	3
169	до сих	1	3
170	связаны с	1	3
171	именно в	2	3
172	себя и	1	3
173	что не	3	3
174	с тем	3	3
175	а не	7	3
176	мира в	1	3
177	вместе с	7	3
178	и потому	2	3
179	да и	1	3
180	сих пор	1	3
181	например у	2	3
182	место для	1	3
183	или в	3	3
184	еще более	1	3
185	ни к	1	3
186	а в	3	3
187	сказать что	5	3
188	авантюрного романа	1	3
189	они не	2	3
190	к этому	9	3
191	в таком	1	3
192	во всяком	1	3
193	смысле слова	2	2
194	также и	2	2
195	же как	2	2
196	же типу	1	2
197	она обычно	1	2
198	др в	3	2
199	их и	4	2
200	вопрос о	1	2
201	но она	1	2
202	на себя	1	2
203	жизни это	1	2
204	момент в	3	2
205	в различных	2	2
206	в чем	2	2
207	только два	1	2
208	как если	1	2
209	а только	1	2
210	происходит в	1	2
211	нет и	3	2
212	в истории	1	2
213	же и	2	2
214	стороны и	2	2
215	не являются	1	2
216	и к	3	2
217	в целом	4	2
218	тому же	1	2
219	как бы	5	2
220	как он	2	2
221	как оно	1	2
222	и еще	1	2
223	вещие сны	1	2
224	не как	1	2
225	уже не	1	2
226	его от	2	2
227	и по	3	2
228	что все	3	2
229	типы и	1	2
230	об этом	9	2
231	было бы	7	2
232	на почве	1	2
233	с большей	1	2
234	для него	8	2
235	в своей	4	2
236	лежат в	1	2
237	в которых	3	2
238	но он	1	2
239	друг другу	1	2
240	том же	6	2
241	по себе	2	2
242	самого начала	1	2
243	тогда когда	2	2
244	весь роман	1	2
245	никогда не	4	2
246	это то	1	2
247	в самой	1	2
248	к ней	1	2
249	в другую	2	2
250	человека так	1	2
251	не столь	3	2
252	точном смысле	2	2
253	в каком	1	2
254	сюжета и	2	2
255	все то	1	2
256	числе и	2	2
257	той или	1	2
258	но по	1	2
259	всего этого	1	2
260	если они	1	2
261	ту же	2	2
262	по сравнению	1	2
263	с ним	1	2
264	или иной	2	2
265	в глаза	1	2
266	а также	1	2
267	в значительной	3	2
268	на основе	5	2
269	полноту и	1	2
270	того что	3	2
271	быть и	1	2
272	явления в	2	2
273	в стороне	1	2
274	и кончая	1	2
275	есть в	1	2
