N	3gram	Vygotskiy__4	SlovoVZh
1	по отношению к	1	11
2	не может быть	1	7
3	можно сказать что	1	5
4	дело в том	1	4
5	в том что	12	4
6	и не может	1	3
7	бы то ни	1	3
8	этой точки зрения	1	3
9	до сих пор	3	3
10	имеет в виду	1	3
11	это как бы	1	3
12	то ни было	1	3
13	в художественном произведении	1	3
14	это не так	1	2
15	мы никогда не	3	2
16	на самом деле	5	2
17	с другой стороны	2	2
18	мы все время	2	2
19	что не может	1	2
20	то же самое	6	2
21	с точки зрения	4	2
22	с этой стороны	1	2
23	в каком отношении	1	2
24	формы и содержания	1	2
25	в жизни и	1	2
26	с одной стороны	3	2
27	и в этом	3	1
28	никогда не поймем	1	1
29	или хотя бы	1	1
30	это на примере	1	1
31	однако он не	1	1
32	сказать то что	1	1
33	какой бы то	1	1
34	то время как	2	1
35	друг к другу	1	1
36	во всяком случае	3	1
37	одна и та	2	1
38	истории литературы и	1	1
39	это только одна	1	1
40	они как бы	1	1
41	в самом деле	7	1
42	то что оно	1	1
43	в этом смысле	1	1
44	но если бы	2	1
45	бы не было	1	1
46	с ним в	2	1
47	что до сих	1	1
48	нам кажется что	1	1
49	жизни и на	1	1
50	самом деле в	1	1
51	как это делает	2	1
52	же как и	1	1
53	него не остается	1	1
54	и таким образом	1	1
55	в то время	2	1
56	или какую-нибудь иную	1	1
57	так относится к	1	1
58	он не должен	1	1
59	равно как и	1	1
60	сам по себе	2	1
61	сами по себе	3	1
62	то что мы	3	1
63	и что она	1	1
64	в свою очередь	1	1
65	было бы показать	1	1
66	и та же	2	1
67	и независимо от	1	1
68	если мы обратимся	1	1
69	в истории литературы	1	1
70	о том что	10	1
71	только то что	1	1
72	ничего общего с	1	1
73	с самого начала	5	1
74	в конечном счете	1	1
75	совершенно ясно что	3	1
76	тому же самому	1	1
77	ни в какой	1	1
78	можно было бы	4	1
79	то же время	1	1
80	подобно тому как	1	1
81	как мы уже	1	1
82	и здесь мы	1	1
83	прежде всего тем	1	1
84	можно найти в	1	1
85	мы обратимся к	1	1
86	со всех сторон	1	1
87	при таком понимании	1	1
88	здесь вовсе не	1	1
89	в то же	1	1
90	и в каком	1	1
91	в каком направлении	1	1
92	и в частности	2	1
93	в том и	1	1
94	сама по себе	3	1
95	бы показать что	1	1
96	так же как	3	1
97	в виду не	1	1
98	и в своем	1	1
99	она не может	1	1
100	к тому же	2	1
101	мы увидим что	1	1
102	автор как бы	1	1
103	и на этом	1	1
