N	3gram	Bakhtin_fo_2	Morfolog
1	и т д	3	47
2	в этом случае	2	9
3	в связи с	7	8
4	не может быть	1	8
5	наряду с этим	1	5
6	связи с этим	2	5
7	с точки зрения	8	4
8	а также и	1	4
9	в тех же	1	4
10	с другой стороны	1	4
11	как мы увидим	1	3
12	и пр и	1	3
13	на самом деле	1	3
14	но все же	1	3
15	как и в	1	3
16	может быть и	2	2
17	то время как	1	2
18	с одной стороны	1	2
19	на первый взгляд	1	2
20	друг на друга	2	2
21	это не значит	1	2
22	в то время	1	2
23	в большинстве случаев	3	2
24	для того чтобы	7	2
25	в том что	3	2
26	т д он	1	2
27	вне связи с	1	2
28	в форме диалога	1	1
29	по существу является	1	1
30	на корабль и	1	1
31	а вовсе не	1	1
32	имеется и в	1	1
33	вторым и третьим	1	1
34	том что он	1	1
35	о том как	3	1
36	как бы в	1	1
37	но и другие	1	1
38	до сих пор	2	1
39	но прежде чем	1	1
40	в море все	1	1
41	дело идет об	1	1
42	так и здесь	1	1
43	сюда прежде всего	1	1
44	одно и то	1	1
45	в данном случае	1	1
46	и то же	1	1
47	с этим в	1	1
48	может быть или	1	1
49	в результате и	1	1
50	все более и	1	1
51	вместо того чтобы	1	1
52	потому что они	2	1
53	все это на	1	1
54	сюда же относится	1	1
55	во всех этих	3	1
56	то же время	4	1
57	герой в этом	1	1
58	похожи друг на	2	1
59	мы имеем в	2	1
60	на свое место	1	1
61	о том что	1	1
62	с самого начала	1	1
63	это значит что	2	1
64	в этих условиях	1	1
65	той или иной	1	1
66	можно сказать что	1	1
67	в критический момент	1	1
68	если же в	1	1
69	за тридевять земель	1	1
70	в другом случае	1	1
71	в то же	4	1
72	более и более	1	1
73	к тому что	1	1
74	друг с другом	4	1
75	во всех случаях	1	1
76	но в этом	1	1
77	всех этих случаях	1	1
78	все же в	2	1
79	что и в	1	1
