N	4gram	Vinokur_Ku_2	Analitik
1	в то же время	3	6
2	не что иное как	1	4
3	состоит в том что	1	3
4	не в том чтобы	1	3
5	бы то ни было	1	3
6	есть не что иное	1	3
7	той мере в какой	1	2
8	в том или ином	1	2
9	какой бы то ни	1	2
10	в той мере в	1	2
11	только в том что	1	1
12	в широком смысле этого	1	1
13	в виду не только	1	1
14	в том случае если	2	1
15	одной и той же	1	1
16	широком смысле этого слова	1	1
17	в большей или меньшей	3	1
18	не сам по себе	1	1
19	с этой точки зрения	2	1
20	до тех пор пока	1	1
21	не только в том	1	1
22	который не может быть	1	1
23	лишь в том случае	1	1
24	сами по себе они	1	1
25	не говоря уже о	2	1
26	большей или меньшей степени	3	1
