N	3gram	Nazirov_Tv_2	formyVre
1	и т п	2	11
2	в связи с	1	7
3	в том же	2	4
4	то же время	7	4
5	в то же	7	4
6	в том числе	1	3
7	о том как	1	3
8	и в то	2	3
9	и в этом	1	3
10	мы уже говорили	1	3
11	и прежде всего	1	3
12	в том что	2	3
13	и т д	11	3
14	в другом месте	1	2
15	в дальнейшем мы	1	2
16	до сих пор	3	2
17	сами по себе	1	2
18	том числе и	1	2
19	и должно быть	1	2
20	потому что они	1	2
21	имеет у него	1	2
22	прежде всего нужно	1	2
23	место в романе	1	2
24	особое место в	1	1
25	во время путешествия	1	1
26	сих пор еще	1	1
27	в чем не	1	1
28	никогда не было	2	1
29	франчески и паоло	1	1
30	он ни был	1	1
31	в виду что	1	1
32	кто бы он	1	1
33	в частности с	1	1
34	там нет и	1	1
35	более глубокой и	1	1
36	о золотом веке	1	1
37	взятая в ее	1	1
38	в отличие от	2	1
39	из них более	1	1
40	в романе в	1	1
41	со всех сторон	1	1
42	так сказать в	1	1
43	уже говорили о	1	1
44	как и в	1	1
45	мифов и легенд	1	1
46	он не знал	1	1
47	но при этом	1	1
48	он утверждает что	1	1
49	это не значит	1	1
50	большую роль в	1	1
51	с другой стороны	2	1
52	романа еще не	1	1
53	не может быть	3	1
54	но в то	1	1
55	в частности в	1	1
56	бы он ни	1	1
57	ни в чем	1	1
58	в то время	1	1
59	в свою очередь	1	1
60	о том что	2	1
61	в одном из	2	1
62	с самого начала	1	1
63	за свой счет	1	1
64	представление о жизни	1	1
65	и только для	1	1
66	той или иной	1	1
67	и в другом	1	1
