N	2gram	Potebnia_M_2	PoTuStor
1	может быть	23	17
2	и в	24	16
3	в этом	8	9
4	и проч	10	9
5	таким образом	11	9
6	и только	6	9
7	мы можем	12	9
8	прежде всего	7	9
9	и с	1	8
10	и его	2	8
11	не может	12	8
12	с его	2	7
13	не только	15	7
14	в сознание	10	7
15	сказать что	2	7
16	я и	1	6
17	самом деле	2	6
18	конечно не	1	6
19	при этом	13	6
20	с точки	1	6
21	и это	2	6
22	для него	10	6
23	еще не	4	5
24	в чем	7	5
25	отношение к	1	5
26	все эти	2	5
27	сознание и	4	5
28	что такое	2	5
29	только для	5	5
30	ни в	1	5
31	в бессознательном	1	5
32	как бы	9	5
33	на самом	2	4
34	и на	8	4
35	и наконец	1	4
36	но в	4	4
37	законы образования	1	4
38	в нем	9	4
39	и может	3	4
40	его в	3	4
41	мысли и	1	4
42	все это	2	4
43	самого начала	2	4
44	как мы	1	4
45	с самого	2	4
46	так и	5	4
47	но мы	3	4
48	можно сказать	1	4
49	в его	2	4
50	а потому	5	4
51	с ними	3	4
52	только в	11	4
53	для всех	1	4
54	и их	5	4
55	так как	10	4
56	но и	9	4
57	и не	19	4
58	и все	3	4
59	хотя бы	2	4
60	все что	3	4
61	если б	5	3
62	отношения к	2	3
63	тех же	1	3
64	во всех	7	3
65	в общем	2	3
66	и есть	2	3
67	и как	6	3
68	с их	1	3
69	на две	2	3
70	их в	2	3
71	на этом	2	3
72	этом смысле	2	3
73	том что	8	3
74	во время	4	3
75	никаких оснований	1	3
76	сих пор	4	3
77	в одном	6	3
78	по крайней	5	3
79	и притом	3	3
80	до сих	4	3
81	две группы	2	3
82	к себе	1	3
83	те же	3	3
84	по сравнению	1	3
85	представлений и	3	3
86	с другими	5	3
87	крайней мере	5	3
88	в том	18	3
89	в большинстве	1	3
90	только на	1	3
91	большинстве случаев	1	3
92	мы знаем	2	3
93	всяком случае	7	3
94	и др	1	3
95	для сознания	2	3
96	ребенка и	1	3
97	вместе с	11	3
98	и потому	2	3
99	как это	2	3
100	сравнению с	1	3
101	могут быть	8	3
102	что в	16	3
103	в этих	3	3
104	и бессознательное	1	3
105	а в	8	3
106	то что	20	3
107	между ними	2	3
108	только как	6	3
109	жизни и	1	3
110	во всяком	7	3
111	ту же	1	2
112	нам кажется	4	2
113	в самом	4	2
114	мы уже	1	2
115	мы не	11	2
116	и о	1	2
117	того же	14	2
118	на них	1	2
119	между собой	1	2
120	из этих	4	2
121	совсем не	2	2
122	но как	1	2
123	друг на	1	2
124	за пределы	2	2
125	с этим	7	2
126	в этот	1	2
127	что это	3	2
128	в переводе	1	2
129	он не	1	2
130	и по	2	2
131	то же	12	2
132	связанные с	2	2
133	связанных с	1	2
134	было бы	13	2
135	почти совершенно	1	2
136	в жизни	2	2
137	кажется что	3	2
138	в них	5	2
139	как и	7	2
140	между собою	7	2
141	и чувств	2	2
142	все и	1	2
143	знаем что	1	2
144	можем сказать	1	2
145	и вся	1	2
146	не менее	5	2
147	никогда не	4	2
148	таким путем	4	2
149	что на	3	2
150	в каком	3	2
151	все то	1	2
152	не могут	7	2
153	что оно	4	2
154	существует только	2	2
155	не будет	1	2
156	как не	3	2
157	организме и	1	2
158	только то	1	2
159	как с	1	2
160	быть может	7	2
161	и вообще	3	2
162	с ним	5	2
163	находится в	3	2
164	похожим на	1	2
165	о том	5	2
166	для нас	31	2
167	организма и	1	2
168	что и	11	2
169	может иметь	1	2
170	один из	2	2
171	оно и	1	2
172	мы видим	2	2
173	что он	4	2
174	и действительно	1	2
175	и так	1	2
176	со всеми	1	2
177	есть в	2	2
178	с нею	2	2
179	не можем	6	2
180	если мы	3	2
181	в душе	23	2
182	и других	2	2
183	цели и	1	2
184	для меня	4	2
185	к ним	1	2
186	у него	2	2
187	оно не	3	2
188	себя и	2	2
189	что не	5	2
190	а на	1	2
191	на друга	1	2
192	не на	2	2
193	остается и	1	2
194	в развитии	1	2
195	что мы	11	2
196	в одно	8	2
197	так же	2	2
198	чувства и	4	2
199	с этой	1	2
200	но это	3	2
201	это последнее	4	2
202	к другим	3	2
203	и для	3	2
204	сознания и	1	2
205	переводе на	1	2
206	не удается	1	2
207	ни было	3	2
208	не есть	6	2
209	из тех	1	2
210	все остальные	5	2
211	есть и	1	2
212	ее в	1	2
213	к этому	2	2
214	можно назвать	2	2
215	они не	4	2
216	с новыми	1	1
217	говоря о	3	1
218	в движение	2	1
219	человека и	3	1
220	и то	3	1
221	и объясняется	1	1
222	он может	1	1
223	словами и	1	1
224	самый предмет	2	1
225	бы очень	1	1
226	не имеют	2	1
227	но должны	1	1
228	и могут	1	1
229	его не	3	1
230	полагает что	3	1
231	со всех	1	1
232	что между	1	1
233	что если	6	1
234	вопрос о	2	1
235	на место	1	1
236	оно есть	1	1
237	как я	1	1
238	из того	1	1
239	но даже	3	1
240	не совсем	3	1
241	и образуют	1	1
242	же что	3	1
243	всех сторон	1	1
244	в ней	3	1
245	и самого	1	1
246	чего оно	1	1
247	столь же	5	1
248	бы то	1	1
249	что его	3	1
250	этим не	1	1
251	при объяснении	1	1
252	одним словом	4	1
