N	3gram	Tiupa_Teor_1	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	в этом смысле	2	3
4	по крайней мере	1	3
5	не может быть	4	3
6	может быть это	1	3
7	можно сказать что	2	3
8	в большинстве случаев	1	3
9	так же как	1	2
10	не могут быть	2	2
11	все то что	1	2
12	о том что	1	2
13	в конечном счете	6	2
14	я и мир	1	1
15	и того же	3	1
16	всех без исключения	3	1
17	дело в том	1	1
18	мы имеем в	3	1
19	имеем в виду	3	1
20	подобно тому как	1	1
21	одного и того	3	1
22	то же самое	1	1
23	как это делает	1	1
24	ни в коем	2	1
25	бы то ни	1	1
26	сказать что для	1	1
27	однако в рамках	1	1
28	со всех сторон	1	1
29	в коем случае	2	1
30	в данном случае	5	1
31	то ни было	1	1
32	с одной стороны	2	1
33	в связи с	1	1
34	как один из	1	1
35	а с другой	2	1
36	имеем дело с	1	1
37	его за пределы	1	1
38	в том что	8	1
39	на вопрос о	1	1
40	во внешнем мире	1	1
41	и теперь в	1	1
42	что иное как	1	1
43	в известной степени	1	1
44	таким образом и	1	1
45	не что иное	1	1
46	для того чтобы	1	1
47	на первый взгляд	1	1
48	я и его	1	1
49	той или иной	1	1
