N	4gram	Tiupa_Narr_1	Myshleni
1	с этой точки зрения	1	4
2	состоит в том что	2	3
3	в той мере в	1	2
4	в том что он	1	2
5	точно так же как	2	2
6	той мере в какой	1	2
7	конкретных проблем в какой-либо	1	1
8	всего в том что	1	1
9	очевидно что в этом	1	1
10	в качестве одного из	1	1
11	прежде всего в том	1	1
12	есть не что иное	1	1
13	в том числе и	4	1
14	в том что в	1	1
15	проблем в какой-либо определенной	1	1
16	не что иное как	2	1
17	друг с другом и	1	1
18	то же самое происходит	1	1
19	в какой-либо определенной области	1	1
20	друг от друга в	1	1
21	дело здесь не в	1	1
22	какой-либо определенной области явлений	1	1
23	в отличие от элементов	1	1
24	в поведении и мышлении	1	1
