N	3gram	Voloshinov_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в том что	4	4
4	с точки зрения	10	3
5	с одной стороны	1	3
6	но и в	1	2
7	сводится к следующему	1	1
8	том что в	1	1
9	– все это	4	1
10	в настоящее время	1	1
11	есть прежде всего	1	1
12	или хотя бы	1	1
13	из этой области	1	1
14	и не может	1	1
15	в эту эпоху	1	1
16	тот или иной	1	1
17	мы не будем	1	1
18	хотя бы и	2	1
19	только в условиях	1	1
20	в отличие от	1	1
21	не было бы	1	1
22	в собственном смысле	1	1
23	потому что по	1	1
24	но в отличие	1	1
25	по сравнению с	1	1
26	настоящее время в	1	1
27	но в общем	1	1
28	во всяком случае	3	1
29	не может быть	3	1
30	одно из важнейших	1	1
31	но в то	3	1
32	мы знаем что	3	1
33	в большинстве случаев	4	1
34	для того чтобы	1	1
35	и т д	1	1
