N	3gram	Vinokur_Ku_3	Tragedij
1	то же время	1	5
2	в то же	1	5
3	так и в	3	3
4	в отличие от	2	2
5	в данном случае	4	2
6	о том что	3	2
7	и в самом	4	2
8	но все же	1	2
9	в том что	8	2
10	в этом случае	4	1
11	но это уже	1	1
12	бы может быть	1	1
13	не было до	1	1
14	общем смысле этого	1	1
15	не есть с	1	1
16	имеет в виду	1	1
17	и не может	1	1
18	хотя бы и	1	1
19	сам по себе	3	1
20	что он не	1	1
21	и т п	41	1
22	может быть не	1	1
23	ничего не значит	2	1
24	в известной мере	1	1
25	создается впечатление что	1	1
26	в виду не	1	1
27	еще ничего не	1	1
28	во всяком случае	1	1
29	смысле этого слова	2	1
30	ответа на вопрос	1	1
31	в чем же	1	1
32	в общем смысле	1	1
33	и в этом	4	1
34	и при этом	1	1
35	тем не менее	9	1
36	не могут быть	2	1
37	по природе своей	1	1
38	в связи с	4	1
39	то что он	1	1
40	не может быть	3	1
41	на вопрос о	1	1
42	на русский язык	2	1
43	о совершенно ином	1	1
44	и вместе с	1	1
45	что в ней	1	1
46	в одном из	1	1
47	не только не	1	1
48	в самом деле	11	1
49	после того как	4	1
50	к тому что	1	1
