N	2gram	Tiupa_Vved_1	KulturaY
1	и в	13	23
2	точки зрения	1	23
3	в том	10	22
4	не только	20	17
5	в этом	21	16
6	было бы	4	16
7	самом деле	3	14
8	может быть	18	14
9	в области	3	14
10	в самом	2	13
11	что в	3	13
12	не менее	4	12
13	потому что	5	12
14	том что	7	11
15	того чтобы	1	11
16	можно было	2	11
17	в его	4	11
18	того что	6	11
19	а не	15	11
20	у нас	1	10
21	и не	12	10
22	еще не	7	9
23	таким образом	4	9
24	тем не	3	9
25	хотя бы	1	9
26	прежде всего	7	9
27	лишь в	2	8
28	зависимости от	1	8
29	если бы	7	8
30	в виду	1	8
31	уже не	5	8
32	между прочим	1	8
33	как это	1	7
34	в зависимости	1	7
35	все эти	1	7
36	в нашем	6	7
37	того как	1	7
38	если мы	1	7
39	те же	2	7
40	и что	1	7
41	с другой	5	7
42	или иной	3	7
43	на фоне	2	7
44	в данном	13	7
45	слова и	1	7
46	сказать что	1	7
47	то же	5	6
48	говорить о	2	6
49	с помощью	1	6
50	в силу	2	6
51	только в	6	6
52	так и	8	6
53	при этом	26	6
54	и тем	2	6
55	с тем	1	6
56	в их	1	6
57	связи с	1	6
58	не может	7	6
59	могут быть	4	6
60	по себе	2	6
61	о том	5	6
62	что и	2	6
63	тот же	1	6
64	что он	1	6
65	также и	4	5
66	в первом	2	5
67	как мы	3	5
68	в рамках	4	5
69	все же	6	5
70	хотя и	7	5
71	из этих	3	5
72	как бы	4	5
73	что она	1	5
74	как и	11	5
75	не в	6	5
76	вовсе не	1	5
77	но также	2	5
78	той или	3	5
79	тем что	2	5
80	далеко не	4	5
81	в связи	1	5
82	что же	3	5
83	но это	3	5
84	а в	6	5
85	того же	1	4
86	тех же	1	4
87	в сущности	1	4
88	на практике	1	4
89	столь же	1	4
90	точка зрения	3	4
91	как в	4	4
92	в своем	5	4
93	целый ряд	2	4
94	в целом	3	4
95	в своей	5	4
96	что такое	18	4
97	не столько	4	4
98	том чтобы	2	4
99	тому что	1	4
100	тем самым	5	4
101	о них	3	4
102	как раз	2	4
103	и о	1	4
104	в ее	1	4
105	данном случае	6	4
106	для нас	2	4
107	а также	8	4
108	между тем	1	4
109	один из	3	4
110	с одной	5	4
111	в нашей	1	4
112	что не	1	4
113	слова в	2	4
114	не было	2	4
115	одной стороны	5	4
116	в той	4	4
117	этом случае	1	4
118	то что	6	4
119	в таком	1	4
120	в слове	3	4
121	речь идет	1	3
122	на самом	4	3
123	то в	1	3
