N	2gram	Tiupa_Vved_1	Myshleni
1	в этом	21	29
2	точки зрения	1	28
3	и в	13	26
4	для себя	1	24
5	не только	20	24
6	то что	6	24
7	таким образом	4	23
8	представляет собой	15	19
9	того чтобы	1	19
10	в том	10	18
11	и не	12	18
12	том что	7	17
13	потому что	5	16
14	как и	11	15
15	к слову	1	14
16	как мы	3	14
17	того что	6	14
18	так же	1	14
19	этом случае	1	14
20	с помощью	1	13
21	в ходе	2	12
22	и его	5	12
23	вместе с	1	12
24	что в	3	12
25	в слове	3	11
26	но и	19	11
27	не может	7	11
28	что они	1	10
29	слова и	1	10
30	по своей	3	10
31	в сущности	1	9
32	в самом	2	9
33	в себе	5	9
34	тому что	1	9
35	тем что	2	9
36	что мы	2	9
37	по своему	2	9
38	то же	5	8
39	той же	1	8
40	от речи	1	8
41	что она	1	8
42	что он	1	8
43	только в	6	8
44	сказать что	1	8
45	тем самым	5	8
46	мы не	4	7
47	и к	2	7
48	к тому	6	7
49	по мере	1	7
50	может быть	18	7
51	прежде всего	7	7
52	самом деле	3	6
53	речевой деятельности	2	6
54	во всех	2	6
55	по отношению	7	6
56	все же	6	6
57	и слова	1	6
58	что это	1	6
59	все эти	1	6
60	было бы	4	6
61	и тем	2	6
62	в ее	1	6
63	в сознании	4	6
64	между собой	2	6
65	и что	1	6
66	в какой	4	6
67	иначе как	1	6
68	а не	15	6
69	как бы	4	6
70	мы должны	1	6
71	все что	3	6
72	тем же	1	5
73	из всех	1	5
74	оба эти	1	5
75	в целом	3	5
76	чем это	1	5
77	могли бы	1	5
78	в силу	2	5
79	и с	2	5
80	с тем	1	5
81	у нее	2	5
82	в процессе	1	5
83	в направлении	2	5
84	же самое	1	5
85	данном случае	6	5
86	никак не	2	5
87	если бы	7	5
88	в виду	1	5
89	можно сказать	4	5
90	как она	1	5
91	с одной	5	5
92	в качестве	8	5
93	если мы	1	5
94	в начале	3	5
95	себе в	1	5
96	и их	1	5
97	слова в	2	5
98	одной стороны	5	5
99	до конца	3	5
100	как это	1	5
101	в данном	13	5
102	отношению к	7	5
103	и для	3	5
104	в речи	2	5
105	бы в	3	5
106	только что	1	5
107	едва ли	3	4
108	еще не	7	4
109	с другой	5	4
110	в нашем	6	4
111	если в	2	4
112	как в	4	4
113	стороны и	1	4
114	целый ряд	2	4
115	но в	6	4
116	не можем	2	4
117	отношение между	1	4
118	на то	1	4
119	в котором	8	4
120	не в	6	4
121	в той	4	4
122	не менее	4	4
123	не по	1	4
124	никогда не	4	4
125	своей природе	2	4
126	связи с	1	4
127	в области	3	4
128	имеет место	4	4
129	приводит к	2	4
130	что у	1	4
131	о том	5	4
132	в его	4	4
133	и только	1	4
134	так что	1	4
135	то и	2	4
136	в конце	1	4
137	о чем	2	4
138	и от	2	4
139	и наконец	2	4
140	гораздо более	1	4
141	на самом	4	3
142	между двумя	3	3
143	в первом	2	3
144	из того	1	3
145	в ней	4	3
146	но не	5	3
147	в этой	1	3
148	в одной	2	3
149	как к	1	3
