N	2gram	Medvedev_B_1	Problemy
1	и в	1	46
2	и не	2	27
3	не только	1	14
4	и на	1	11
5	а не	1	11
6	в пределах	1	10
7	между ними	1	10
8	прежде всего	1	9
9	еще не	1	7
10	все это	2	6
11	за пределы	1	5
12	все же	1	4
13	так и	1	4
14	кроме того	1	4
15	таким образом	1	4
16	что в	1	4
17	совершенно не	1	4
18	до конца	1	4
19	и нет	1	4
20	и во	1	3
21	в своей	1	3
22	и о	1	3
23	установка на	1	3
24	далеко не	1	3
25	другой стороны	1	3
26	с другой	1	3
27	было бы	1	3
28	никак не	1	3
29	в речи	1	3
30	вопрос о	1	2
31	должна быть	1	2
32	но автор	1	2
33	об этом	1	2
34	во всяком	1	2
35	выпадает из	1	2
36	к ней	1	2
37	у нас	3	2
38	пожалуй и	1	2
39	нет но	1	2
40	можно было	2	2
41	в данном	1	2
42	не было	1	2
43	из своей	1	1
44	было и	1	1
45	значительной степени	1	1
46	выходит за	1	1
47	не признать	1	1
48	можно в	1	1
49	не укладывается	1	1
50	в значительной	1	1
51	точке зрения	1	1
52	же не	1	1
53	на самом	1	1
54	понимания художественной	1	1
55	его функцией	1	1
56	на которой	1	1
57	и потому	1	1
58	в книге	1	1
59	видеть в	2	1
60	не о	1	1
61	в эпоху	1	1
62	что все	1	1
63	невозможны без	1	1
64	всяком случае	1	1
65	не вполне	1	1
66	о них	1	1
67	стиля и	1	1
68	всего в	1	1
69	еще лучше	1	1
70	в области	1	1
71	в ней	2	1
72	говорить не	1	1
73	как будто	1	1
74	признать его	1	1
