N	2gram	Savitsky_E_1	VeschiIm
1	не есть	2	49
2	т е	9	42
3	не может	9	33
4	не только	18	31
5	может быть	6	29
6	и не	14	28
7	и в	37	26
8	то что	6	24
9	значит что	1	22
10	это значит	2	22
11	и т	1	21
12	т д	1	20
13	а не	2	20
14	есть только	1	17
15	и следовательно	1	15
16	в смысле	9	15
17	только в	9	14
18	по себе	4	13
19	и что	2	13
20	того что	7	13
21	и то	2	12
22	есть не	2	12
23	все же	1	12
24	что это	2	12
25	было бы	8	12
26	и ее	1	12
27	но и	14	12
28	сказать что	4	12
29	таким образом	2	11
30	что же	2	11
31	то же	15	10
32	есть нечто	1	10
33	в ней	4	10
34	не значит	1	10
35	как бы	6	10
36	потому что	3	10
37	уже не	1	10
38	что мы	1	10
39	бы то	4	9
40	в самом	4	9
41	то ни	4	9
42	и с	2	9
43	в том	11	9
44	что не	1	9
45	прежде всего	9	9
46	ни было	4	9
47	с ее	1	8
48	в себе	9	8
49	на то	6	8
50	и это	1	8
51	она есть	1	8
52	но это	1	8
53	также и	7	7
54	говорить о	1	7
55	в этом	12	7
56	не будет	3	7
57	с другими	2	7
58	том что	6	7
59	в то	16	7
60	со своим	1	7
61	ли это	3	7
62	что оно	1	7
63	как с	1	7
64	и их	1	7
65	так как	7	7
66	со стороны	5	6
67	и как	2	6
68	но в	14	6
69	есть ли	2	6
70	бы и	3	6
71	это есть	1	6
72	точки зрения	23	6
73	но если	5	6
74	с ним	1	6
75	она не	2	6
76	значит ли	1	6
77	можно было	3	6
78	должно быть	1	6
79	и только	3	6
80	а если	1	6
81	если мы	1	6
82	для него	1	6
83	относится к	1	6
84	то не	2	6
85	когда мы	1	6
86	в результате	3	6
87	жизни и	2	6
88	что в	21	6
89	того же	3	5
90	и до	1	5
91	ведь и	2	5
92	и тут	2	5
93	на себя	3	5
94	но не	5	5
95	отнюдь не	9	5
96	общение с	1	5
97	должна быть	2	5
98	вообще не	3	5
99	с тем	3	5
100	не в	5	5
101	в отношении	32	5
102	не менее	1	5
103	одна из	1	5
104	только и	1	5
105	у нас	1	5
106	и явление	1	5
107	для себя	1	5
108	свою очередь	2	5
109	в ее	8	5
110	должны быть	1	5
111	если бы	2	5
112	для этого	1	5
113	себя с	1	5
114	что для	1	5
115	ни на	3	5
116	с этой	6	5
117	и для	3	5
118	из себя	1	5
119	а в	2	5
120	в свою	3	5
121	мы не	4	4
122	это что	1	4
123	то это	1	4
124	в их	11	4
125	во всех	6	4
126	точка зрения	2	4
127	для всякого	1	4
128	независимо от	4	4
129	его на	2	4
130	с этим	2	4
131	в своем	14	4
132	однако не	1	4
133	и мы	3	4
134	как и	7	4
135	с точки	17	4
136	и более	2	4
