N	2gram	Berdyaev_N_1	Sotsiolo
1	все это	5	7
2	в том	8	5
3	в этом	7	5
4	и только	1	3
5	не только	5	3
6	и в	16	3
7	но ведь	1	3
8	не в	6	3
9	в его	1	3
10	за пределы	3	2
11	но и	3	2
12	и мы	4	2
13	было бы	1	2
14	к которому	1	2
15	в смысле	2	2
16	должна быть	3	2
17	только в	1	2
18	по природе	1	2
19	том что	2	2
20	как будто	2	2
21	идей и	1	2
22	то что	4	2
23	и что	2	2
24	еще не	3	2
25	заключается что	2	2
26	это и	2	2
27	в конце	1	2
28	что в	9	2
29	может быть	7	2
30	и заключается	2	2
31	по существу	2	2
32	в свои	2	1
33	что все	2	1
34	быть не	1	1
35	по себе	1	1
36	в мире	3	1
37	не должна	1	1
38	в этой	1	1
39	более не	2	1
40	выходит за	1	1
41	которая должна	1	1
42	нельзя мыслить	1	1
43	с другой	3	1
44	ни одно	1	1
45	только для	1	1
46	с ним	1	1
47	это не	4	1
48	в чем	1	1
49	и есть	10	1
50	в то	2	1
51	мысли в	2	1
52	тем что	1	1
53	в наше	3	1
54	что он	1	1
55	прежде всего	4	1
56	бы он	1	1
57	в них	4	1
58	так и	2	1
59	не было	4	1
60	одной стороны	2	1
61	и не	11	1
62	никогда не	6	1
63	наше время	4	1
64	зависит от	2	1
65	мы не	2	1
66	внутреннего единства	1	1
67	все эти	2	1
68	далеко еще	1	1
69	как и	7	1
70	или нет	1	1
71	для этого	2	1
72	она должна	1	1
73	мы должны	1	1
74	должна стать	2	1
75	в сущности	1	1
76	но она	2	1
77	конечно не	3	1
78	и его	1	1
79	в этих	1	1
80	место в	2	1
81	или не	1	1
82	хотя бы	2	1
83	вступает в	1	1
84	мы переходим	1	1
85	не может	16	1
86	в своей	3	1
87	и должно	2	1
88	а в	2	1
89	не способен	1	1
90	него и	1	1
91	что она	2	1
92	должна с	1	1
93	о том	4	1
94	в области	1	1
95	и потому	4	1
96	свои права	2	1
97	в котором	1	1
98	существу своему	1	1
99	всяком случае	1	1
100	когда мы	2	1
101	в силу	1	1
102	должно было	2	1
103	но сам	1	1
104	с одной	2	1
105	но не	2	1
106	у него	2	1
107	и более	1	1
108	том и	2	1
109	во всяком	1	1
110	перейти к	3	1
111	они не	1	1
112	это значит	1	1
