N	3gram	Voloshinov_1	OGranits
1	с точки зрения	6	5
2	не может быть	3	4
3	есть прежде всего	1	3
4	и т.п и	1	3
5	что иное как	1	2
6	в самом деле	2	2
7	не чем иным	1	2
8	в данном случае	1	2
9	с одной стороны	1	2
10	чем иным как	1	2
11	с самого начала	4	2
12	не что иное	1	2
13	в том что	1	2
14	и связанных с	1	1
15	этой точки зрения	1	1
16	на самом деле	4	1
17	подобно тому как	1	1
18	мы должны перейти	1	1
19	то же самое	1	1
20	нам кажется что	2	1
21	на две группы	2	1
22	не может иметь	1	1
23	в этом отношении	1	1
24	можно было бы	1	1
25	него все то	1	1
26	с этой точки	1	1
27	нужно отметить что	1	1
28	мы полагаем что	3	1
29	для того чтобы	1	1
30	так же как	2	1
31	существует только в	1	1
32	ничего общего не	1	1
33	в этот момент	1	1
34	в связи с	1	1
35	все то что	2	1
36	в разных местах	1	1
37	мы утверждаем что	1	1
38	мы не можем	1	1
39	может быть это	3	1
40	в конечном счете	2	1
41	и его школа	1	1
42	роковую роль в	1	1
