N	2gram	Savitsky_P_1	Narrotol
1	не только	17	26
2	а не	2	17
3	представляет собой	1	16
4	но и	6	15
5	в том	9	14
6	в качестве	9	14
7	и не	12	14
8	в этом	10	13
9	и в	14	13
10	том что	4	13
11	только в	7	11
12	в частности	2	11
13	может быть	5	10
14	в данном	1	10
15	сводится к	3	9
16	а в	4	9
17	в себе	3	8
18	то что	4	8
19	не в	5	8
20	не может	4	8
21	в рамках	1	6
22	в своем	4	6
23	все же	1	6
24	и к	4	6
25	но в	9	6
26	в жизни	2	6
27	никогда не	1	6
28	а также	4	6
29	в его	2	6
30	вслед за	3	6
31	того что	2	6
32	со стороны	2	6
33	прежде всего	3	6
34	как бы	4	6
35	отличие от	1	5
36	хотя и	3	5
37	в нем	3	5
38	и тем	2	5
39	далеко не	1	5
40	точки зрения	3	5
41	в котором	4	5
42	место в	1	5
43	не столько	2	5
44	тем самым	3	5
45	в то	7	5
46	с одной	3	5
47	с другой	5	5
48	одной стороны	3	5
49	в отличие	1	5
50	то же	9	4
51	в ее	2	4
52	в этой	1	4
53	отнюдь не	2	4
54	что это	1	4
55	в силу	2	4
56	в мире	2	4
57	и уже	1	4
58	не к	2	4
59	не менее	2	4
60	в себя	1	4
61	если бы	4	4
62	в какой	1	4
63	как и	1	4
64	же в	4	4
65	что в	4	4
66	поскольку не	1	3
67	с его	1	3
68	но не	3	3
69	как к	1	3
70	в известном	1	3
71	и по	1	3
72	одна из	2	3
73	того чтобы	1	3
74	же время	7	3
75	как по	1	3
76	о котором	1	3
77	это не	3	3
78	известном смысле	1	3
79	с ними	3	3
80	никак не	2	3
81	между тем	3	3
82	представить себе	1	3
83	как раз	2	3
84	или иной	1	3
85	только к	1	3
86	да и	2	3
87	и т	3	2
88	должна быть	1	2
89	мы не	3	2
90	же как	1	2
91	подчеркнуть что	1	2
92	в ней	6	2
93	еще не	1	2
94	столь же	3	2
95	могли бы	1	2
96	в самом	1	2
97	из этих	1	2
98	на то	1	2
99	к миру	1	2
100	чтобы в	1	2
101	она оказывается	1	2
102	было бы	6	2
103	о личности	1	2
104	ведет к	1	2
105	хх века	2	2
106	с точки	3	2
107	и что	1	2
108	и более	1	2
109	что с	1	2
110	не имеет	1	2
111	говорить о	2	2
112	потому что	3	2
113	для нас	2	2
114	не вполне	1	2
115	в области	11	2
116	и здесь	1	2
117	но для	1	2
118	мысль о	2	2
119	те же	1	2
120	начала и	2	2
121	быть может	6	2
122	восходит к	1	2
123	что и	1	2
124	в современной	1	2
125	может оказаться	1	2
126	себя в	1	2
127	исключительно в	2	2
128	в виде	2	2
129	в начале	2	2
130	не все	1	2
131	в душе	1	2
132	обратиться к	1	2
133	одно из	1	2
134	давно уже	1	2
135	в других	1	2
136	представляют собой	1	2
137	только на	1	2
138	именно в	2	2
139	а с	1	2
140	церкви и	2	2
141	в бытии	1	2
142	более чем	2	2
143	на фоне	1	2
144	так же	1	2
145	xix в	1	2
146	в результате	1	2
147	но также	4	2
148	тем более	2	2
149	хотя бы	8	2
150	только что	1	2
151	как на	2	2
152	они не	1	2
153	отношения к	2	1
154	также и	1	1
155	например в	2	1
156	с с	2	1
157	определенный момент	1	1
158	которого в	1	1
159	каждый из	1	1
160	тем же	1	1
161	чем было	1	1
162	в определенный	1	1
163	века в	1	1
164	от первой	1	1
165	вопрос о	1	1
166	на себя	1	1
167	к началу	2	1
168	в некотором	1	1
169	мы и	1	1
170	так называемые	2	1
171	в xix	2	1
172	иначе как	1	1
173	во всех	2	1
174	бы она	1	1
175	прошлого не	1	1
176	в общем	2	1
177	не просто	1	1
178	в е	2	1
179	каждый в	2	1
180	наряду с	3	1
