N	2gram	Vygotskiy__1	VrazhdaK
1	не только	16	9
2	в этом	17	8
3	и в	23	8
4	и что	5	8
5	но и	14	7
6	и все	5	7
7	то что	17	7
8	что в	14	7
9	все же	3	6
10	но в	5	6
11	в нем	1	6
12	как и	14	6
13	в котором	4	6
14	и с	9	6
15	и даже	2	6
16	то же	8	5
17	об этом	3	5
18	в то	7	5
19	же время	2	5
20	между тем	9	5
21	у него	1	5
22	не было	1	5
23	и не	9	5
24	в ней	1	4
25	что он	7	4
26	в истории	1	4
27	целый ряд	4	4
28	при этом	4	4
29	это не	1	4
30	несмотря на	2	4
31	все это	6	4
32	в виду	1	4
33	о том	6	4
34	уже в	3	4
35	может быть	14	4
36	как бы	11	4
37	в своих	5	4
38	так же	16	4
39	речь идет	2	3
40	одним из	1	3
41	я не	3	3
42	в чем	4	3
43	с его	4	3
44	в своем	3	3
45	и как	5	3
46	раз в	1	3
47	на то	5	3
48	он не	5	3
49	том что	21	3
50	и его	6	3
51	связи с	3	3
52	по нашему	1	3
53	что у	2	3
54	в его	14	3
55	в том	24	3
56	и у	1	3
57	чтобы он	1	3
58	в конце	2	3
59	тем что	6	3
60	о себе	1	3
61	наряду с	1	3
62	к этому	4	3
63	отношения к	3	2
64	же как	6	2
65	и то	3	2
66	столь же	6	2
67	ответ на	3	2
68	в эти	1	2
69	человека с	2	2
70	отнюдь не	1	2
71	в известном	2	2
72	его на	2	2
73	в этой	7	2
74	что к	1	2
75	в себе	6	2
76	чувств и	1	2
77	о которой	1	2
78	их в	4	2
79	таким образом	26	2
80	об этой	3	2
81	нашему убеждению	1	2
82	в них	2	2
83	а с	4	2
84	мы знаем	1	2
85	не мог	1	2
86	на первый	2	2
87	в эту	1	2
88	во время	1	2
89	точки зрения	26	2
90	в своей	4	2
91	и ее	7	2
92	с точки	18	2
93	не менее	1	2
94	том же	2	2
95	никогда не	2	2
96	на это	1	2
97	и это	3	2
98	на основе	1	2
99	еще не	1	2
100	а также	1	2
101	тем более	5	2
102	по мнению	1	2
103	уже не	2	2
104	из них	1	2
105	для него	2	2
106	к ним	1	2
107	как раз	4	2
108	о чем	2	2
109	начиная с	2	2
110	не может	12	2
111	вместе с	9	2
112	в это	1	2
113	что я	1	2
114	а в	2	2
115	в свою	4	2
116	это в	1	2
117	как известно	3	1
118	с утверждением	1	1
119	ко всем	3	1
120	также и	1	1
121	человека и	3	1
122	рассматривать в	1	1
123	шаг за	2	1
124	этот характер	1	1
125	идет о	2	1
126	ему не	1	1
127	не хочет	1	1
128	едва ли	2	1
129	в их	3	1
130	по его	1	1
131	из всех	2	1
132	полагает что	3	1
133	той же	2	1
134	именно к	1	1
135	он как	2	1
136	совпадает с	1	1
137	говорить о	2	1
138	это отношение	1	1
139	собой в	1	1
140	одном из	2	1
141	на них	1	1
142	первый план	2	1
143	по своему	1	1
144	а следовательно	1	1
145	но не	4	1
146	же на	1	1
147	в сторону	1	1
148	и т.д	5	1
149	некоторые черты	1	1
150	что они	3	1
151	к сожалению	2	1
152	и я	2	1
153	как говорит	2	1
154	из которого	1	1
155	же с	1	1
156	независимо от	6	1
157	как в	4	1
158	с этим	6	1
159	для всех	4	1
160	как к	1	1
161	что как	2	1
162	что ее	1	1
163	и наконец	2	1
