N	2gram	Tiupa_Narr_1	Myshleni
1	речи и	1	28
2	таким образом	1	26
3	точки зрения	10	26
4	в том	18	24
5	и в	19	23
6	том что	14	21
7	в целом	1	20
8	с точки	2	18
9	то что	11	17
10	в этом	17	17
11	так же	2	16
12	не только	32	16
13	того что	1	15
14	как и	7	14
15	что в	3	14
16	но и	23	14
17	в его	9	14
18	может быть	25	14
19	не может	10	12
20	в развитии	1	12
21	представляет собой	13	11
22	сказать что	4	11
23	как бы	4	11
24	прежде всего	4	10
25	с другой	8	10
26	и с	4	9
27	между тем	3	9
28	и не	20	9
29	в качестве	21	9
30	одной стороны	7	9
31	другой стороны	4	9
32	внутренней речи	1	9
33	не является	8	9
34	этой проблемы	1	8
35	то же	4	8
36	с одной	7	8
37	в ходе	1	8
38	и на	3	8
39	в процессе	1	8
40	в основе	5	8
41	в другом	1	7
42	отношению к	6	7
43	и ее	2	7
44	мы не	1	7
45	по отношению	7	7
46	в то	3	7
47	в этой	5	7
48	в самом	1	7
49	как уже	1	7
50	мышлении и	1	7
51	что он	6	7
52	столь же	3	6
53	в себе	8	6
54	все время	1	6
55	независимо от	2	6
56	потому что	1	6
57	с этой	1	6
58	мысли и	1	6
59	и его	5	6
60	лишь в	1	6
61	в силу	4	6
62	в сущности	3	6
63	тем что	3	6
64	только в	4	6
65	могли бы	1	6
66	же как	3	6
67	от того	1	6
68	именно в	6	6
69	мы можем	1	6
70	о том	6	6
71	и тем	4	6
72	в собственном	2	5
73	и все	2	5
74	в какой	2	5
75	тем самым	6	5
76	по себе	5	5
77	по своей	3	5
78	между собой	2	5
79	можно сказать	5	5
80	но в	6	5
81	перед нами	4	5
82	если бы	1	5
83	и т.д	7	5
84	он не	3	5
85	тем более	2	5
86	так и	9	5
87	что мы	2	5
88	и как	5	5
89	как мы	3	5
90	и более	1	5
91	все эти	2	4
92	приводит к	2	4
93	для себя	1	4
94	этого слова	2	4
95	сих пор	1	4
96	как раз	2	4
97	не в	14	4
98	при этом	9	4
99	хотя бы	4	4
100	до сих	1	4
101	друг с	1	4
102	но не	5	4
103	во всей	2	4
104	к тому	7	4
105	отношений между	1	4
106	и к	1	4
107	как в	7	4
