N	3gram	Bakhtin_sl_2	Myslijsy
1	по отношению к	4	13
2	в том что	4	13
3	не может быть	15	9
4	тем не менее	1	6
5	с другой стороны	1	5
6	но и в	1	4
7	в свою очередь	2	4
8	и т д	2	4
9	что не может	1	3
10	с точки зрения	3	3
11	с одной стороны	5	3
12	сама по себе	3	3
13	а в том	1	3
14	то же время	4	3
15	с самого начала	1	3
16	так и в	3	3
17	не только в	2	3
18	в то же	4	3
19	мы увидим что	1	3
20	все более и	1	2
21	и может быть	1	2
22	языка то есть	2	2
23	нельзя себе представить	1	2
24	в применении к	1	2
25	не могут быть	2	2
26	для того чтобы	2	2
27	в нем есть	1	2
28	все то что	1	2
29	не только не	1	2
30	более и более	1	2
31	и т п	33	2
32	в них не	1	2
33	как и в	1	2
34	общие для всех	1	1
35	а следовательно и	1	1
36	зрения на мир	2	1
37	имеет дело с	1	1
38	а не в	1	1
39	только в смысле	1	1
40	вносит в нее	1	1
41	языка но язык	1	1
42	одной стороны и	3	1
43	и там где	3	1
44	мы не можем	1	1
45	своего языка как	1	1
46	и не только	1	1
47	языка а следовательно	1	1
48	сами по себе	1	1
49	в этом отношении	3	1
50	языка но всегда	1	1
51	в собственном смысле	3	1
52	до сих пор	2	1
53	именно так как	1	1
54	и в истории	2	1
55	она может быть	1	1
56	может быть только	1	1
57	всяком случае не	1	1
58	нисколько не уменьшается	1	1
59	что язык не	1	1
60	языка то все	1	1
61	более или менее	2	1
62	души и в	1	1
63	между словом и	3	1
64	в связи с	2	1
65	связанная с ним	1	1
66	и не могут	1	1
67	по себе еще	1	1
68	могут быть сведены	1	1
69	если они не	1	1
70	во всяком случае	2	1
71	в себе все	1	1
72	мы видели что	1	1
73	между тем как	1	1
74	именно в том	1	1
75	между этими двумя	1	1
76	и язык и	1	1
77	языка не может	2	1
78	по себе а	1	1
79	и воля и	1	1
80	о том что	1	1
81	тем и другим	1	1
82	точки зрения так	1	1
83	не менее в	1	1
84	и даже по	1	1
85	но все же	4	1
86	на то что	1	1
87	быть сведены к	1	1
88	для нас в	1	1
89	что язык и	1	1
90	таким образом в	1	1
91	она не может	1	1
92	как мы видели	1	1
93	литературного языка и	1	1
