N	3gram	Medvedev_F_3	Sotsiolo
1	по отношению к	3	2
2	не в том	1	2
3	только в этом	1	2
4	в конце концов	2	2
5	в том что	3	2
6	исторического развития литературы	1	2
7	дело не в	2	2
8	ровно ничего не	2	1
9	не выходит за	1	1
10	с одной стороны	1	1
11	в лучшем случае	1	1
12	между ними в	1	1
13	только то что	2	1
14	выходит за пределы	1	1
15	наука о литературе	1	1
16	во всяком случае	6	1
17	в связи с	4	1
18	в настоящее время	1	1
19	то же самое	3	1
20	в противном случае	1	1
21	может развиваться в	1	1
22	на первый план	1	1
23	то же время	7	1
24	и в то	2	1
25	в то же	7	1
26	том что это	1	1
27	о том как	2	1
28	сама по себе	1	1
