N	2gram	Medvedev_U_1	Analitik
1	в этом	7	18
2	художественного впечатления	1	17
3	не только	10	16
4	литературного произведения	1	16
5	и в	14	16
6	в частности	3	16
7	так и	1	15
8	как и	3	14
9	но и	4	12
10	и не	8	12
11	том что	2	12
12	в том	2	12
13	иначе говоря	1	11
14	в качестве	1	11
15	могут быть	2	10
16	а не	10	10
17	в этой	4	9
18	ничего не	2	9
19	в пределах	1	9
20	и даже	1	9
21	то есть	1	9
22	всего лишь	1	8
23	в данном	1	8
24	не случайно	2	8
25	отнюдь не	1	8
26	о том	1	7
27	в себе	2	7
28	то что	7	7
29	в самом	2	6
30	но в	3	6
31	может быть	6	6
32	с другой	4	6
33	в сторону	2	5
34	произведения в	1	5
35	данном случае	1	5
36	с одной	1	5
37	но не	2	4
38	за пределы	1	4
39	в своем	1	4
40	он в	1	4
41	то же	5	4
42	для него	3	4
43	не в	2	4
44	в конце	2	4
45	и является	2	4
46	можно сказать	1	4
47	только в	2	4
48	уже не	1	4
49	у него	1	4
50	как раз	2	4
51	одной стороны	1	4
52	не может	7	4
53	этом случае	1	4
54	все это	5	4
55	и то	3	3
56	в их	4	3
57	в конечном	4	3
58	мы имеем	1	3
59	на его	1	3
60	не столько	2	3
61	по крайней	2	3
62	никогда не	1	3
63	сводится к	2	3
64	тем что	2	3
65	этом отношении	2	3
66	эстетического объекта	6	3
67	приводит к	1	3
68	если бы	2	3
69	в словах	1	3
70	и т.д	3	3
71	что и	2	3
72	крайней мере	2	3
73	и все	1	3
74	было бы	3	3
75	бы в	1	3
76	прежде всего	8	3
77	с самим	1	3
78	художественного произведения	2	2
79	той же	1	2
80	а как	2	2
81	он был	1	2
82	конечном счете	4	2
83	в значительной	1	2
84	как основной	1	2
85	на то	1	2
86	не следует	3	2
87	он не	1	2
88	что она	2	2
89	таким образом	2	2
90	правило не	1	2
91	что все	2	2
92	же не	2	2
93	это было	2	2
94	этом смысле	2	2
95	по себе	2	2
96	он и	1	2
97	в своей	3	2
98	или точнее	3	2
99	в котором	1	2
100	речи в	1	2
101	она не	1	2
102	что с	1	2
103	в то	3	2
104	же время	3	2
105	или иных	2	2
106	для читателя	1	2
107	строго говоря	1	2
108	что в	1	2
109	произведения как	1	2
110	в произведении	1	2
111	между тем	2	2
112	в его	2	2
113	того что	1	2
114	художественного восприятия	1	2
115	для всех	2	2
116	не есть	2	2
117	одно из	1	2
118	или даже	1	2
119	не о	3	2
120	превращается в	2	2
121	его как	1	2
122	о чем	2	2
123	и слово	1	2
124	должна была	2	2
125	данного произведения	1	2
126	по существу	2	2
127	тех или	2	2
128	и для	2	2
129	объекта и	1	2
130	при таком	2	2
131	художественное впечатление	1	2
132	сказать что	1	2
133	другой стороны	3	2
134	все что	1	2
135	к этому	1	2
136	в таком	1	2
137	а между	2	1
138	самом деле	2	1
139	по его	1	1
140	их и	2	1
141	его собственному	1	1
142	именно к	1	1
143	целого но	1	1
144	не вполне	1	1
145	но даже	2	1
146	быть в	1	1
147	нам представляется	2	1
148	в противовес	2	1
149	не все	2	1
150	очевидно что	3	1
151	размышлений о	1	1
152	независимо от	1	1
153	в художественном	5	1
154	искусство говорит	1	1
155	в противном	2	1
156	более или	1	1
157	искусство и	1	1
158	не приходится	2	1
159	в которой	1	1
160	бы и	2	1
161	так или	1	1
162	еще один	1	1
163	в известном	1	1
164	сам автор	1	1
165	в нем	1	1
166	всех этих	2	1
167	в первую	1	1
168	не как	3	1
169	быть обоснованы	1	1
170	что такой	1	1
171	об этом	1	1
172	входит в	1	1
173	первую очередь	1	1
174	это не	3	1
175	далеко не	1	1
176	этого не	1	1
177	место и	1	1
178	со своими	1	1
179	но если	1	1
180	вспять к	1	1
181	на каждом	2	1
182	обращение к	1	1
183	что этот	1	1
184	и вся	1	1
185	точно и	1	1
186	нас самих	1	1
187	тогда когда	1	1
188	впрочем в	1	1
189	с другом	1	1
190	у нас	3	1
191	случайно и	1	1
192	же самое	2	1
193	анализа в	1	1
194	что при	1	1
195	отказаться от	1	1
196	композиции в	1	1
197	для себя	1	1
198	на материал	1	1
199	в виду	1	1
200	и исторически	1	1
201	слова а	1	1
202	начала и	1	1
203	о нем	1	1
204	и что	1	1
205	все его	1	1
206	с его	2	1
207	или иначе	1	1
208	тот же	1	1
209	хотя бы	5	1
210	неудивительно что	2	1
211	все они	2	1
212	значимость и	1	1
213	вопроса о	2	1
214	то и	1	1
215	некую систему	1	1
216	его и	2	1
217	может служить	1	1
218	когда бы	1	1
219	бы это	1	1
220	даже не	1	1
221	только к	3	1
222	противном случае	2	1
223	придется отказаться	1	1
224	произведения искусства	3	1
225	если не	2	1
226	материал для	2	1
227	и потому	1	1
228	относятся к	1	1
229	но такое	1	1
230	т.д в	1	1
231	и всей	1	1
232	или менее	1	1
233	ряда и	1	1
234	друг с	1	1
235	делает и	1	1
236	случилось с	1	1
237	что же	1	1
238	все детали	1	1
239	еще раз	1	1
240	только для	1	1
241	научного мышления	1	1
242	остается в	1	1
243	случае он	1	1
244	произведения а	1	1
245	представляется что	1	1
246	как на	1	1
247	тем более	1	1
248	но это	2	1
249	же в	1	1
250	себя на	1	1
251	в системе	2	1
252	еще ничего	2	1
253	а о	2	1
254	состоит из	1	1
255	в отдельности	1	1
256	в свое	1	1
257	самое что	1	1
258	ее в	1	1
259	это в	1	1
260	они относятся	1	1
