N	3gram	Tiupa_Disk_1	NovoeSre
1	не может быть	3	4
2	подобно тому как	2	3
3	в наше время	2	3
4	лицом к лицу	1	3
5	никогда не было	1	2
6	в этом смысле	1	2
7	он не может	1	2
8	в нем нет	1	2
9	вместе с тем	1	2
10	с одной стороны	9	2
11	с другой стороны	3	2
12	в том и	1	2
13	по своей природе	2	1
14	и того же	2	1
15	и т.п так	1	1
16	только потому что	1	1
17	а не в	2	1
18	одного и того	2	1
19	в том числе	2	1
20	не было и	1	1
21	до сих пор	1	1
22	и не может	1	1
23	но и потому	1	1
24	том случае если	1	1
25	сами по себе	2	1
26	в отличие от	4	1
27	том числе и	2	1
28	быть отнесены к	1	1
29	в том случае	1	1
30	еще не знает	1	1
31	в том чтобы	2	1
32	не только в	2	1
33	еще не было	1	1
34	и потому что	1	1
35	как будто бы	1	1
36	в известном смысле	1	1
37	по природе своей	5	1
38	не в том	3	1
39	во всяком случае	1	1
40	хотя и в	2	1
41	о том что	5	1
42	в значительной степени	2	1
43	и про себя	1	1
44	имея в виду	1	1
45	это и есть	1	1
46	не только потому	1	1
47	в новое время	1	1
48	в большинстве случаев	1	1
49	в том что	13	1
50	как и в	1	1
51	прежде всего как	1	1
