N	2gram	Losev_Vlad_2	VelikijI
1	и не	18	20
2	и в	30	16
3	так как	5	9
4	то что	20	9
5	еще не	1	8
6	к богу	1	8
7	в пустыне	1	8
8	что они	1	7
9	на земле	2	7
10	а не	7	7
11	и потому	2	7
12	не есть	4	6
13	но и	8	5
14	по пути	1	5
15	того что	5	5
16	хотя и	6	5
17	бога и	1	5
18	все это	5	5
19	как бы	5	5
20	ты не	1	5
21	и есть	2	4
22	говорить о	1	4
23	добра и	1	4
24	в его	11	4
25	и я	5	4
26	в этом	20	4
27	что он	13	4
28	потому что	9	4
29	в нем	4	4
30	так и	5	4
31	что все	1	4
32	что не	2	4
33	с богом	3	4
34	как и	5	4
35	что мы	1	4
36	в котором	5	4
37	в ней	4	4
38	и все	7	4
39	и что	5	3
40	за то	1	3
41	хотя бы	3	3
42	то это	4	3
43	лишь в	1	3
44	в чем	2	3
45	с его	4	3
46	во всех	3	3
47	что и	3	3
48	в том	18	3
49	тот же	5	3
50	но в	8	3
51	бы и	1	3
52	по этому	1	3
53	все эти	5	3
54	истории человечества	1	3
55	за ним	1	3
56	они в	1	3
57	в конце	13	3
58	их в	2	3
59	в своей	5	3
60	и мы	4	3
61	в жизни	1	3
62	ни в	7	3
63	в них	3	3
64	не было	10	3
65	должно быть	3	3
66	если не	2	3
67	в этих	4	3
68	нет ничего	3	3
69	что во	1	3
70	в первый	1	3
71	что я	3	3
72	не в	9	3
73	к чему	1	3
74	любовь к	1	3
75	но это	4	3
76	к бытию	1	3
77	человечества и	1	3
78	не имеет	2	3
79	никогда не	7	3
80	личности и	1	3
81	первый раз	1	3
82	и для	3	3
83	к тому	2	3
84	жизни и	6	3
85	что в	12	3
86	людей в	2	3
87	и это	3	2
88	того чтобы	2	2
89	и то	5	2
90	не имел	2	2
91	но мы	1	2
92	это мы	5	2
93	верит в	1	2
94	и сам	2	2
95	и т	1	2
96	можно было	2	2
97	и за	1	2
98	его не	2	2
99	мы не	2	2
100	когда в	1	2
101	с ним	5	2
102	освобождения от	1	2
103	и во	2	2
104	жизни все	1	2
105	нет и	1	2
106	не с	1	2
107	его к	1	2
108	духа и	1	2
109	только в	6	2
110	те которые	1	2
111	в себя	1	2
112	человечество на	1	2
113	конечно не	4	2
114	уже не	3	2
115	авторитетом и	1	2
116	не только	12	2
117	на этих	3	2
118	вера в	2	2
119	его и	2	2
120	не так	1	2
121	для него	9	2
122	не к	1	2
123	в существе	1	2
124	в прошлом	1	2
125	не могли	3	2
126	тем что	1	2
127	на том	1	2
128	не будет	1	2
129	это не	2	2
130	т д	1	2
131	прежде всего	6	2
132	для них	1	2
133	все равно	1	2
