N	2gram	Medvedev_F_2	Stilisti
1	и в	38	42
2	не только	9	27
3	как бы	4	27
4	прежде всего	15	22
5	хотя бы	6	17
6	но и	13	15
7	то же	6	15
8	и не	20	14
9	социального общения	4	14
10	не может	14	12
11	может быть	23	12
12	как и	9	11
13	точки зрения	8	11
14	и как	3	10
15	как мы	7	10
16	в этом	27	10
17	отнюдь не	8	10
18	мы должны	1	10
19	при этом	9	9
20	мы не	3	9
21	то что	6	9
22	в то	5	9
23	для того	3	9
24	в себе	1	8
25	все же	8	8
26	речевого общения	6	8
27	таким образом	20	8
28	тем самым	2	8
29	с тем	11	8
30	что же	5	8
31	слово как	2	8
32	в ней	6	8
33	и это	2	8
34	в которой	2	7
35	же время	5	7
36	того чтобы	3	7
37	потому что	2	7
38	а не	6	7
39	и от	2	7
40	и его	21	7
41	слов и	1	7
42	зависимости от	3	7
43	ничего не	4	7
44	никогда не	2	7
45	только в	6	7
46	речевое общение	1	7
47	и тем	2	7
48	в зависимости	3	7
49	и на	3	7
50	с его	11	7
51	было бы	6	7
52	так как	4	7
53	в форме	1	6
54	так и	8	6
55	язык в	2	6
56	в нем	13	6
57	и так	1	6
58	не в	15	6
59	в конце	2	6
60	во всех	5	6
61	но ведь	3	6
62	речи и	3	6
63	в этой	6	6
64	в процессе	9	6
65	мы будем	1	6
66	язык и	7	6
67	в области	3	6
68	в свою	1	6
69	точек зрения	1	5
70	же мы	1	5
71	и с	9	5
72	и наконец	4	5
73	слова в	3	5
74	и является	1	5
75	и их	3	5
76	с помощью	10	5
77	как это	2	5
78	того или	4	5
79	те же	1	5
80	в нашем	1	5
81	независимо от	4	5
82	вместе с	6	5
83	в той	2	5
84	мы видели	4	5
85	слова и	7	5
86	что язык	1	5
87	той же	1	5
88	в его	10	5
89	тому что	2	5
90	а в	6	5
91	с точки	7	5
92	или иного	5	5
93	не является	3	5
94	уже в	2	5
95	и следовательно	1	5
96	языка и	12	4
97	общения в	3	4
98	бы в	5	4
99	можно сказать	1	4
100	так же	1	4
101	было в	2	4
102	что это	3	4
103	слово не	1	4
104	и без	1	4
105	всех своих	1	4
106	так сказать	3	4
107	и выбор	1	4
108	его в	3	4
109	на другого	1	4
110	на слушателя	1	4
111	того что	3	4
112	к своему	1	4
113	но все	3	4
114	и к	4	4
115	все время	6	4
116	в качестве	2	4
117	у нас	1	4
