N	3gram	Nazirov_Tv_1	Problema
1	по отношению к	1	19
2	и т п	2	13
3	в отличие от	1	5
4	в данном случае	2	4
5	с другой стороны	1	4
6	в конечном счете	4	4
7	на самом деле	2	3
8	бы то ни	1	3
9	с одной стороны	1	3
10	то же время	12	3
11	в том что	6	3
12	в то же	13	3
13	тем не менее	2	3
14	можно сказать что	2	2
15	имеет место в	1	2
16	то же самое	1	2
17	в том же	1	2
18	и в то	2	2
19	то ни было	1	2
20	не только в	2	2
21	не могут быть	1	2
22	души и тела	1	2
23	не может и	1	2
24	форму и содержание	1	1
25	что иное как	1	1
26	хотя и не	1	1
27	образом и в	1	1
28	в свою очередь	1	1
29	в настоящее время	1	1
30	протяжении всего романа	1	1
31	может быть определен	1	1
32	до сих пор	1	1
33	и в других	1	1
34	хотя бы и	1	1
35	сами по себе	1	1
36	а в этом	1	1
37	на самом же	1	1
38	сделать художественное произведение	1	1
39	полном согласии с	1	1
40	война и мир	1	1
41	в полном согласии	1	1
42	содержание в их	1	1
43	и тем не	1	1
44	бы и в	1	1
45	в своем творчестве	1	1
46	со всеми его	1	1
47	не что иное	1	1
48	не в его	1	1
49	но в то	4	1
50	таким образом и	1	1
51	это имеет место	1	1
52	и как бы	1	1
53	и в их	1	1
54	в связи с	1	1
55	может быть понята	1	1
56	то есть не	2	1
57	в творчестве достоевского	4	1
58	и в романе	1	1
59	но в принципе	1	1
60	самом же деле	1	1
61	он живет и	1	1
62	и содержание в	1	1
63	и в свою	1	1
64	то что в	1	1
65	равно как и	1	1
66	то есть является	1	1
67	лежащая в основе	1	1
68	человека и его	2	1
69	и т д	1	1
70	на протяжении всего	2	1
71	и в самом	1	1
72	в один момент	1	1
73	это как бы	3	1
74	в душе его	1	1
75	к тому что	1	1
76	в его художественной	1	1
77	быть понята как	1	1
78	к вопросу о	1	1
79	как и в	1	1
80	является как бы	1	1
81	дело в том	3	1
82	отметить что в	1	1
83	то что называют	1	1
84	автор как бы	1	1
