N	4gram	Tiupa_Anal_2	Literetu
1	в то же время	2	5
2	состоит в том что	4	4
3	с этой точки зрения	1	3
4	не байрон я другой	1	2
5	нет я не байрон	1	2
6	я не байрон я	1	2
7	внутреннего я во внешнем	1	1
8	креативного и рецептивного сознаний	1	1
9	в рамках определенной культурной	1	1
10	автора героя и читателя	1	1
11	не оставляет места и	1	1
12	эстетического субъекта и эстетического	1	1
13	субъекта и эстетического адресата	1	1
14	ср лермонтовское нет я	1	1
15	человеческого я в мире	1	1
16	как это ни парадоксально	1	1
17	отношения между я и	1	1
18	одним и тем же	1	1
19	в конечном счете к	1	1
20	субъекта объекта и адресата	2	1
21	лермонтовское нет я не	1	1
