N	2gram	Medvedev_B_1	Russkaja
1	и не	2	19
2	и в	1	14
3	таким образом	1	11
4	не только	1	9
5	во всяком	1	9
6	прежде всего	1	8
7	отнюдь не	1	7
8	в данном	1	7
9	все это	2	6
10	всяком случае	1	6
11	на самом	1	6
12	вопрос о	1	5
13	и на	1	5
14	было бы	1	5
15	в своей	1	5
16	все же	1	4
17	можно было	2	4
18	что в	1	4
19	говорить о	1	3
20	еще не	1	3
21	точке зрения	1	3
22	что все	1	3
23	в значительной	1	3
24	и во	1	3
25	одной из	1	3
26	не было	1	3
27	и потому	1	3
28	должна быть	1	2
29	видеть в	2	2
30	в ней	2	2
31	и более	1	2
32	больше чем	2	2
33	на которой	1	2
34	как будто	1	2
35	в области	1	2
36	и о	1	2
37	работа по	1	2
38	совершенно не	1	2
39	не о	1	2
40	а не	1	2
41	было говорить	1	1
42	для которой	1	1
43	не следует	1	1
44	значительной степени	1	1
45	об этом	1	1
46	говорить не	1	1
47	сейчас в	1	1
48	остановиться на	1	1
49	по крайней	1	1
50	к ней	1	1
51	более что	1	1
52	по нашему	1	1
53	не следовало	1	1
54	всего в	1	1
55	так и	1	1
56	в эпоху	1	1
57	никак не	1	1
58	с другой	1	1
59	целиком в	1	1
60	крайней мере	1	1
61	неудивительно что	1	1
62	до конца	1	1
63	ясного и	1	1
64	работу по	1	1
65	следовало бы	1	1
66	узко и	1	1
67	тем более	1	1
68	а о	1	1
