N	2gram	Bakhtin_Pr_3	Retstnzi
1	не может	2	4
2	и в	53	3
3	один из	6	2
4	достоевского и	6	2
5	нет и	1	1
6	в особенности	2	1
7	и событий	3	1
8	и не	15	1
9	не только	4	1
10	и тому	2	1
11	связи с	1	1
12	и истории	1	1
13	событий и	2	1
14	точки зрения	4	1
15	конечно и	4	1
16	так называемая	2	1
17	но и	7	1
18	не менее	3	1
19	с другими	3	1
20	по своим	1	1
21	в ней	7	1
22	в то	5	1
23	с точки	2	1
24	от общей	1	1
25	и на	18	1
26	и социальной	1	1
27	мы видим	2	1
28	и больше	1	1
29	а не	11	1
30	может быть	12	1
31	вполне понятно	1	1
32	несмотря на	2	1
33	и взаимное	1	1
34	в его	8	1
35	он в	2	1
36	же время	5	1
37	то же	6	1
38	и все	10	1
39	из этих	1	1
40	можно назвать	2	1
41	в каждом	4	1
