N	3gram	Losev_Dial_3	Literetu
1	в том что	3	11
2	так или иначе	2	8
3	то же время	1	5
4	в то же	1	5
5	в данном случае	1	4
6	в связи с	1	4
7	в конечном счете	1	4
8	с этой точки	2	3
9	этой точки зрения	2	3
10	и прежде всего	3	3
11	не говоря уже	2	2
12	подобно тому как	4	2
13	с точки зрения	14	2
14	в этом отношении	1	2
15	из того что	2	2
16	с одной стороны	3	2
17	во всяком случае	2	2
18	о том что	5	2
19	тем не менее	10	2
20	в чистом виде	1	1
21	только потому что	1	1
22	в последнее время	1	1
23	иметь в виду	2	1
24	мы никогда не	1	1
25	на самом деле	1	1
26	на то что	3	1
27	как раз и	3	1
28	имеется в виду	3	1
29	и не только	3	1
30	в зависимости от	2	1
31	и одно из	1	1
32	бы то ни	1	1
33	лишь тогда когда	1	1
34	несмотря на свою	1	1
35	все той же	1	1
36	перед нами не	1	1
37	тот или иной	2	1
38	в лучшем случае	1	1
39	по крайней мере	5	1
40	и в частности	1	1
41	при всем своем	1	1
42	как такового с	1	1
43	в самом деле	5	1
44	говоря уже о	2	1
45	и в этом	2	1
46	субъект мыслится как	1	1
47	и есть подлинный	1	1
48	только при условии	1	1
49	как особого рода	2	1
50	не в силах	1	1
51	но может быть	1	1
52	не абсолютная истина	1	1
53	исходит из того	1	1
54	уже и не	1	1
55	с другой стороны	2	1
56	не может и	1	1
57	не может быть	6	1
58	а не абсолютная	1	1
59	тем более не	2	1
60	не мог бы	1	1
61	одно из них	1	1
62	уже не просто	1	1
63	далеко не всегда	1	1
64	до сих пор	1	1
65	одна из форм	1	1
66	собственно говоря и	1	1
67	то ни было	1	1
68	если бы я	1	1
69	для этого он	2	1
70	тех или иных	1	1
71	абсолютная истина и	1	1
72	к тому же	2	1
