N	2gram	Savitsky_P_1	slovoVRo
1	и в	14	41
2	в нем	3	30
3	и т	3	28
4	могут быть	3	19
5	во всех	2	17
6	не только	17	16
7	и не	12	16
8	точки зрения	3	16
9	но и	6	16
10	а не	2	15
11	то же	9	14
12	и на	1	14
13	в то	7	14
14	в пределах	8	14
15	может быть	5	14
16	не может	4	14
17	в его	2	13
18	в этом	10	12
19	же время	7	12
20	как бы	4	12
21	в большинстве	1	10
22	себя в	1	9
23	или иной	1	9
24	но в	9	8
25	с точки	3	8
26	может не	1	8
27	прежде всего	3	8
28	все же	1	7
29	не в	5	7
30	на фоне	1	7
31	во всяком	1	7
32	это не	3	6
33	в них	2	6
34	в отношении	10	6
35	только в	7	6
36	большинстве случаев	1	6
37	а в	4	6
38	отношении к	5	6
39	и к	4	5
40	в самом	1	5
41	т д	1	5
42	далеко не	1	5
43	всяком случае	1	5
44	все это	2	5
45	и мир	1	5
46	точек зрения	2	5
47	с другой	5	5
48	еще более	2	5
49	по преимуществу	1	4
50	поэзии и	1	4
51	в ней	6	4
52	еще не	1	4
53	с его	1	4
54	в которой	1	4
55	не как	1	4
56	в каждом	1	4
57	и с	2	4
58	как и	1	4
59	к предмету	1	4
60	с ее	1	4
61	с одной	3	4
62	одной стороны	3	4
63	там где	1	4
64	и потому	4	4
65	в смысле	6	4
66	другой стороны	1	4
67	также и	1	3
68	как таковые	1	3
69	в своем	4	3
70	более или	1	3
71	бы и	1	3
72	из этих	1	3
73	в себе	3	3
74	связанные с	1	3
75	ни были	1	3
76	как оно	1	3
77	его в	1	3
78	было бы	6	3
79	или менее	1	3
80	и ее	1	3
81	она не	1	3
82	нем в	1	3
83	никогда не	1	3
84	и здесь	1	3
85	в других	1	3
86	и этим	1	3
87	тем чем	1	3
88	переходит в	1	3
89	того что	2	3
90	в том	9	3
91	бы ни	2	3
92	в качестве	9	3
93	и других	2	3
94	из них	2	3
95	друг друга	1	3
96	именно в	2	3
97	не было	2	3
98	в истории	1	3
99	речь но	1	3
100	не были	1	3
101	с этим	2	3
102	в данном	1	3
103	есть как	1	3
104	в основном	1	3
105	в результате	1	3
106	формах и	1	3
107	хотя бы	8	3
108	с ними	3	3
109	например в	2	2
110	связана с	1	2
111	нового не	1	2
112	в котором	4	2
113	века в	1	2
114	мы не	3	2
115	же как	1	2
116	мы и	1	2
117	конечно и	1	2
118	и то	1	2
119	в сочетании	2	2
120	столь же	3	2
121	различия между	1	2
122	в ее	2	2
123	но не	3	2
124	как к	1	2
125	хотя и	3	2
126	от этой	1	2
127	есть для	1	2
128	у каждого	1	2
129	в известном	1	2
130	не могла	1	2
131	свои собственные	1	2
132	и по	1	2
133	одно и	1	2
134	те же	1	2
135	и иных	1	2
136	для них	2	2
137	нисколько не	1	2
138	том что	4	2
139	в эту	2	2
140	в этих	1	2
141	друг другу	2	2
142	и эти	1	2
143	xviii века	1	2
144	для нас	2	2
145	мы все	1	2
146	света в	2	2
147	и о	5	2
148	в рамки	1	2
149	не с	1	2
150	а также	4	2
151	оставаясь в	1	2
152	известном смысле	1	2
153	мы видим	1	2
154	между тем	3	2
155	и тем	2	2
156	если мы	1	2
157	только на	1	2
158	в виде	2	2
159	для того	3	2
160	в последние	2	2
161	именно как	2	2
