N	3gram	Propp_Isto_6	Komedia
1	в том что	5	5
2	вместе с тем	3	4
3	о том что	4	4
4	для того чтобы	1	4
5	по отношению к	2	3
6	в том числе	1	3
7	так или иначе	1	3
8	в то время	3	3
9	в обоих случаях	1	2
10	только потому что	1	2
11	в частности в	1	2
12	в одной из	1	2
13	до сих пор	4	2
14	то время как	3	2
15	с одной стороны	7	2
16	во всяком случае	2	2
17	что у него	1	2
18	независимо от того	1	2
19	после того как	2	2
20	можно было бы	2	2
21	друг с другом	1	2
22	что и в	2	2
23	речь идет о	1	2
24	объясняется что в	1	1
25	должны были бы	1	1
26	не означает что	1	1
27	между небом и	1	1
28	греции и в	1	1
29	иначе обстоит дело	1	1
30	освобожденный им от	1	1
31	состоял в том	1	1
32	на первый план	2	1
33	сих пор не	1	1
34	небом и землей	1	1
35	этого даже не	1	1
36	для этой цели	1	1
37	наряду с этим	1	1
38	но и в	2	1
39	мы находим в	1	1
40	что в нем	2	1
41	том числе и	1	1
42	точно так же	2	1
43	вместе с ними	1	1
44	так как он	2	1
45	с такой силой	1	1
46	чем говорилось выше	1	1
47	другой стороны он	2	1
48	на задний план	1	1
49	в уже упомянутой	1	1
50	обстоит дело с	1	1
51	тот или другой	1	1
52	этим объясняется что	3	1
53	в достаточной степени	1	1
54	с другой стороны	8	1
55	таким образом и	2	1
56	и в том	1	1
57	не может быть	3	1
58	к отказу от	1	1
59	о чем говорилось	1	1
60	более или менее	1	1
61	у него в	1	1
62	в тех случаях	3	1
63	всяком случае в	1	1
64	так и в	1	1
65	показывает нам в	1	1
66	то что не	1	1
67	не только в	4	1
68	но все же	2	1
69	чем на половину	1	1
70	тех случаях когда	3	1
71	с другом и	1	1
72	в так называемых	1	1
73	тем не менее	1	1
74	к выводу что	1	1
75	даже в тех	2	1
76	как мы видели	2	1
