N	2gram	Tiupa_Disk_2	Myslijsy
1	то есть	12	34
2	потому что	4	33
3	то что	5	29
4	может быть	16	26
5	таким образом	1	24
6	в этом	16	23
7	и в	16	23
8	в том	8	23
9	и не	15	18
10	что в	5	17
11	в языке	2	16
12	при этом	17	15
13	только в	3	15
14	в себе	19	14
15	как и	16	14
16	того что	1	14
17	то же	6	14
18	не было	3	12
19	а не	14	12
20	том что	10	12
21	не может	9	11
22	не в	3	11
23	но и	11	11
24	по отношению	4	10
25	для меня	1	10
26	тем что	1	10
27	не только	10	10
28	между тем	2	9
29	не есть	1	9
30	о том	4	8
31	отношению к	4	8
32	мы не	1	8
33	заключает в	2	8
34	стало быть	1	8
35	но в	11	8
36	сказать что	1	8
37	в своем	5	8
38	поэзии и	1	7
39	вовсе не	1	7
40	в нем	7	7
41	это не	3	7
42	как в	8	7
43	в силу	1	7
44	и что	1	7
45	могут быть	3	7
46	что и	2	7
47	в которой	1	6
48	так и	9	6
49	вместе с	2	6
50	того как	1	6
51	в ряду	2	6
52	мысль о	3	6
53	во всяком	1	5
54	говорить о	2	5
55	крайней мере	1	5
56	не менее	7	5
57	есть в	2	5
58	с ним	1	5
59	должно быть	2	5
60	а в	2	5
61	что же	2	5
62	не то	1	5
63	для него	5	5
64	хотя и	1	5
65	в его	3	5
66	этом случае	2	5
67	так что	1	5
68	внимание на	1	5
69	по крайней	1	5
70	так сказать	1	5
71	слова и	1	5
72	все это	2	5
73	и то	4	5
74	как бы	4	5
75	со своим	2	4
76	на мысль	1	4
77	и с	2	4
78	но есть	1	4
79	тогда как	11	4
80	видно что	1	4
81	что как	2	4
82	и все	3	4
83	быть названо	1	4
84	точки зрения	4	4
85	тем самым	6	4
86	то ж	1	4
87	а между	1	4
88	в одном	4	4
89	есть не	1	4
90	для человека	1	4
91	между ними	1	4
92	в той	2	4
93	можно сказать	3	4
94	в то	5	4
95	да и	1	4
96	в истории	1	4
97	тем не	1	4
98	мы имеем	2	4
99	и может	3	4
100	в котором	3	4
101	его в	3	4
102	что он	2	4
103	только на	1	4
104	слово в	1	4
105	и более	1	4
106	в данном	7	4
107	все эти	3	3
108	образа и	1	3
109	еще не	6	3
110	же время	5	3
111	как искусство	1	3
112	в разных	1	3
113	только от	1	3
114	в поэзии	1	3
115	ведет к	3	3
116	и так	1	3
117	было в	3	3
118	там где	1	3
119	самом деле	1	3
120	бы не	1	3
121	там же	2	3
122	так в	1	3
123	и есть	1	3
124	именно в	2	3
125	то в	1	3
126	слова не	2	3
127	нашего времени	1	3
128	со стороны	10	3
129	в искусстве	1	3
130	и только	1	3
131	но уже	2	3
132	например в	3	3
133	более чем	2	3
134	в этих	3	3
135	с точки	2	3
136	языка и	1	3
137	мы в	1	3
138	лица и	1	3
139	никогда не	2	3
140	всяком случае	1	3
141	в первом	1	3
142	той же	2	3
143	уже не	3	3
144	переход от	1	3
145	в них	3	3
146	мысли не	1	3
147	в самом	1	3
148	и на	5	3
149	к тому	1	3
150	в процессе	1	3
151	их в	2	3
152	лишь в	1	3
153	мы его	1	3
154	и состоит	2	3
155	известной степени	1	3
156	и до	1	3
157	в которых	1	3
158	и их	1	3
159	и следовательно	1	3
160	к одному	1	3
161	но это	3	3
162	и здесь	1	2
163	или слов	1	2
164	отношения между	2	2
165	на деле	1	2
166	данном случае	6	2
167	в общих	1	2
168	что будет	2	2
169	в состоянии	1	2
170	и для	2	2
171	большинстве случаев	1	2
172	стремится к	2	2
173	к другим	1	2
174	только о	1	2
175	в большинстве	2	2
176	в ее	1	2
177	даже в	1	2
178	можно только	1	2
179	дело не	1	2
180	не были	1	2
181	человек не	1	2
182	в голову	1	2
183	не знаем	1	2
184	этом в	2	2
