N	2gram	Tiupa_Hudo_2	Formalny
1	т е	2	32
2	и не	18	30
3	вовсе не	2	28
4	и в	28	27
5	может быть	8	25
6	не может	4	24
7	так и	8	21
8	и его	5	19
9	в этом	13	18
10	а не	14	17
11	самом деле	3	16
12	точки зрения	2	16
13	то же	6	15
14	в нем	3	15
15	между ними	2	15
16	как и	11	14
17	с точки	2	14
18	не в	13	12
19	если бы	6	12
20	и т	4	11
21	в самом	5	11
22	в жизни	8	11
23	и от	2	11
24	художественное произведение	1	11
25	место в	2	10
26	но и	9	10
27	в действительности	1	9
28	не только	11	9
29	лишь в	2	9
30	так как	1	9
31	так же	3	9
32	отнюдь не	2	8
33	как бы	5	8
34	при этом	11	8
35	как мы	2	8
36	в пределах	1	8
37	только в	4	8
38	как раз	4	8
39	то что	6	8
40	и все	7	8
41	что в	5	8
42	не менее	5	7
43	же время	4	7
44	потому что	2	7
45	его в	2	7
46	между тем	8	7
47	в его	11	7
48	в том	15	7
49	там где	1	7
50	все это	3	7
51	совершенно не	1	7
52	в то	6	7
53	в искусстве	1	7
54	здесь и	1	6
55	еще не	3	6
56	но в	2	6
57	все эти	1	6
58	т д	2	6
59	в своей	6	6
60	и ее	3	6
61	и теперь	1	6
62	все время	3	6
63	было бы	3	6
64	что он	8	6
65	с другой	3	6
66	более того	1	6
67	вместе с	2	6
68	в данном	2	6
69	все же	2	6
70	и для	2	6
71	бы в	1	6
72	хотя бы	2	6
73	в своих	1	6
74	становится в	1	5
75	но не	4	5
76	в одной	1	5
77	независимо от	1	5
78	в художественном	4	5
79	так сказать	1	5
80	в каждом	1	5
81	того чтобы	4	5
82	сводится к	6	5
83	в направлении	1	5
84	в ней	3	5
85	что они	4	5
86	в дальнейшем	1	5
87	никогда не	5	5
88	в плоскости	1	5
89	т п	2	5
90	лишь для	1	5
91	тем что	6	5
92	именно так	2	5
93	и потому	1	5
94	тому как	4	5
95	что же	2	5
96	не является	2	5
97	другой стороны	1	5
98	мы не	1	4
99	он был	1	4
100	бы то	1	4
101	как в	5	4
102	но ведь	1	4
103	на ее	3	4
104	в корне	1	4
105	подобно тому	4	4
106	то ни	1	4
107	данном случае	2	4
108	в ее	18	4
109	в слове	1	4
110	мы знаем	2	4
111	том что	19	4
112	установка на	1	4
113	по себе	1	4
114	она не	5	4
115	к тому	7	4
116	роль в	2	4
117	о том	12	4
118	как ее	1	4
119	же и	2	4
120	уже в	1	4
121	только на	5	4
122	следует что	1	4
123	для того	4	4
124	со стороны	3	4
125	прежде всего	3	4
126	до конца	1	4
127	как это	7	4
128	да и	5	4
129	слова и	1	4
130	между собой	1	4
131	обстоит дело	1	4
132	из этого	1	4
133	жизни и	6	4
134	одним из	1	3
135	же как	2	3
136	функции в	1	3
137	мы уже	3	3
138	той же	2	3
139	и на	3	3
140	столь же	3	3
141	во всех	1	3
142	то он	1	3
143	нет и	1	3
144	нового и	1	3
145	бы и	4	3
146	что это	5	3
147	в себе	9	3
148	не следует	1	3
149	и с	6	3
150	те же	2	3
151	искусства в	1	3
152	это не	6	3
153	и тем	1	3
154	он и	1	3
155	раз и	1	3
156	в этих	3	3
157	от его	1	3
158	и более	1	3
159	по отношению	7	3
160	тому что	4	3
161	в основе	2	3
162	для нас	3	3
163	этом отношении	1	3
164	же самое	3	3
165	они и	2	3
166	оно не	2	3
167	еще в	1	3
168	жизнь и	1	3
169	никак не	1	3
170	и что	1	3
171	можно сказать	6	3
172	их в	1	3
173	в них	3	3
174	не нуждается	1	3
175	дело с	2	3
176	уже не	10	3
177	его и	2	3
178	нуждается в	2	3
179	в конце	1	3
180	произведения и	1	3
181	не о	1	3
182	на фоне	3	3
183	в той	1	3
184	того что	1	3
185	отношению к	7	3
186	в условиях	1	3
187	о нем	2	3
188	жизни в	7	3
189	сказать что	2	3
190	героя в	1	3
191	и эта	2	3
192	отношения к	1	2
193	чтобы не	3	2
194	человека и	3	2
195	а иногда	1	2
196	ее роль	1	2
197	это и	1	2
198	к другому	1	2
199	отношения между	1	2
200	в котором	6	2
201	высшей степени	1	2
202	обойтись без	1	2
203	который был	2	2
204	в сущности	1	2
205	говорить о	2	2
206	они вместе	1	2
207	с его	5	2
208	жизни с	2	2
209	к нулю	1	2
210	в сторону	1	2
211	в общем	1	2
212	или иное	1	2
213	за пределы	1	2
214	чем же	1	2
215	в своем	5	2
216	от этого	1	2
217	то в	4	2
218	целого произведения	1	2
219	бы не	3	2
220	из этих	2	2
221	в этой	5	2
222	как он	3	2
223	жизнью и	1	2
224	что она	7	2
225	а несколько	1	2
226	пределах одного	1	2
227	не как	2	2
228	из виду	1	2
229	на земле	1	2
230	на жизнь	1	2
231	какой бы	1	2
232	на этом	2	2
233	лишь с	1	2
234	человека в	4	2
235	не понимают	1	2
236	для чего	1	2
237	ни с	2	2
238	и тогда	2	2
239	том как	2	2
240	таким же	1	2
241	знаем что	1	2
242	внешнего и	1	2
243	однако в	2	2
244	даже в	1	2
245	сам он	2	2
246	виду что	1	2
247	как о	3	2
248	дело не	2	2
249	дело в	1	2
250	одна из	2	2
251	и притом	1	2
252	не могло	1	2
253	только не	2	2
254	и лишь	1	2
255	тем не	4	2
256	отличается от	1	2
257	и это	3	2
258	интонаций в	1	2
259	с ее	5	2
260	и понять	1	2
261	но при	3	2
262	здесь не	2	2
263	то или	1	2
264	в пределе	1	2
265	и необходимости	1	2
266	это только	1	2
267	является в	1	2
268	ничего не	5	2
269	в самой	1	2
270	ее и	1	2
271	что и	4	2
272	и только	2	2
273	соединении с	1	2
274	говорит в	2	2
275	в самое	1	2
276	именно на	2	2
277	и внутреннего	1	2
278	из них	2	2
279	превращаются в	1	2
280	характерно что	3	2
281	автор и	1	2
282	от того	1	2
283	случае с	1	2
284	и даже	1	2
285	или иной	2	2
286	в области	1	2
287	и тех	3	2
288	к которому	1	2
289	действующих лиц	1	2
290	превращается в	4	2
291	а на	1	2
292	была бы	3	2
293	установкой на	1	2
294	с такой	2	2
295	быть только	1	2
296	распадается на	1	2
297	но это	1	2
298	но для	1	2
299	одной из	3	2
300	героя и	3	2
301	прямой наследник	1	2
302	именно потому	1	2
303	к этому	1	2
304	в таком	1	2
305	я и	6	1
306	и завершается	1	1
307	таком случае	1	1
308	и через	1	1
309	и то	2	1
310	противоречия между	1	1
311	тех же	1	1
312	с какой-то	1	1
313	от своей	1	1
314	в первом	2	1
315	иное место	1	1
316	все те	2	1
317	со своей	2	1
318	собою в	1	1
319	не происходит	1	1
320	с в	1	1
321	и игра	1	1
322	бы уже	1	1
323	мы имеем	1	1
324	своего внутреннего	1	1
325	только другим	1	1
326	содержания в	1	1
327	во времени	1	1
328	нам в	1	1
329	не была	1	1
330	с толстым	3	1
331	а для	2	1
332	ему в	2	1
333	еще жива	1	1
334	этого термина	1	1
335	так а	1	1
336	одного слова	2	1
337	жизни это	1	1
338	в каждой	1	1
339	произведения со	1	1
340	это время	1	1
341	так или	1	1
342	установку на	1	1
343	души есть	1	1
344	установки на	1	1
345	тем как	2	1
346	как у	2	1
347	тот или	1	1
348	другого человека	1	1
349	только тогда	1	1
350	иногда и	1	1
351	себе и	1	1
352	не просто	1	1
353	же обстоит	1	1
354	и чем	1	1
355	один и	1	1
356	ни одна	1	1
357	противоречие в	1	1
358	и нет	1	1
359	дистанция между	1	1
360	скажем на	1	1
361	хотя и	1	1
362	сознания в	1	1
363	следующим образом	3	1
364	составляет содержание	1	1
365	значение если	1	1
366	та же	2	1
367	из жизни	1	1
368	социальная природа	1	1
369	жизни так	2	1
370	в нашем	2	1
371	тоже не	2	1
372	остановиться на	1	1
373	и тот	1	1
374	всей его	1	1
375	не могла	5	1
376	речь людей	1	1
377	если для	1	1
378	он не	4	1
379	здесь однако	1	1
380	роли в	2	1
381	в принципе	2	1
382	душу и	1	1
383	по существу	1	1
384	еще одну	1	1
385	ни был	1	1
386	но все	1	1
387	значительной степени	1	1
388	исходя из	1	1
389	он будет	2	1
390	не будет	2	1
391	же не	2	1
392	он просто	1	1
393	в мире	7	1
394	в поэтике	1	1
395	а его	1	1
396	зрения на	2	1
397	сказать в	1	1
398	того или	2	1
399	с другими	3	1
400	не одна	1	1
401	о которых	2	1
402	освободиться от	1	1
403	с этой	1	1
404	чем в	1	1
405	выйти за	1	1
406	такою же	1	1
407	этого произведения	3	1
408	автора и	2	1
409	который как	1	1
410	что между	1	1
411	и при	1	1
412	это ощущение	1	1
413	она в	2	1
414	что говорит	2	1
415	могло бы	1	1
416	нас все	1	1
417	но он	1	1
418	теми же	1	1
419	том же	1	1
420	не должна	1	1
421	еще так	1	1
422	вместе со	2	1
423	же мы	1	1
424	жизни между	1	1
425	же такое	1	1
426	то с	1	1
427	и понимается	1	1
428	каждого отдельного	1	1
429	с миром	1	1
430	с ним	7	1
431	тем самым	2	1
432	она могла	1	1
433	самого начала	1	1
434	здесь лишь	1	1
435	того как	2	1
436	на себе	1	1
437	на него	3	1
438	та или	1	1
439	для всего	1	1
440	в разных	1	1
441	таковой не	1	1
442	теперь с	1	1
443	учения о	1	1
444	как она	1	1
445	глубину и	1	1
446	ему не	1	1
447	в момент	1	1
448	данности и	2	1
449	ведь даже	1	1
450	наконец в	1	1
451	во все	1	1
452	глава третья	1	1
453	числе и	1	1
454	нужды не	1	1
455	той или	1	1
456	но по	1	1
457	людей в	2	1
458	эта пара	1	1
459	этом произведении	1	1
460	дала бы	1	1
461	в себя	1	1
462	с самого	1	1
463	ее осуществления	1	1
464	только через	1	1
465	можно было	3	1
466	не с	2	1
467	произведения здесь	1	1
468	произведения не	2	1
469	для него	5	1
470	об этом	7	1
471	лишь то	1	1
472	и здесь	1	1
473	настоящее время	1	1
474	и внутреннее	1	1
475	но мы	1	1
476	и просто	2	1
477	и который	1	1
478	линия в	1	1
479	первоначального замысла	1	1
480	в значительной	1	1
481	нас в	1	1
482	внутреннее в	1	1
483	на человека	1	1
484	все в	1	1
485	места и	1	1
486	значении термина	1	1
487	путь к	1	1
488	других людей	1	1
489	сознания а	1	1
490	к произведению	1	1
491	того в	1	1
492	внешнее и	1	1
493	и писать	1	1
494	что бы	1	1
495	и иных	1	1
496	как например	1	1
497	быть и	1	1
498	но с	1	1
499	в двух	2	1
500	не видеть	2	1
501	и так	1	1
502	который в	2	1
503	впрочем и	2	1
504	одних и	1	1
505	делах и	1	1
506	из категории	1	1
507	это же	1	1
508	с одной	3	1
509	в качестве	4	1
510	видеть и	1	1
511	себя в	8	1
512	так что	1	1
513	для всех	1	1
514	оказывается в	1	1
515	завершение в	1	1
516	и у	2	1
517	то и	4	1
518	ни одного	2	1
519	в нашей	1	1
520	же в	1	1
521	в начале	1	1
522	целого ряда	1	1
523	или даже	1	1
524	и других	1	1
525	за ним	1	1
526	одно из	5	1
527	говорит о	4	1
528	себе в	2	1
529	ведь это	1	1
530	в одном	3	1
531	для меня	1	1
532	в рассмотренных	1	1
533	без этого	1	1
534	и никогда	1	1
535	людей не	1	1
536	в других	4	1
537	рассказа и	2	1
538	где в	1	1
539	без того	1	1
540	ней и	1	1
541	до сих	2	1
542	вполне отвечает	1	1
543	или иначе	1	1
544	что человек	1	1
545	где та	1	1
546	однако это	1	1
547	именно в	2	1
548	а о	2	1
549	к младшей	1	1
550	ряд с	1	1
551	человека а	1	1
552	еще и	2	1
553	полагаем что	1	1
554	не было	6	1
555	настоящего времени	1	1
556	одной стороны	3	1
557	и составляет	2	1
558	жизнь в	2	1
559	выражением его	1	1
560	о чем	8	1
561	и силы	1	1
562	представляется нам	2	1
563	в речи	1	1
564	стороны в	1	1
565	все более	1	1
566	бы оно	1	1
567	нет ничего	2	1
568	в творчестве	1	1
569	в частности	7	1
570	он тем	1	1
571	не удается	1	1
572	для искусства	1	1
573	в течение	1	1
574	в точке	1	1
575	а потом	1	1
576	рассказа в	4	1
577	его собственные	1	1
578	в словах	1	1
579	может идти	1	1
580	дело здесь	1	1
581	смысл в	1	1
582	в это	3	1
583	в контексте	2	1
584	на другое	1	1
585	было ни	1	1
586	этом случае	1	1
587	и о	4	1
588	сих пор	2	1
589	только для	2	1
590	один из	2	1
591	более и	1	1
592	за его	1	1
593	всего произведения	1	1
594	она может	2	1
595	только тем	2	1
596	каждая новая	1	1
597	его с	1	1
598	мира и	1	1
599	в настоящее	1	1
600	это так	1	1
601	интерес к	1	1
602	еще более	1	1
603	все они	3	1
604	лежит в	1	1
605	а в	6	1
606	отношении к	1	1
607	не знает	1	1
608	и внутренне	2	1
609	того на	1	1
610	или иного	2	1
611	бы его	1	1
612	в кругу	1	1
613	можно назвать	1	1
614	это в	1	1
615	каждое слово	1	1
616	том числе	1	1
