N	3gram	Vygotskiy__3	NovoeSre
1	в высшей степени	1	6
2	не может быть	1	4
3	подобно тому как	1	3
4	в наше время	2	3
5	он не может	1	2
6	это совсем не	1	2
7	и заключается что	1	2
8	вместе с тем	2	2
9	с одной стороны	5	2
10	том и заключается	1	2
11	с другой стороны	5	2
12	в свои права	1	2
13	в том и	1	2
14	она не может	1	2
15	и в ней	1	1
16	такой же мере	1	1
17	а не к	1	1
18	что в этом	1	1
19	то время как	2	1
20	в зависимость от	1	1
21	не имеют никакого	1	1
22	до сих пор	5	1
23	и во всех	2	1
24	том случае если	1	1
25	в зависимости от	1	1
26	в отличие от	1	1
27	но это совсем	1	1
28	о человеке и	2	1
29	заключает в себе	1	1
30	можно было бы	1	1
31	в том случае	1	1
32	в том чтобы	1	1
33	в такой же	1	1
34	не в том	2	1
35	то что он	2	1
36	во всяком случае	2	1
37	я не могу	2	1
38	о том что	3	1
39	в то время	2	1
40	вступает в свои	1	1
41	и к ней	1	1
42	то что в	2	1
43	мы выходим из	1	1
44	и вместе с	2	1
45	не к чему	1	1
46	никогда еще не	1	1
47	в том смысле	2	1
48	это не есть	1	1
49	в том что	11	1
50	видим перед собой	1	1
51	конечно не в	1	1
52	мысли в том	1	1
