N	2gram	Medvedev_V_1	VelikijI
1	во имя	1	32
2	и не	19	20
3	и в	26	16
4	то что	6	9
5	еще не	2	8
6	в истории	1	8
7	что они	3	7
8	а не	7	7
9	и потому	2	7
10	человека и	3	6
11	на себя	1	5
12	но и	10	5
13	того что	3	5
14	хотя и	2	5
15	все это	10	5
16	что есть	1	5
17	как бы	5	5
18	и есть	5	4
19	в образе	2	4
20	говорить о	2	4
21	в его	14	4
22	мы хотим	1	4
23	в этом	26	4
24	что он	4	4
25	потому что	1	4
26	в нем	6	4
27	так и	5	4
28	что все	3	4
29	что не	3	4
30	как и	7	4
31	что мы	2	4
32	в котором	3	4
33	в ней	2	4
34	и все	1	4
35	этого мира	1	3
36	и что	1	3
37	хотя бы	19	3
38	то это	2	3
39	как не	1	3
40	лишь в	2	3
41	в чем	2	3
42	с его	3	3
43	во всех	6	3
44	что и	3	3
45	в том	15	3
46	но в	2	3
47	бы и	6	3
48	по этому	9	3
49	все эти	6	3
50	они в	1	3
51	в конце	3	3
52	их в	6	3
53	в своей	4	3
54	в жизни	2	3
55	ни в	1	3
56	в них	4	3
57	не было	7	3
58	должно быть	2	3
59	если не	1	3
60	в этих	1	3
61	нет ничего	1	3
62	что во	1	3
63	не в	6	3
64	тому что	6	3
65	но это	1	3
66	не имеет	1	3
67	никогда не	4	3
68	личности и	1	3
69	и для	2	3
70	к тому	4	3
71	жизни и	3	3
72	что в	10	3
73	а между	1	2
74	и это	1	2
75	того чтобы	3	2
76	и то	1	2
77	это мы	3	2
78	и сам	1	2
79	и т	23	2
80	можно было	2	2
81	его не	3	2
82	в последнем	2	2
83	с ним	1	2
84	ее и	1	2
85	и во	1	2
86	между тем	5	2
87	нет и	3	2
88	вслед за	2	2
89	которые не	1	2
90	вот по	1	2
91	только в	7	2
92	существе своем	1	2
93	ничего и	1	2
94	конечно не	1	2
95	уже не	1	2
96	не только	25	2
97	раз навсегда	1	2
98	его и	1	2
99	для него	8	2
100	в существе	1	2
101	и никогда	1	2
102	вот почему	4	2
103	тем что	1	2
104	так не	1	2
105	это не	7	2
106	т д	14	2
107	прежде всего	13	2
108	для них	1	2
109	с тем	3	2
110	мы и	1	2
111	один из	5	2
112	для их	1	2
113	мира в	1	2
114	более чем	1	2
115	не могут	7	2
116	является в	1	2
117	значения и	1	2
118	самого себя	2	2
119	да и	1	2
120	о свободе	1	2
121	одна из	4	2
122	что их	1	2
123	было еще	1	2
124	том что	8	2
125	а к	1	2
126	для нас	1	2
127	от него	1	2
128	в форме	3	2
129	они и	1	2
130	ее в	4	2
131	не создает	1	2
132	а в	3	2
133	но не	2	2
134	в духе	1	2
135	могут быть	5	2
136	понимает и	1	2
137	во всяком	1	2
138	речь идет	1	1
139	как мы	1	1
140	в виду	4	1
141	ним или	1	1
142	в ее	4	1
143	роль в	4	1
144	он всегда	1	1
145	если они	1	1
146	то же	10	1
147	их работать	1	1
148	их и	4	1
149	в результате	5	1
150	это только	4	1
151	по сравнению	1	1
152	вопрос о	1	1
153	и ее	4	1
154	не был	1	1
155	зависимости от	5	1
156	о судьбе	1	1
157	в их	5	1
158	он был	1	1
159	после того	1	1
160	в последних	1	1
161	людей это	1	1
162	это имеет	1	1
163	что оно	3	1
164	но как	3	1
165	от них	2	1
166	если в	2	1
167	а потому	1	1
168	себе и	2	1
169	бы в	3	1
170	крайней мере	2	1
171	так говорит	1	1
172	снять с	1	1
173	это самое	1	1
174	за эти	2	1
175	как в	1	1
176	и самые	1	1
177	и мир	3	1
178	в своем	8	1
179	что нет	2	1
180	все же	5	1
181	но с	2	1
182	еще больше	1	1
183	мы видим	1	1
184	с ними	4	1
185	и свою	1	1
186	и так	1	1
187	в самом	4	1
188	у них	2	1
189	в которой	2	1
190	образа в	2	1
191	в целом	4	1
192	сущности и	1	1
193	в этой	4	1
194	в известном	1	1
195	же и	2	1
196	уже в	1	1
197	в виде	1	1
198	и если	1	1
199	по законам	1	1
200	по словам	8	1
201	слова не	1	1
202	или даже	1	1
203	чего бы	2	1
204	говорит что	1	1
205	в понимании	1	1
206	и осмысленной	1	1
207	бы мог	1	1
208	многим из	1	1
209	ницше и	1	1
210	вовсе не	3	1
211	не для	1	1
212	себя от	1	1
213	отношение к	1	1
214	как абсолютная	1	1
215	но что	1	1
216	у него	6	1
217	свобода есть	1	1
218	не случайно	1	1
219	и по	3	1
220	на этом	1	1
221	бы все	1	1
222	его хотя	1	1
223	и вместе	1	1
224	человека в	2	1
225	для того	3	1
226	в едином	1	1
227	в состоянии	1	1
228	она к	1	1
229	и менее	1	1
230	как возможно	1	1
231	с другой	11	1
232	художественный образ	5	1
233	в следующих	1	1
234	это одна	1	1
235	сознания или	1	1
236	и быть	2	1
237	еще и	2	1
238	бытия в	1	1
239	говорит о	7	1
240	в общественной	1	1
241	них и	1	1
242	бы весь	1	1
243	не всегда	1	1
244	жизнь в	1	1
245	своей личности	1	1
246	между собою	2	1
247	о чем	2	1
248	их на	1	1
249	воплощение в	2	1
250	стороны в	2	1
251	него в	3	1
252	вместе с	7	1
253	так же	3	1
254	как это	12	1
255	то есть	1	1
256	что всякий	1	1
257	вот к	1	1
258	этому же	1	1
259	мы в	1	1
260	их к	1	1
261	у нас	2	1
262	в которых	3	1
263	он говорит	5	1
264	сравнению с	1	1
265	что тот	1	1
266	эта не	2	1
267	в одном	4	1
268	по крайней	2	1
269	это значит	1	1
270	проблему свободы	2	1
271	освободиться от	1	1
272	с этой	1	1
273	еще к	1	1
274	с бытием	1	1
275	нет никакого	1	1
276	можно ли	2	1
277	искусстве но	1	1
278	как можно	1	1
279	к ним	1	1
280	не по	2	1
281	боролся с	1	1
282	но она	1	1
283	образом по	2	1
