N	2gram	Voloshinov_1	Myslijsy
1	потому что	4	49
2	то есть	1	30
3	и в	15	24
4	в душе	13	23
5	может быть	13	23
6	в сознании	3	23
7	то что	10	20
8	и не	16	19
9	в том	4	18
10	а не	2	18
11	что в	6	16
12	не только	5	15
13	по себе	2	15
14	того же	1	14
15	при этом	7	13
16	не в	4	13
17	было бы	6	13
18	то же	7	12
19	но не	5	12
20	мы можем	12	12
21	не может	13	12
22	мы не	4	11
23	таким образом	21	11
24	вместе с	4	11
25	если бы	3	11
26	что и	2	11
27	что мы	2	11
28	только в	6	11
29	как в	3	10
30	в себе	4	10
31	для него	5	10
32	тогда когда	1	10
33	так как	9	10
34	в сознание	9	10
35	независимо от	1	9
36	в нем	4	9
37	вовсе не	2	9
38	то и	1	9
39	но и	4	9
40	как бы	11	9
41	и на	3	8
42	а только	1	8
43	в этом	13	8
44	том что	5	8
45	могут быть	6	8
46	под влиянием	1	8
47	а в	6	8
48	в чем	4	7
49	во всех	8	7
50	с этим	6	7
51	мысль о	1	7
52	как и	6	7
53	между собою	1	7
54	всяком случае	3	7
55	зрения и	1	7
56	или же	1	7
57	не могут	3	7
58	быть может	1	7
59	прежде всего	11	7
60	тем что	1	7
61	душевной жизни	6	7
62	того что	2	7
63	во всяком	4	7
64	и т	1	6
65	и как	1	6
66	в состоянии	2	6
67	и того	1	6
68	тем не	2	6
69	в то	6	6
70	связи с	1	6
71	есть только	1	6
72	свою очередь	1	6
73	между тем	2	6
74	и только	4	6
75	на другие	2	6
76	не можем	3	6
77	в одном	3	6
78	заметить что	1	6
79	с другой	1	6
80	не было	4	6
81	в ряду	1	6
82	в свою	2	6
83	только как	1	6
84	по поводу	2	6
85	что они	1	5
86	все же	5	5
87	уже в	1	5
88	бы не	1	5
89	на то	1	5
90	и уже	1	5
91	не менее	3	5
92	по крайней	1	5
93	с ним	12	5
94	так и	10	5
95	о том	1	5
96	с другими	5	5
97	а потому	2	5
98	крайней мере	1	5
99	тот же	5	5
100	слова в	1	5
101	из них	1	5
102	от того	3	5
103	для того	1	5
104	или не	1	5
105	в которой	1	5
106	а между	1	4
107	сам по	2	4
108	нам кажется	1	4
109	в самом	6	4
110	время как	1	4
111	еще не	7	4
112	одним словом	1	4
113	но в	9	4
114	уже не	5	4
115	из этих	4	4
116	как он	1	4
117	так сказать	3	4
118	главным образом	4	4
119	в нее	1	4
120	сознание и	4	4
121	внешнего мира	1	4
122	в котором	1	4
123	сих пор	3	4
124	они не	2	4
125	чувства в	1	4
126	образом в	1	4
127	одна из	3	4
128	таким путем	2	4
129	должны быть	3	4
130	в некоторых	1	4
131	то время	1	4
132	никогда не	7	4
133	и что	3	4
134	для самого	2	4
135	предмета и	2	4
136	что он	8	4
137	с одной	1	4
138	до сих	3	4
139	влияние на	1	4
140	в ребенке	1	4
141	в человеке	5	4
142	чувства и	1	4
143	это последнее	1	4
144	что оно	2	4
145	во время	5	4
146	в таком	3	4
147	говоря о	1	3
148	например в	1	3
149	человека и	6	3
150	и то	2	3
151	тем же	1	3
152	с таким	1	3
153	той же	2	3
154	полагает что	1	3
155	мы называем	1	3
156	то это	1	3
157	не совсем	2	3
158	при таких	1	3
159	что его	1	3
160	со стороны	2	3
161	в нас	2	3
162	относится к	1	3
163	которые не	1	3
164	хотя и	1	3
165	что это	3	3
166	в целом	2	3
167	думать что	2	3
168	мы чувствуем	1	3
169	во многих	1	3
170	чувства а	1	3
171	чем сильнее	1	3
172	что она	2	3
173	т д	1	3
174	о которой	2	3
175	не как	1	3
176	в человеческой	1	3
177	человека в	3	3
178	и может	4	3
179	них не	2	3
180	на все	2	3
181	его в	8	3
182	это не	2	3
183	и тем	1	3
184	кажется что	1	3
185	о которых	1	3
