N	2gram	Nazirov_Vr_1	Tragedij
1	и в	8	18
2	петра верховенского	2	17
3	в романе	6	10
4	в году	18	9
5	в этом	8	9
6	в бесах	10	9
7	не только	9	8
8	он сам	2	7
9	и с	6	7
10	петр верховенский	3	7
11	достоевский в	8	7
12	может быть	4	7
13	как бы	4	7
14	и не	5	7
15	но в	6	6
16	и его	3	6
17	же время	5	6
18	что он	4	6
19	у него	5	6
20	то же	5	5
21	все же	6	5
22	что это	1	5
23	это не	4	5
24	как и	6	5
25	несмотря на	4	5
26	в то	5	5
27	так и	1	5
28	не может	2	5
29	у достоевского	4	5
30	он всегда	1	4
31	я не	3	4
32	еще не	2	4
33	в себе	2	4
34	в целом	1	4
35	что достоевский	4	4
36	в этой	2	4
37	в нем	6	4
38	об этом	5	4
39	том что	3	4
40	что я	2	4
41	достоевский не	3	4
42	и что	8	4
43	но и	7	4
44	но достоевский	1	4
45	и даже	6	4
46	прежде всего	1	4
47	так же	4	4
48	но это	2	4
49	все это	4	4
50	что в	7	4
51	и все	7	4
52	то что	7	4
53	к людям	1	3
54	что образ	1	3
55	достоевского в	7	3
56	в мире	2	3
57	и он	2	3
58	своего рода	1	3
59	отнюдь не	2	3
60	как в	1	3
61	в своем	3	3
62	и как	3	3
63	при этом	4	3
64	достоевский уже	3	3
65	сам достоевский	3	3
66	тем самым	1	3
67	о чем	2	3
68	с ее	1	3
69	и сам	1	3
70	жизнь и	1	3
71	с ним	4	3
72	на страницах	1	3
73	к нему	1	3
74	в его	3	3
75	один из	1	3
76	романа и	1	3
77	уже в	4	3
78	записках из	1	3
79	для него	2	3
80	никто не	1	3
81	в конце	3	3
82	что за	1	3
83	в основном	1	3
84	ставрогина и	3	3
85	этого романа	1	2
86	вряд ли	1	2
87	никогда не	2	2
88	и то	2	2
89	он был	3	2
90	не был	1	2
91	столь же	2	2
92	в преступлении	1	2
93	с его	3	2
94	роман достоевского	2	2
95	отношение к	2	2
96	тут же	1	2
97	не просто	1	2
98	и я	1	2
99	как говорит	1	2
100	в самом	1	2
101	в письмах	2	2
102	в записках	1	2
103	он не	3	2
104	его в	3	2
105	дома и	1	2
106	в глазах	2	2
107	в это	2	2
108	не мог	2	2
109	одном из	1	2
110	права на	2	2
111	что этот	1	2
112	раз и	1	2
113	но они	1	2
114	генезис образа	1	2
115	одна из	2	2
116	не имеет	1	2
117	он и	1	2
118	и это	2	2
