N	2gram	Medvedev_V_1	FransuaR
1	и в	2	29
2	и не	1	16
3	в этом	1	11
4	то же	1	10
5	в конце	2	9
6	и его	1	8
7	в том	2	7
8	так как	1	7
9	далеко не	1	5
10	конце концов	2	4
11	но это	1	4
12	все это	1	4
13	том что	2	3
14	имеется в	1	3
15	все время	1	3
16	ведь это	1	3
17	в частности	1	3
18	и то	1	2
19	в их	1	2
20	том же	1	2
21	дело в	1	2
22	их как	1	2
23	именно в	1	2
24	да и	1	2
25	только в	1	2
26	к этому	1	2
27	в самом	1	1
28	самом деле	1	1
29	что слово	1	1
30	главным образом	1	1
31	одно и	1	1
32	и почти	1	1
33	потому что	1	1
34	так в	1	1
35	в книге	3	1
36	под влиянием	1	1
37	этом и	1	1
38	речи и	1	1
