N	3gram	Medvedev_V_1	VeschiIm
1	и т д	14	20
2	не может быть	8	18
3	т е в	2	7
4	по крайней мере	2	6
5	в том что	5	6
6	в чем же	2	5
7	одно и то	1	5
8	и то же	1	5
9	в свою очередь	1	5
10	т е не	1	4
11	не только в	2	4
12	то же время	5	4
13	от того что	2	4
14	значит ли это	1	4
15	в то же	5	4
16	более или менее	6	3
17	в самом деле	1	3
18	подобно тому как	2	3
19	и в то	3	3
20	можно было бы	2	3
21	вместе с тем	3	3
22	все же не	1	3
23	только то что	2	3
24	ли это что	1	3
25	сама по себе	1	3
26	не может не	2	2
27	можно сказать что	4	2
28	этой точки зрения	2	2
29	но даже и	1	2
30	о том как	3	2
31	с этой точки	1	2
32	в данном случае	1	2
33	как раз с	1	2
34	к тому что	3	2
35	так или иначе	1	2
36	и может быть	1	1
37	оно может быть	1	1
38	в этом смысле	1	1
39	между собою и	1	1
40	того или другого	1	1
41	быть и речи	1	1
42	одной стороны и	2	1
43	как это было	1	1
44	до сих пор	1	1
45	и во всех	1	1
46	и не может	2	1
47	тот или иной	1	1
48	в зависимости от	5	1
49	сами по себе	1	1
50	что он не	1	1
51	е более или	1	1
52	и значит что	1	1
53	со всем что	1	1
54	он и не	1	1
55	кроме того что	1	1
56	однако при всем	1	1
57	к этому сводится	2	1
58	себя это не	1	1
59	это и значит	1	1
60	есть то что	1	1
61	ни в какой	1	1
62	может быть и	1	1
63	даже и не	1	1
64	хотя бы и	5	1
65	не быть а	1	1
66	в применении к	1	1
67	то время как	1	1
68	бы и не	3	1
69	так же как	1	1
70	того что мы	1	1
71	в том чтобы	2	1
72	что мы имеем	1	1
73	но в то	1	1
74	таким образом и	1	1
75	ни к какому	1	1
76	с одной стороны	2	1
77	в конце концов	2	1
78	они должны быть	2	1
79	даже и в	1	1
80	не в том	2	1
81	уже по одному	2	1
82	с другой стороны	8	1
83	в самом понятии	2	1
84	может быть никакого	1	1
85	что они не	1	1
86	а в том	1	1
87	в одном и	1	1
88	во всяком случае	1	1
89	т е более	1	1
90	том смысле что	1	1
91	в то время	1	1
92	но между ними	1	1
93	и вместе с	1	1
94	это и есть	3	1
95	о том что	3	1
96	хотя бы в	3	1
97	не только не	2	1
98	вопрос о том	1	1
99	на то или	1	1
100	и в результате	1	1
101	таким образом можно	1	1
102	потому что самое	1	1
103	для того чтобы	3	1
104	относится к сфере	1	1
105	в том смысле	1	1
106	мы видим что	1	1
107	не значит что	1	1
108	в результате этого	1	1
109	один из видов	1	1
110	и в науке	1	1
111	только тогда когда	1	1
