N	4gram	Vinokur_Vv_1	Myslijsy
1	одного и того же	2	6
2	но во всяком случае	1	3
3	одно и то же	1	2
4	сама по себе не	1	2
5	в то же время	5	2
6	в той мере в	4	1
7	только в том что	1	1
8	вопрос о том что	3	1
9	так а не иначе	1	1
10	той мере в какой	4	1
11	только после того как	2	1
12	для того чтобы сделать	1	1
13	одной и той же	2	1
14	состоит в том что	2	1
15	всегда заключает в себе	1	1
16	одно из необходимых условий	1	1
17	в большей или меньшей	1	1
18	одном и том же	1	1
19	отчет в том что	1	1
20	в одном и том	1	1
21	и т д можно	1	1
22	с одной стороны и	3	1
23	дело в том что	2	1
24	бы то ни было	1	1
25	и т д и	1	1
26	в том виде в	1	1
27	том виде в каком	1	1
