N	2gram	Propp_Russ_1	Vvedenie
1	и т	10	42
2	т д	9	36
3	т е	17	35
4	и в	36	32
5	в том	17	31
6	в этом	12	30
7	может быть	8	26
8	том что	19	26
9	не только	22	22
10	таким образом	6	19
11	также и	1	18
12	то что	6	16
13	потому что	10	15
14	так как	15	15
15	не может	4	14
16	в нем	2	13
17	о том	8	13
18	xix в	13	12
19	как на	1	12
20	того что	4	12
21	и не	6	12
22	только в	4	12
23	в их	4	12
24	в его	2	12
25	в общем	1	12
26	представляет собой	4	12
27	как мы	10	11
28	в данном	1	11
29	что в	19	10
30	между тем	7	9
31	в той	1	9
32	в истории	1	9
33	то же	3	9
34	но в	2	9
35	и как	2	9
36	не менее	3	8
37	а только	1	8
38	тем не	3	8
39	это не	10	8
40	но не	2	7
41	все же	5	7
42	вопрос о	1	7
43	точки зрения	3	7
44	только как	1	7
45	о котором	1	7
46	выводу что	2	7
47	самом деле	1	7
48	было бы	1	7
49	к выводу	2	7
50	можно было	1	7
51	с тем	8	6
52	его в	1	6
53	но и	16	6
54	как и	10	6
55	и его	1	6
56	в качестве	3	6
57	в то	1	6
58	как он	2	6
59	один из	8	6
60	тем что	4	6
61	представить себе	1	6
62	не могут	1	6
63	все это	6	6
64	и это	1	6
65	из этих	4	6
66	этот вопрос	2	6
67	том чтобы	1	6
68	данном случае	1	5
69	и тем	1	5
70	как например	3	5
71	т п	1	5
72	на этот	3	5
73	в какой	2	5
74	иное как	2	5
75	а не	2	5
76	об этом	9	5
77	так что	2	5
78	но если	1	5
79	или вообще	1	5
80	в целом	2	5
81	на почве	1	5
82	что не	1	5
83	сказать что	1	5
84	вместе с	10	5
85	в течение	5	5
86	по своему	1	5
87	в них	6	5
88	могут быть	2	5
89	представляют собой	7	5
90	есть и	1	5
91	в которых	5	5
92	в г	4	5
93	уже в	1	5
94	так например	6	5
95	как бы	5	5
96	в себе	1	4
97	еще не	4	4
98	во всяком	1	4
99	от этого	1	4
100	в разных	3	4
101	и для	2	4
102	по мере	1	4
103	отношению к	1	4
104	еще и	1	4
105	и ее	1	4
106	независимо от	2	4
107	в виде	6	4
108	как это	8	4
109	а в	9	4
110	одно из	5	4
111	в тексте	1	4
112	что он	1	4
113	как уже	4	4
114	что иное	2	4
115	этом случае	5	4
116	по отношению	1	4
117	только с	1	4
118	не имеет	6	4
119	в первом	1	4
120	всяком случае	1	4
121	в и	17	4
122	о чем	3	4
123	не просто	2	4
124	уже не	6	4
125	мы имеем	4	4
126	в каждом	2	4
127	в особенности	2	4
128	внимание на	1	4
129	этом отношении	1	4
130	не что	2	4
131	и что	4	4
132	должен был	1	4
133	е в	8	4
134	все эти	2	3
135	в в	2	3
136	в собственном	1	3
137	с русской	1	3
138	говорить о	1	3
139	можно сказать	1	3
140	в текстах	1	3
141	говорит о	1	3
142	на том	1	3
143	так же	3	3
144	при этом	6	3
145	может служить	1	3
146	xx в	2	3
147	и этого	1	3
148	связи с	4	3
149	и римлян	1	3
150	относящиеся к	2	3
151	с понятием	1	3
152	только по	2	3
153	к нему	1	3
154	этой работы	2	3
155	и вообще	1	3
156	раньше чем	1	3
157	если бы	1	3
158	дело не	1	3
159	что это	3	3
160	вот почему	1	3
161	в одном	3	3
162	в изучении	2	3
163	ответ на	1	3
164	совсем не	1	3
165	но все	3	3
166	в начале	1	3
167	в области	3	3
168	до нас	1	3
169	на этой	2	3
170	собственном смысле	1	3
171	к тому	4	3
172	мы видели	1	3
173	хотя и	2	3
174	и других	7	3
175	во второй	1	3
176	и к	3	3
177	тогда когда	1	3
178	в чем	1	3
179	своего рода	3	3
180	дело в	1	3
181	в очень	1	3
182	так называемых	1	3
183	на основании	1	3
184	в этой	1	3
185	не вполне	1	3
186	в этих	3	3
187	греков и	1	3
188	что и	7	3
189	и на	10	3
190	однако не	1	3
191	до конца	2	3
192	на этом	3	3
193	не как	1	3
194	в различных	2	3
195	нет надобности	2	3
196	в частности	2	3
197	но что	2	3
198	а также	3	3
199	чем в	2	3
200	или как	1	3
201	в ней	2	3
202	к этому	4	3
203	что она	2	3
204	как будто	5	3
205	из них	8	3
206	в виду	1	3
207	так называемой	3	3
208	в своем	3	3
209	к таким	3	2
210	том же	2	2
211	по тем	1	2
212	каждый из	1	2
213	и здесь	2	2
214	что чем	1	2
215	и с	2	2
216	в связи	4	2
217	входит в	4	2
218	тогда как	2	2
219	одно целое	1	2
220	что следовательно	1	2
221	ни одна	1	2
222	жизни и	1	2
223	того же	1	2
224	значение и	2	2
225	в более	2	2
226	уже знаем	1	2
227	не к	1	2
228	в этот	10	2
229	для них	3	2
230	так и	7	2
231	не было	2	2
232	должна быть	1	2
233	этому поводу	2	2
234	до того	2	2
235	иной раз	1	2
236	не до	1	2
237	с ней	2	2
238	стоит в	2	2
239	и так	1	2
240	и сама	1	2
241	но вместе	1	2
242	мы не	6	2
243	и другие	13	2
244	который по	1	2
245	второй половине	1	2
246	имеет свою	1	2
247	во всех	4	2
248	и те	3	2
249	и наоборот	1	2
250	в форме	1	2
251	другие с	1	2
252	по его	1	2
253	мы должны	2	2
254	его к	2	2
255	целом ряде	1	2
256	нуждается в	1	2
257	iv в	1	2
258	объяснить его	1	2
259	в силу	2	2
260	между ними	1	2
261	по этому	3	2
262	сомнений в	2	2
263	те кто	1	2
264	две части	1	2
265	ко времени	3	2
266	изложения и	1	2
267	не с	3	2
268	из которых	1	2
269	половине xix	2	2
270	с точки	3	2
271	после этого	4	2
272	оказалось что	1	2
273	в дальнейшем	2	2
274	в до	1	2
275	и при	1	2
276	направление в	1	2
277	с русским	1	2
278	что если	1	2
279	у нас	8	2
280	истории в	1	2
281	в прошлом	2	2
282	природы и	2	2
283	с этим	2	2
284	и сам	1	2
285	только на	3	2
286	ничего не	3	2
287	так называемая	1	2
288	не столько	1	2
289	по меньшей	1	2
290	только так	1	2
291	и был	1	2
292	тому как	1	2
293	не могли	1	2
294	как только	1	2
295	точно так	1	2
296	и др	4	2
297	для этого	2	2
298	одна из	4	2
299	мы уже	1	2
300	этого слова	3	2
301	будто бы	6	2
302	же как	1	2
303	от того	1	2
304	значение в	1	2
305	того как	5	2
306	или нет	1	2
307	этих случаях	1	2
308	тому что	4	2
309	обе эти	1	2
310	в работах	1	2
311	несмотря на	3	2
312	быть и	2	2
313	в каждой	1	2
314	подобно тому	1	2
315	мы можем	2	2
316	если же	1	2
317	надо было	1	2
318	по существу	4	2
319	так называемое	1	2
320	нам не	1	2
321	не бывает	1	2
322	которое в	1	2
323	должна была	2	2
324	на свои	1	2
325	себе и	1	2
326	по содержанию	3	2
327	состоит в	8	2
328	меньшей мере	1	2
329	что мы	1	2
330	жизни как	1	2
331	ближе к	1	2
332	связь между	2	2
333	он и	1	2
334	и до	2	2
335	деле как	1	2
336	но это	4	2
337	этому времени	1	2
338	во втором	1	2
339	что по	4	1
340	и из	3	1
341	его от	2	1
342	что между	1	1
343	принципиального характера	1	1
344	далее в	2	1
345	ряде других	1	1
346	из чего	1	1
347	через них	1	1
348	не означает	2	1
349	не значит	2	1
350	и того	1	1
351	что дает	1	1
352	но есть	2	1
353	для нас	6	1
354	приводил к	1	1
355	во всей	1	1
356	но для	1	1
357	более древних	1	1
358	на общий	1	1
359	природа и	1	1
360	тем временем	1	1
361	говорилось о	2	1
362	в одно	1	1
363	даже к	1	1
364	это хорошо	1	1
365	случае не	1	1
366	говорится что	3	1
367	можно считать	1	1
368	только тогда	1	1
369	после смерти	1	1
370	в область	1	1
371	и многие	2	1
372	к этим	1	1
373	не умели	1	1
374	которой оно	1	1
375	разница между	2	1
376	после того	2	1
377	кроме того	1	1
378	вопрос был	1	1
379	только при	1	1
380	и все	1	1
381	есть в	1	1
382	в так	1	1
383	на то	1	1
384	не по	1	1
385	из основных	1	1
386	оно было	1	1
387	только о	1	1
388	что также	1	1
389	понятия так	1	1
390	наконец в	1	1
391	настоящее время	3	1
392	упомянуть что	2	1
393	идут в	1	1
394	же только	1	1
395	здесь говорится	1	1
396	его и	2	1
397	пока это	1	1
398	к которому	1	1
399	но здесь	1	1
400	очень много	1	1
401	области изучения	2	1
402	и без	1	1
403	взгляд на	1	1
404	которые она	1	1
405	представляла собой	2	1
406	та же	2	1
407	которая должна	1	1
408	в руках	1	1
409	в настоящее	3	1
410	сомнения в	1	1
411	не дает	1	1
412	что на	4	1
413	нет он	1	1
414	совсем другое	1	1
415	разного рода	1	1
416	собой не	1	1
417	не ограничивается	1	1
418	по другим	1	1
419	если не	1	1
420	и распоряжается	1	1
421	есть один	1	1
422	в языках	1	1
423	сохранился и	1	1
424	каким образом	1	1
425	цель и	1	1
426	германии в	1	1
427	он должен	1	1
428	полагали что	2	1
429	с которого	1	1
430	в свете	2	1
431	оно не	1	1
432	из всего	1	1
433	с той	1	1
434	самом же	1	1
435	между собой	2	1
436	и последний	1	1
437	одного и	1	1
438	из цикла	1	1
439	в тех	4	1
440	например в	2	1
441	представления в	1	1
442	в заключение	1	1
443	так а	1	1
444	к слову	2	1
445	судя по	2	1
446	д и	1	1
447	как не	2	1
448	следовательно и	1	1
449	быть не	1	1
450	а затем	1	1
451	она имела	1	1
452	было не	1	1
453	должны были	2	1
454	на самом	2	1
455	других народов	2	1
456	должны быть	1	1
457	по очень	1	1
458	говорится в	1	1
459	русской историей	1	1
460	имеют первостепенное	1	1
461	жизнь и	1	1
462	через их	1	1
463	одном и	1	1
464	в россии	4	1
465	и объяснить	1	1
466	многих случаях	2	1
467	видно из	1	1
468	как они	2	1
469	что этот	4	1
470	слова а	1	1
471	и всегда	1	1
472	от времени	1	1
473	такие же	1	1
474	что изучение	1	1
475	они не	1	1
476	как в	5	1
477	чаще всего	3	1
478	в значении	1	1
479	говорят о	1	1
480	отличие от	1	1
481	можно говорить	2	1
482	и соответствующих	1	1
483	чтобы сделать	1	1
484	общего с	1	1
485	чтобы лучше	2	1
486	что у	2	1
487	но смысл	1	1
488	содержанию и	1	1
489	его словам	1	1
490	разницей что	1	1
491	не на	2	1
492	в самых	1	1
493	что было	1	1
494	эта связь	1	1
495	содержанием и	1	1
496	или по	1	1
497	свою очередь	2	1
498	труда и	1	1
499	в риме	1	1
500	можно назвать	1	1
501	других языках	1	1
502	них непосредственно	1	1
503	работы а	1	1
504	разных народов	1	1
505	и о	1	1
506	с которыми	1	1
507	во многих	5	1
508	зависимости от	1	1
509	для которой	1	1
510	у древних	1	1
511	связано с	1	1
512	тому же	1	1
513	и том	1	1
514	и потому	2	1
515	что они	7	1
516	самого понятия	1	1
517	рассуждение о	1	1
518	очевидно что	1	1
519	а с	4	1
520	а и	5	1
521	он был	2	1
522	к ним	3	1
523	этих отношениях	1	1
524	из их	1	1
525	этим в	1	1
526	говорится о	2	1
527	на них	1	1
528	основываясь на	1	1
529	не могло	1	1
530	и за	1	1
531	наряду с	1	1
532	ее с	1	1
533	народов в	1	1
534	что все	1	1
535	приводят к	1	1
536	сослаться на	1	1
537	из самых	1	1
538	во время	14	1
539	однако и	1	1
540	в среде	1	1
541	к вопросу	2	1
542	именно только	1	1
543	ко всему	1	1
544	б и	1	1
545	не всегда	1	1
546	слова в	3	1
547	только потому	1	1
548	точку зрения	1	1
549	дальнейшего развития	1	1
550	у него	2	1
551	и та	1	1
552	а к	1	1
553	также не	1	1
554	что именно	2	1
555	или с	1	1
556	при исследовании	1	1
557	только одна	1	1
558	приходит к	1	1
559	они должны	1	1
560	значения и	2	1
561	истории русского	1	1
562	несомненно очень	1	1
563	не потому	1	1
564	был уже	1	1
565	чтобы не	1	1
566	для себя	1	1
567	в таком	1	1
568	и стало	1	1
569	в которой	1	1
570	которые и	1	1
571	в отличие	1	1
572	мы видим	2	1
573	развития но	1	1
574	это несомненно	1	1
575	разных формах	3	1
576	в круг	2	1
577	изучение этого	1	1
578	xix-xx вв	1	1
579	показывает что	5	1
580	но который	1	1
581	похожи на	1	1
582	первой половине	1	1
583	ряда других	1	1
584	этом сообщает	1	1
585	самые разнообразные	1	1
586	них в	2	1
587	что наука	1	1
588	представление о	3	1
589	жизнь в	1	1
590	в своих	2	1
591	которые не	3	1
592	и другой	3	1
593	в ближайшем	1	1
594	на две	1	1
595	народа в	1	1
596	на одной	1	1
597	в xix	10	1
598	не приходится	1	1
599	включая и	1	1
600	тому кто	1	1
601	ему не	1	1
602	видеть в	1	1
603	е с	1	1
604	большей частью	1	1
605	это как	1	1
606	на свой	1	1
607	в духе	1	1
608	же в	1	1
609	свойством что	1	1
610	значит что	2	1
611	называются также	1	1
612	и эти	1	1
613	характер чем	1	1
614	этим объясняется	1	1
615	слова как	1	1
616	и у	5	1
617	эти сведения	1	1
618	славянских языках	1	1
619	труда а	1	1
620	xvi-xvii вв	1	1
621	общеизвестно что	1	1
622	чем ближе	1	1
623	гораздо менее	1	1
624	на других	3	1
625	но совершенно	1	1
626	любви и	1	1
627	должно было	2	1
628	быть назван	1	1
629	методы изучения	1	1
630	никак не	1	1
