N	3gram	Tiupa_Anal_2	Stilisti
1	в то же	2	9
2	то же время	2	7
3	с точки зрения	2	5
4	того или иного	3	5
5	и то же	1	4
6	прежде всего в	1	4
7	то же самое	1	4
8	одно и то	1	4
9	в свою очередь	1	4
10	той или иной	3	4
11	в этом случае	4	3
12	в конце фразы	1	3
13	но и в	1	3
14	не только в	2	3
15	и тем самым	2	3
16	и т.п и	1	3
17	тех случаях когда	1	2
18	речи то есть	1	2
19	в этом отношении	3	2
20	в значительной степени	2	2
21	одни и те	1	2
22	не может быть	1	2
23	в тех случаях	1	2
24	есть не что	1	2
25	не что иное	1	2
26	и тем же	1	2
27	о том что	6	2
28	и те же	1	2
29	что иное как	1	2
30	можно сказать что	1	2
31	в связи с	1	2
32	к тому что	1	2
33	тех или иных	2	2
34	уже содержит в	1	1
35	не в самом	1	1
36	наиболее существенные и	1	1
37	особое место в	1	1
38	а затем и	1	1
39	одним и тем	1	1
40	по отношению к	4	1
41	более или менее	1	1
42	в самом деле	1	1
43	как раз и	1	1
44	тот же самый	1	1
45	и во всех	1	1
46	из них в	1	1
47	и тем что	1	1
48	в этой ситуации	1	1
49	можно было бы	2	1
50	на этот вопрос	1	1
51	по крайней мере	3	1
52	отнюдь не является	1	1
53	хотя бы и	1	1
54	в литературном произведении	1	1
55	и т.д в	1	1
56	тому или иному	1	1
57	как мы это	1	1
58	и в этом	4	1
59	тем не менее	3	1
60	как это ни	1	1
61	в нашем случае	1	1
62	здесь в сознании	1	1
63	но и его	1	1
64	уже не к	1	1
65	содержит в себе	3	1
66	не только его	1	1
67	как и всякий	1	1
68	в конечном счете	2	1
69	не только не	2	1
70	не только на	1	1
71	с другой стороны	2	1
72	в том что	6	1
73	как и в	3	1
74	но если бы	1	1
75	на наш взгляд	1	1
76	при этом она	1	1
