N	2gram	Voloshinov_1	slovoVRo
1	и в	3	39
2	может быть	1	37
3	не только	1	24
4	и не	1	22
5	но и	1	21
6	не может	4	20
7	а не	1	14
8	литературного языка	1	12
9	точки зрения	1	8
10	для него	1	7
11	в его	1	7
12	языка как	1	7
13	один из	2	5
14	и все	1	5
15	и на	1	4
16	то же	1	4
17	с другими	1	4
18	не менее	1	4
19	в то	1	4
20	же время	1	4
21	язык как	1	3
22	и социальной	1	3
23	с точки	1	3
24	его от	1	3
25	связи с	1	3
26	в ней	1	3
27	в особенности	1	3
28	о формах	1	2
29	конечно и	1	2
30	формальных приемов	1	2
31	смысл и	1	2
32	художественной прозе	1	2
33	риторические жанры	1	2
34	может не	1	2
35	в языке	1	2
36	может и	1	2
37	категорий и	1	1
38	и заставляет	1	1
39	он в	1	1
40	без учета	1	1
41	в каждом	1	1
42	достоевского и	2	1
43	несмотря на	1	1
44	вещей и	1	1
45	и аудитории	1	1
46	и должно	1	1
47	анализа и	1	1
48	во второй	1	1
49	понимания этого	1	1
50	влияния на	1	1
51	себе все	1	1
52	историческому становлению	1	1
53	в системе	1	1
54	этой проблемы	1	1
