1	то что мы	2	3
2	к тому что	6	3
3	том что он	1	2
4	в нем нет	1	2
5	и т д	3	2
6	никогда еще не	1	2
7	в том что	14	2
8	вместо того чтобы	1	2
9	и есть то	1	1
10	после того как	1	1
11	не могут быть	1	1
12	все равно не	1	1
13	потому что оно	1	1
14	в своей сущности	1	1
15	того что есть	1	1
16	и в этом	1	1
17	жизни и потому	1	1
18	по сравнению с	4	1
19	что он был	1	1
20	вместе с тем	3	1
21	с такой силой	2	1
22	он говорит что	2	1
23	мы видим что	3	1
24	людей все это	1	1
25	и что в	3	1
26	как бы в	2	1
27	есть одна из	2	1
28	чтобы сделать их	1	1
29	с другой стороны	5	1
30	ни для чего	1	1
31	по крайней мере	1	1
32	в конце концов	2	1
33	в последних словах	1	1
34	в жизни и	1	1
