N	3gram	Vinokur_St_1	VelikijI
1	за то что	3	3
2	к тому что	1	3
3	а между тем	1	2
4	но и в	2	2
5	том что он	1	2
6	по этому пути	1	2
7	в вопросе о	1	2
8	в том что	17	2
9	и т д	21	2
10	я думаю что	4	1
11	но все же	3	1
12	для него не	1	1
13	никогда не было	1	1
14	то ни стало	1	1
15	во что бы	1	1
16	т д и	2	1
17	хотя бы и	2	1
18	бы то ни	1	1
19	и можно ли	1	1
20	по крайней мере	2	1
21	что бы то	1	1
22	в конце концов	1	1
23	и в этом	3	1
24	и не было	1	1
25	с другой стороны	6	1
26	не могут и	1	1
27	д и т	1	1
28	в одно целое	1	1
29	так и в	4	1
30	и никогда не	1	1
31	отказывает в праве	1	1
32	после того как	1	1
33	и что в	1	1
34	как и в	2	1
