N	2gram	Losev_Dial_4	Myslijsy
1	потому что	10	33
2	то что	16	29
3	может быть	17	26
4	таким образом	5	24
5	в этом	11	23
6	в том	11	23
7	и в	15	23
8	и не	30	18
9	что в	7	17
10	в языке	1	16
11	при этом	2	15
12	только в	7	15
13	то же	9	14
14	в себе	8	14
15	как и	7	14
16	того что	13	14
17	так как	14	14
18	если бы	6	13
19	не было	2	12
20	а не	18	12
21	том что	10	12
22	что я	5	11
23	чувственный образ	1	11
24	не в	8	11
25	по себе	13	11
26	но и	4	11
27	не может	11	11
28	не только	8	10
29	для меня	2	10
30	мы можем	3	10
31	тем что	2	10
32	что мы	7	10
33	и потому	3	10
34	не есть	40	9
35	мы не	9	8
36	то это	1	8
37	в своем	5	8
38	но в	3	8
39	было бы	9	8
40	стало быть	15	8
41	тогда когда	5	8
42	о том	5	8
43	другими словами	5	8
44	сказать что	6	8
45	и т	17	7
46	мы говорим	2	7
47	очевидно что	1	7
48	как в	3	7
49	с этим	3	7
50	что это	13	7
51	на то	5	7
52	в нем	5	7
53	в силу	4	7
54	что такое	5	7
55	это не	12	7
56	и что	9	7
57	что и	6	7
58	вовсе не	6	7
59	с тем	4	7
60	могут быть	3	7
61	что если	3	6
62	в которой	2	6
63	известно что	3	6
64	того как	2	6
65	когда мы	1	6
66	так и	5	6
67	что не	3	6
68	заметить что	1	6
69	для того	5	6
70	чувственного образа	1	6
71	вместе с	2	6
72	и то	3	5
73	есть нечто	2	5
74	говорить о	11	5
75	не то	1	5
76	хотя и	6	5
77	бы и	3	5
78	как бы	14	5
79	слово есть	3	5
80	и мы	7	5
81	должно быть	2	5
82	по крайней	7	5
83	не менее	2	5
84	с ним	3	5
85	не имеет	14	5
86	образом в	1	5
87	такие же	1	5
88	есть только	3	5
89	находится в	2	5
90	к нему	1	5
91	крайней мере	7	5
92	так что	6	5
93	есть в	4	5
94	не можем	1	5
95	уже в	1	5
96	только тогда	5	5
97	в его	4	5
98	допустим что	2	5
99	само по	4	5
100	поэзия и	1	5
101	не из	1	5
102	что же	2	5
103	этом случае	1	5
104	все это	9	5
105	тем более	6	5
106	а в	1	5
107	во всяком	2	5
108	а между	1	4
109	сам по	2	4
110	только потому	3	4
111	есть не	5	4
112	и о	8	4
113	в истории	3	4
114	думать что	2	4
115	что все	4	4
116	и с	4	4
117	его в	1	4
118	с другими	1	4
119	и тем	6	4
120	мы имеем	5	4
121	между собою	2	4
122	точки зрения	14	4
123	в котором	2	4
124	тем не	2	4
125	и более	1	4
126	в то	6	4
127	того чтобы	5	4
128	в каком	5	4
129	и может	2	4
130	быть может	1	4
131	и та	3	4
132	можно сказать	5	4
133	что он	7	4
134	хотя бы	4	4
135	то и	2	4
136	в одном	4	4
137	от того	2	4
138	а именно	6	4
139	как же	5	4
140	но есть	1	4
141	на основании	3	4
142	самое слово	1	4
143	так же	4	4
144	в данном	3	4
145	в той	1	4
146	да и	2	4
147	и все	11	4
148	в сравнении	3	4
149	есть уже	1	4
150	есть то	5	4
151	тем самым	3	4
152	человека и	2	3
153	на самом	1	3
154	переход от	1	3
155	и есть	19	3
156	мы уже	3	3
157	той же	5	3
158	еще не	4	3
159	и на	5	3
160	или от	22	3
161	то мы	3	3
162	к слову	1	3
163	по которому	1	3
164	в самом	2	3
165	все эти	3	3
166	бы не	2	3
167	и тот	1	3
168	лица и	1	3
169	и если	3	3
170	т д	15	3
171	и по	2	3
172	в нее	1	3
173	не будет	2	3
174	том случае	1	3
175	лишь в	2	3
176	от одного	2	3
177	в них	2	3
178	все равно	2	3
179	не всегда	3	3
180	ведет к	1	3
181	с точки	9	3
182	но это	4	3
183	не от	1	3
184	в которых	1	3
185	их в	1	3
186	возможно только	3	3
187	есть всегда	3	3
188	ее не	1	3
189	что есть	2	3
190	на себе	5	3
191	в нас	1	3
192	только не	3	3
193	никогда не	2	3
194	в разных	2	3
195	же время	6	3
196	связи с	1	3
197	так то	4	3
198	а мы	1	3
199	только от	1	3
200	должны быть	4	3
201	те же	1	3
202	было в	1	3
203	мы в	1	3
204	слово и	1	3
205	в виду	9	3
206	и только	2	3
207	и следовательно	3	3
208	с ними	4	3
209	этот вопрос	1	3
210	то в	5	3
211	и так	2	3
212	с нею	1	3
213	уже не	9	3
214	слова не	1	3
215	при помощи	3	3
216	и других	1	3
217	и поэзии	1	3
218	себе в	1	3
219	и их	2	3
220	даже и	3	3
221	со стороны	3	3
222	и из	2	3
223	что человек	2	3
224	именно в	5	3
225	до этого	1	3
226	мы сами	1	3
227	нет ничего	6	3
228	ко всем	1	3
229	поэтический образ	3	3
230	это есть	13	3
231	в смысле	5	3
232	кроме того	2	3
233	что то	1	3
234	только что	2	3
235	давно уже	1	3
236	я говорю	2	3
237	и вместе	1	3
238	в процессе	1	3
239	самых разнообразных	1	2
240	этого последнего	1	2
241	но тем	1	2
242	такое же	1	2
243	а как	2	2
244	как мы	1	2
245	имеет свою	1	2
246	что иное	8	2
247	оно есть	4	2
248	я не	5	2
249	же что	3	2
250	собою и	1	2
251	в ней	5	2
252	и говорить	1	2
253	не нужно	2	2
254	иное как	8	2
255	без которого	1	2
256	значение и	1	2
257	и чем	2	2
258	и я	1	2
259	эта связь	1	2
260	несколько слов	1	2
261	что по	2	2
262	мы различаем	1	2
263	имеет в	1	2
264	это можно	1	2
265	так или	1	2
266	чем больше	2	2
267	в нашем	1	2
268	из этих	2	2
269	что так	1	2
270	бы только	4	2
271	в наших	1	2
272	что она	5	2
273	как оно	1	2
274	он не	1	2
275	не значит	2	2
276	не как	4	2
277	подобно тому	4	2
278	человека в	1	2
279	рано или	1	2
280	пока мы	1	2
281	об этом	3	2
282	образ не	1	2
283	это было	2	2
284	или если	1	2
