N	2gram	Nazirov_Vr_1	RusskieA
1	и в	8	29
2	т е	3	24
3	том что	3	22
4	в том	3	22
5	что в	7	22
6	как бы	4	18
7	может быть	4	13
8	во время	2	12
9	там же	2	12
10	п в	2	12
11	в этом	8	11
12	как и	6	11
13	одна из	2	11
14	в этот	3	10
15	не только	9	10
16	и с	6	10
17	все это	4	10
18	во многих	1	9
19	о том	4	9
20	а в	2	9
21	его в	3	8
22	но и	7	8
23	а б	1	8
24	как в	1	7
25	еще не	2	6
26	при этом	4	6
27	таким образом	2	6
28	на нее	1	6
29	для нас	4	6
30	вместе с	2	6
31	же в	2	6
32	но не	1	5
33	но в	6	5
34	это не	4	5
35	не может	2	5
36	представление о	1	5
37	потому что	1	5
38	и что	8	5
39	то что	7	5
40	к этому	3	5
41	в русских	2	4
42	же как	2	4
43	то же	5	4
44	на них	1	4
45	не все	1	4
46	уже не	2	4
47	их в	2	4
48	том же	2	4
49	в них	2	4
50	далеко не	3	4
51	а за	1	4
52	а также	2	4
53	к нему	1	4
54	из них	2	4
55	именно в	1	4
56	о чем	2	4
57	так же	4	4
58	предположить что	1	4
59	и все	7	4
60	или вообще	1	4
61	в таком	1	4
62	в году	18	3
63	и о	3	3
64	в ее	1	3
65	что ее	1	3
66	что это	1	3
67	в этой	2	3
68	по всем	1	3
69	живет в	1	3
70	не всегда	1	3
71	на первый	2	3
72	в эту	2	3
73	в этих	1	3
74	в котором	6	3
75	не будем	1	3
76	но он	3	3
77	не имеет	1	3
78	такие же	1	3
79	во всех	1	3
80	в свете	1	3
81	того что	1	3
82	к русским	1	3
83	между тем	5	3
84	в качестве	1	3
85	друг друга	1	3
86	тем что	3	3
87	что для	1	3
88	до конца	1	3
89	в честь	2	3
90	и от	1	3
91	было бы	1	3
92	а н	2	3
93	вряд ли	1	2
94	также что	1	2
95	одним из	3	2
96	и то	2	2
97	н ф	1	2
98	это и	1	2
99	не совсем	1	2
100	это время	1	2
101	не был	1	2
102	тогда как	2	2
103	с этим	1	2
104	все же	6	2
105	и как	3	2
106	не было	5	2
107	после этого	2	2
108	людей и	1	2
109	об этом	5	2
110	полагает что	1	2
111	не ясно	1	2
112	так в	2	2
113	в своей	2	2
114	в их	1	2
115	тем не	1	2
116	не менее	2	2
117	в то	5	2
118	того как	1	2
119	никогда не	2	2
120	того в	1	2
121	во всем	1	2
122	связи с	3	2
123	в момент	2	2
124	начиная с	2	2
125	говорит о	1	2
126	в виду	4	2
127	то время	1	2
128	не с	1	2
129	еще в	1	2
130	жизнь и	1	2
131	с другой	1	2
132	все в	1	2
133	в форме	1	2
134	также в	1	2
135	в него	2	2
136	один из	1	2
137	сразу же	1	2
138	совсем не	1	2
139	в разные	1	2
140	и ее	2	2
141	где-нибудь на	1	2
142	каждый из	1	2
143	а с	2	2
144	прежде всего	1	2
145	тем это	1	2
146	н п	1	2
147	через него	1	2
148	из которых	1	2
149	ироническое отношение	1	2
150	могут быть	1	2
151	ее и	1	2
152	у некоторых	1	2
153	только как	1	2
154	из этого	1	2
155	в своих	4	2
156	это в	2	2
157	а между	1	1
158	отношение к	2	1
159	человека и	1	1
160	говорилось выше	1	1
161	к этой	1	1
162	и есть	1	1
163	которую они	1	1
164	не имело	1	1
165	можно говорить	1	1
166	этому же	1	1
167	на место	2	1
168	совпадает с	1	1
169	говорить о	1	1
170	один пример	1	1
171	в ней	4	1
172	только два	1	1
173	же на	1	1
174	если в	1	1
175	ответ на	2	1
176	он пишет	2	1
177	что они	1	1
178	к сожалению	1	1
179	отнюдь не	2	1
180	первый взгляд	1	1
181	независимо от	1	1
182	некоторое время	1	1
183	в своем	3	1
184	хотя и	1	1
185	и наконец	1	1
186	себе на	1	1
187	не являются	1	1
188	ясно почему	1	1
189	состояло в	1	1
190	в самом	1	1
191	уже в	4	1
192	выражение в	1	1
193	рассказ о	1	1
194	что к	2	1
195	тому же	1	1
196	как он	1	1
197	на то	3	1
198	но на	1	1
199	не могла	1	1
200	в нем	6	1
201	всех этих	1	1
202	воду в	1	1
203	это конечно	1	1
204	по его	1	1
205	в одну	2	1
206	и руки	1	1
207	дома и	1	1
208	не хуже	1	1
209	смеха и	1	1
210	из первых	1	1
211	о которой	2	1
212	ее тем	1	1
213	в развитии	1	1
214	такой же	1	1
215	можно найти	1	1
216	место в	2	1
217	на свою	1	1
218	были известны	1	1
219	своего рода	1	1
220	человеком и	1	1
221	ряда других	1	1
222	ее для	1	1
223	но они	1	1
224	однако в	1	1
225	что этот	1	1
226	из разных	1	1
227	возвращается к	1	1
228	что есть	3	1
229	что эта	1	1
230	как о	1	1
231	в русской	3	1
232	без ответа	1	1
233	следовательно и	1	1
234	ничего не	1	1
235	в полной	1	1
236	по своей	1	1
237	такая же	1	1
238	и его	3	1
239	же он	1	1
240	до того	1	1
241	этом отношении	1	1
242	в духе	1	1
243	во все	1	1
244	все ясно	1	1
245	сходство с	1	1
246	ничего общего	1	1
247	и это	2	1
248	же они?	1	1
249	совпадают с	1	1
250	не будет	1	1
251	свою очередь	1	1
252	полной уверенности	1	1
253	на основе	2	1
254	в в	2	1
255	м е	1	1
256	чем говорилось	1	1
257	в особенности	1	1
258	что у	3	1
259	так и	1	1
260	не пускает	1	1
261	том как	1	1
262	но у	1	1
263	он был	3	1
264	и вообще	1	1
265	с ним	4	1
266	можно объяснить	1	1
267	ему нужно	1	1
268	затем в	1	1
269	и во	3	1
270	о близости	1	1
271	нас в	1	1
272	каким-то образом	1	1
273	этот момент	2	1
274	в его	3	1
275	во всей	1	1
276	можно проследить	1	1
277	в ту	1	1
278	как правило	1	1
279	если это	1	1
280	в другую	1	1
281	хорошо знает	1	1
282	более что	1	1
283	в литературе	1	1
284	быть и	1	1
285	но с	1	1
286	землю при	1	1
287	в основном	1	1
288	что он	4	1
289	пришел к	2	1
290	ли он	1	1
291	от них	1	1
292	за которую	1	1
293	в эти	2	1
294	человека с	2	1
295	из которого	1	1
296	с нею	2	1
297	он одновременно	1	1
298	а это	1	1
299	при помощи	2	1
300	ни с	1	1
301	для него	2	1
302	всяком случае	1	1
303	в одном	1	1
304	в конце	3	1
305	ее не	1	1
306	к ним	2	1
307	пишет все	1	1
308	как при	1	1
309	как раз	2	1
310	не просто	1	1
311	в марте	1	1
312	рядом с	2	1
313	в другой	1	1
314	в это	2	1
315	нужно было	1	1
316	и даже	6	1
317	в н	1	1
318	из сибири	1	1
319	на стол	1	1
320	а п	1	1
321	целым рядом	1	1
322	под влиянием	1	1
323	уверенности что	1	1
324	эти слова	3	1
325	к себе	2	1
326	или по	1	1
