N	3gram	Tiupa_Anal_3	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	1	7
4	с одной стороны	2	6
5	в конечном счете	2	5
6	в том что	7	5
7	едва ли не	2	4
8	с другой стороны	5	4
9	с точки зрения	2	3
10	в этом отношении	3	3
11	в данном случае	3	3
12	в том чтобы	1	3
13	по отношению к	7	3
14	но с другой	1	3
15	речь идет о	1	3
16	на наш взгляд	2	3
17	о том что	5	2
18	присутствия в мире	1	2
19	не говоря уже	1	2
20	подобно тому как	2	2
21	в этом случае	1	2
22	говоря уже о	1	2
23	в русской литературе	3	2
24	по крайней мере	4	2
25	в равной степени	1	2
26	в свое время	2	2
27	тем не менее	2	2
28	в сравнении с	2	2
29	при всей своей	1	2
30	однако и в	1	1
31	и в сущности	1	1
32	в сочетании с	3	1
33	мы имеем дело	4	1
34	а не с	1	1
35	впервые в истории	1	1
36	в русской поэзии	2	1
37	как раз не	1	1
38	однако в то	2	1
39	себя в жизни	1	1
40	на первом слоге	1	1
41	я в мире	2	1
42	что он не	1	1
43	в отличие от	2	1
44	не менее чем	1	1
45	не могут быть	1	1
46	состоит не в	1	1
47	в сущности говоря	1	1
48	все той же	1	1
49	я из картины	1	1
50	и без остатка	1	1
51	до тех пор	1	1
52	в основе своей	1	1
53	в другом стихотворении	1	1
54	я на фоне	1	1
55	в году но	1	1
56	свое время от	1	1
57	в самом начале	1	1
58	но и его	1	1
59	именовал веком героев	1	1
60	гегель именовал веком	1	1
61	по сути своей	1	1
62	эстетическая ситуация художественного	1	1
63	является своего рода	1	1
64	в себя и	1	1
65	не более чем	2	1
66	я не мог	1	1
67	имеем дело с	1	1
68	не только как	1	1
69	не в том	1	1
70	внутренней и внешней	1	1
71	читателя зрителя слушателя	1	1
72	как нам представляется	2	1
73	того же автора	1	1
74	тогда как сам	1	1
75	при этом как	2	1
76	а в том	2	1
77	конечном счете в	1	1
78	все того же	1	1
79	в этом же	1	1
80	оказывается всего лишь	1	1
81	в свою очередь	4	1
82	на самом деле	1	1
83	в одном из	1	1
84	то есть в	1	1
85	не только не	3	1
86	и прежде всего	2	1
87	той или иной	3	1
88	как и сам	1	1
89	а с другой	1	1
90	в художественном мире	1	1
91	во многих отношениях	1	1
92	для того чтобы	1	1
93	в себе не	1	1
94	к имени в	1	1
