N	4gram	Losev_Prob_3	VerxiiNi
1	во всяком случае не	1	3
2	с этой точки зрения	1	2
3	бы то ни было	3	2
4	или по крайней мере	4	1
5	одного и того же	1	1
6	с первого взгляда может	1	1
7	в нашем смысле слова	1	1
8	еще и потому что	1	1
9	в том или ином	2	1
10	по крайней мере в	1	1
11	не имеет самостоятельного значения	1	1
12	сливаются в одно нераздельное	1	1
13	в одно нераздельное целое	1	1
14	значение в связи с	1	1
15	в связи с тем	1	1
16	и есть то самое	1	1
17	не указывает на то	1	1
18	только с первого взгляда	1	1
19	в данном случае мы	1	1
