N	3gram	Tiupa_Anal_3	Stilisti
1	в то же	3	9
2	в зависимости от	1	7
3	то же время	3	7
4	для того чтобы	1	7
5	с точки зрения	2	5
6	того или иного	1	5
7	ту или иную	1	4
8	в свою очередь	4	4
9	той или иной	3	4
10	на самом деле	1	3
11	в этом случае	1	3
12	не только в	1	3
13	внутренней и внешней	1	3
14	должны были бы	1	2
15	и той же	2	2
16	той же самой	1	2
17	тех случаях когда	1	2
18	в этом отношении	3	2
19	тот или иной	2	2
20	в значительной степени	2	2
21	не должно быть	1	2
22	как бы в	1	2
23	не может быть	1	2
24	в тех случаях	1	2
25	есть не что	1	2
26	и как бы	1	2
27	не что иное	1	2
28	о том что	5	2
29	что иное как	1	2
30	можно сказать что	2	2
31	в связи с	1	2
32	одной и той	2	2
33	и того же	3	1
34	иметь дело с	2	1
35	не в самом	2	1
36	не является ни	1	1
37	в иной ситуации	1	1
38	по отношению к	7	1
39	не говоря уже	1	1
40	в самом деле	1	1
41	и в особенности	1	1
42	прежде всего с	1	1
43	что могло бы	1	1
44	в дальнейшем мы	1	1
45	до сих пор	1	1
46	и есть не	1	1
47	и т.п не	1	1
48	несмотря на свою	1	1
49	на этот вопрос	1	1
50	и здесь мы	1	1
51	как и от	1	1
52	то у нас	1	1
53	по крайней мере	4	1
54	истории не только	1	1
55	слова были бы	1	1
56	что было бы	1	1
57	отнюдь не является	1	1
58	пока же мы	1	1
59	хотя бы и	1	1
60	в большинстве случаев	1	1
61	случаях когда мы	1	1
62	и т.д в	1	1
63	с целым рядом	1	1
64	может быть достаточно	1	1
65	тем не менее	2	1
66	дальнейшем мы будем	1	1
67	но и его	1	1
68	высказывания но они	1	1
69	усложняется тем что	1	1
70	по ту сторону	1	1
71	и все же	1	1
72	таким образом в	1	1
73	само по себе	1	1
74	между тем в	1	1
75	в самый момент	1	1
76	в конечном счете	2	1
77	не только не	3	1
78	вопрос о том	1	1
79	мысль о том	1	1
80	в русской литературе	3	1
81	с другой стороны	5	1
82	они как бы	1	1
83	одного и того	3	1
84	в том что	7	1
85	именно потому что	1	1
86	перед нами не	1	1
87	как и в	4	1
88	не нуждается в	1	1
89	на наш взгляд	2	1
90	тот факт что	1	1
