N	3gram	Propp_Isto_7	DiskursI
1	в том что	4	13
2	по отношению к	1	9
3	с одной стороны	4	9
4	тогда как в	1	5
5	о том что	5	5
6	далеко еще не	1	3
7	не может быть	3	3
8	с другой стороны	8	3
9	а не в	1	2
10	и в особенности	1	2
11	то же самое	1	2
12	а в том	2	2
13	в одной из	2	2
14	в данном случае	3	2
15	в том чтобы	2	2
16	не только в	5	2
17	состоит в том	1	2
18	более или менее	1	2
19	только в том	1	2
20	и может быть	1	1
21	в этом случае	1	1
22	на том что	1	1
23	в чистом виде	1	1
24	в которой он	1	1
25	о том как	1	1
26	он не может	1	1
27	с точки зрения	1	1
28	но далеко не	1	1
29	и должны быть	1	1
30	до сих пор	2	1
31	говорит о том	1	1
32	в какой ситуации	1	1
33	что он не	1	1
34	имеет отношение к	1	1
35	тех случаях когда	3	1
36	а иногда и	1	1
37	и что это	1	1
38	вместе с тем	1	1
39	ту или иную	1	1
40	только потому что	1	1
41	как мы видели	1	1
42	что во всех	1	1
43	не согласиться с	1	1
44	на передний план	1	1
45	к себе и	2	1
46	и потому что	1	1
47	во всех этих	6	1
48	имеем дело с	1	1
49	как в сказке	1	1
50	отца к сыну	3	1
51	в связи с	1	1
52	власти от тестя	1	1
53	за тридевять земель	5	1
54	на определенной стадии	1	1
55	а не от	1	1
56	до наших дней	1	1
57	в тех случаях	4	1
58	как в мифе	1	1
59	от отца к	3	1
60	не в качестве	1	1
61	от тестя к	2	1
62	в этом же	1	1
63	героя а его	1	1
64	так и в	2	1
65	в сказке но	1	1
66	и тем более	1	1
67	той ситуации в	1	1
68	то чего не	1	1
69	тем более не	1	1
70	тем не менее	4	1
71	но все же	2	1
72	дело не в	3	1
73	сказка никогда не	1	1
74	в большинстве случаев	1	1
75	как и в	2	1
76	и он мог	1	1
77	тестя к зятю	2	1
78	ситуации в которой	1	1
