N	2gram	Losev_Vesc_1	Problemy
1	и в	21	34
2	и не	29	29
3	как бы	12	27
4	что он	1	23
5	в его	2	22
6	к другому	1	20
7	в нем	2	19
8	может быть	16	19
9	не может	17	19
10	и все	5	19
11	как и	8	18
12	к себе	4	17
13	в этом	4	16
14	но в	5	16
15	и его	2	16
16	все это	5	16
17	и с	8	15
18	что я	24	15
19	прежде всего	9	15
20	то же	6	14
21	с самим	4	14
22	к нему	1	14
23	самом деле	4	13
24	для него	4	13
25	и к	1	12
26	в то	3	12
27	потому что	16	12
28	но и	18	12
29	т е	55	12
30	на самом	1	11
31	в сущности	4	11
32	вовсе не	10	11
33	себя самого	2	11
34	то что	27	11
35	не только	36	10
36	слова и	5	10
37	а я	1	10
38	самим собою	2	9
39	не в	5	9
40	в отношении	4	9
41	а не	19	9
42	и т	19	8
43	никогда не	2	8
44	с ним	8	8
45	в другом	2	8
46	в самом	9	8
47	себя и	4	8
48	так же	1	8
49	что же	8	8
50	и для	9	8
51	точки зрения	5	8
52	я не	4	7
53	знает и	2	7
54	как будто	1	7
55	я сам	3	7
56	как мы	4	7
57	слова в	2	7
58	и даже	6	7
59	что не	5	7
60	с которым	1	7
61	все же	4	7
62	что в	9	7
63	мы уже	3	6
64	с его	1	6
65	с собою	6	6
66	отношение к	1	6
67	что они	6	6
68	в пределах	1	6
69	что у	5	6
70	от себя	1	6
71	у меня	3	6
72	для себя	5	6
73	не хочу	1	6
74	так и	3	6
75	в себе	14	6
76	только в	14	6
77	с ними	3	6
78	в чем	6	5
79	и наконец	1	5
80	и у	3	5
81	что это	13	5
82	и вот	2	5
83	с тем	5	5
84	в слове	2	5
85	он и	1	5
86	не мог	1	5
87	я ведь	1	5
88	в конце	2	5
89	таким образом	8	5
90	к тому	3	5
91	это я	4	5
92	и что	15	5
93	что и	3	5
94	это не	5	5
95	все время	1	5
96	того что	8	5
97	и так	1	5
98	так что	5	5
99	из них	4	5
100	всяком случае	2	5
101	в одном	2	5
102	себе и	1	5
103	когда я	5	5
104	и от	3	5
105	мы должны	2	5
106	хотя бы	6	5
107	а в	4	5
108	во всяком	3	5
109	из его	2	4
110	с таким	1	4
111	собою и	4	4
112	еще не	8	4
113	бы то	4	4
114	но не	5	4
115	бы и	5	4
116	все эти	3	4
117	но на	2	4
118	при этом	1	4
119	на этом	2	4
120	то ни	4	4
121	что все	2	4
122	его в	2	4
123	с другими	8	4
124	и утверждения	1	4
125	переходим к	1	4
126	ни в	1	4
127	все равно	2	4
128	с точки	3	4
129	но это	10	4
130	меня не	2	4
131	он с	1	4
132	ничего не	3	4
133	как раз	9	4
134	его с	1	4
135	и это	14	4
136	если бы	5	4
137	на вопрос	1	4
138	и прежде	1	4
139	только на	3	4
140	в виде	1	4
141	в общем	1	4
142	так как	7	4
143	не о	1	4
144	у него	2	4
145	на меня	3	4
146	даже и	4	4
147	с другой	6	4
148	тем что	2	4
149	вместе с	1	4
150	да и	3	4
151	как к	4	4
152	из своего	1	4
153	я в	2	4
154	ни было	4	4
155	бы его	1	4
156	и то	10	3
157	ведь и	5	3
158	бы уже	1	3
159	так чтобы	2	3
160	говорить о	6	3
161	как я	4	3
162	в виду	2	3
163	в ней	12	3
164	нет и	1	3
165	хотя и	4	3
166	и как	8	3
167	стиль его	1	3
168	уже в	1	3
169	ее как	2	3
170	к одному	3	3
171	их в	3	3
172	тут не	5	3
173	я бы	1	3
174	знает что	2	3
175	это было	1	3
176	его и	2	3
177	а что	1	3
178	далеко не	1	3
179	мы видели	1	3
180	должно быть	6	3
181	раз и	1	3
182	в своей	5	3
183	в котором	3	3
184	не менее	3	3
185	но он	2	3
186	по крайней	4	3
187	по себе	13	3
188	как можно	3	3
189	том что	8	3
190	во всем	1	3
191	есть только	7	3
192	с ее	6	3
193	в ее	7	3
194	говорили что	1	3
195	для этого	4	3
196	сводится к	2	3
197	и во	3	3
198	крайней мере	4	3
199	в него	1	3
200	но так	1	3
201	в том	8	3
202	совсем другое	1	3
203	нуждается в	1	3
204	от другого	1	3
205	к самому	1	3
206	а с	3	3
207	своего собственного	1	3
208	вот я	1	3
209	но для	2	3
210	же я	1	3
211	если не	3	3
212	сознания и	1	3
213	бы в	5	3
214	конце концов	2	3
215	только что	2	3
216	только с	3	3
217	другой стороны	2	3
218	жизни и	2	3
219	я и	6	2
220	весь стиль	1	2
221	себя как	2	2
222	это и	6	2
223	и этот	2	2
224	той же	2	2
225	для его	1	2
226	себе как	2	2
227	и тут	3	2
228	та же	1	2
229	еще до	1	2
230	мы и	1	2
231	своему смыслу	1	2
232	кто же	1	2
233	того же	5	2
234	и он	1	2
235	это действительно	1	2
236	во всех	2	2
237	отличие от	1	2
238	сама по	3	2
239	этого диалога	1	2
240	с этим	3	2
241	в своем	6	2
242	когда он	1	2
243	скажете что	1	2
244	не кажется	1	2
245	уже с	1	2
246	к чему	1	2
247	в которой	1	2
248	раз в	1	2
249	тому же	1	2
250	вообще не	2	2
251	т д	19	2
252	всех этих	1	2
253	внутреннего и	4	2
254	и если	2	2
255	друг с	1	2
256	подобно тому	4	2
257	такого же	1	2
258	же не	1	2
259	когда уже	1	2
260	было в	1	2
261	было бы	14	2
262	только себя	1	2
