N	3gram	Losev_Dial_4	Narrotol
1	в том что	9	8
2	в данном случае	1	6
3	не только в	1	6
4	в отличие от	1	5
5	о том что	1	4
6	тем не менее	2	4
7	той или иной	1	3
8	то же время	6	3
9	можно сказать что	1	3
10	в то же	6	3
11	с точки зрения	9	2
12	мы имеем дело	1	2
13	подобно тому как	4	2
14	все те же	1	2
15	и не может	1	2
16	точно так же	2	2
17	не только не	1	2
18	не может быть	6	2
19	как бы в	1	2
20	в виду и	1	1
21	что иное как	8	1
22	оба эти момента	1	1
23	не может не	1	1
24	в обоих случаях	1	1
25	в чем не	1	1
26	то что я	1	1
27	выше я уже	1	1
28	не претендует на	1	1
29	в данный момент	2	1
30	в чем же	2	1
31	и не думал	1	1
32	иметь в виду	2	1
33	ничего не объясняет	1	1
34	в этом смысле	4	1
35	мы всегда можем	1	1
36	никогда не будет	1	1
37	по сравнению с	2	1
38	и в то	2	1
39	в зависимости от	1	1
40	не входит в	1	1
41	того и другого	1	1
42	что с точки	1	1
43	во всей его	1	1
44	может быть только	1	1
45	и в сердце	1	1
46	то что было	1	1
47	так или иначе	1	1
48	а стало быть	2	1
49	а не только	1	1
50	вовсе и не	1	1
51	может варьироваться на	1	1
52	стало быть и	1	1
53	и все его	1	1
54	и не могли	1	1
55	по природе своей	1	1
56	не в том	4	1
57	в связи с	1	1
58	в нем не	1	1
59	собой один из	1	1
60	я не могу	1	1
61	этой точки зрения	2	1
62	и стало быть	4	1
63	есть не что	5	1
64	которое может быть	1	1
65	ни в чем	1	1
66	с этой точки	2	1
67	и не претендует	1	1
68	картина мира и	1	1
69	в основе своей	1	1
70	прийти в себя	1	1
71	не говорит об	1	1
72	не что иное	8	1
73	оно и не	1	1
74	не понимают что	1	1
75	для того чтобы	5	1
76	с той или	1	1
