N	2gram	Trubetskoy_1	slovoVRo
1	и в	26	39
2	может быть	10	37
3	и его	1	33
4	то есть	4	26
5	не только	10	24
6	и не	8	22
7	но и	9	21
8	не может	4	20
9	в нем	4	19
10	в этом	15	16
11	все это	6	16
12	так и	6	15
13	а не	5	14
14	отличие от	1	13
15	как в	1	13
16	в процессе	2	13
17	во всех	2	12
18	в отличие	1	12
19	и с	10	9
20	не в	2	9
21	таким образом	22	8
22	себя в	1	8
23	прежде всего	2	8
24	точки зрения	13	8
25	еще не	2	7
26	с его	2	7
27	при этом	3	7
28	в этих	4	7
29	для него	3	7
30	с ним	1	7
31	никогда не	5	7
32	могут быть	1	7
33	в его	5	7
34	языка как	1	7
35	и даже	3	7
36	и потому	6	7
37	как бы	12	7
38	в сущности	1	6
39	но не	8	6
40	в своем	3	6
41	все же	6	6
42	и к	5	6
43	но в	7	6
44	все эти	6	6
45	так сказать	1	6
46	в них	2	6
47	в слове	1	6
48	как и	1	6
49	в значительной	3	6
50	язык в	1	6
51	там где	1	6
52	жизни и	2	6
53	человека в	1	5
54	это не	1	5
55	том что	7	5
56	по себе	1	5
57	не могут	2	5
58	но все	7	5
59	той или	2	5
60	мира и	1	5
61	с другой	8	5
62	один из	2	5
63	в том	11	5
64	с ними	1	5
65	с одной	7	5
66	конечно не	2	5
67	уже не	3	5
68	и их	1	5
69	одной стороны	7	5
70	или иной	2	5
71	и для	5	5
72	только в	4	5
73	и все	2	5
74	и наконец	2	5
75	отношения к	1	4
76	языку и	1	4
77	его не	2	4
78	этим определяется	1	4
79	и на	2	4
80	по отношению	1	4
81	отношение к	5	4
82	связанные с	7	4
83	всех этих	1	4
84	то же	4	4
85	его в	1	4
86	входит в	1	4
87	с другими	4	4
88	на почве	1	4
89	ни в	1	4
90	в отношении	6	4
91	не менее	3	4
92	в то	4	4
93	же время	2	4
94	что оно	4	4
95	здесь не	1	4
96	для этого	2	4
97	наконец в	2	4
98	дело с	1	4
99	для всех	2	4
100	и других	1	4
101	так как	9	4
102	с помощью	1	4
103	и мир	2	4
104	в той	1	4
105	в смысле	4	4
106	а в	4	4
107	слова с	1	4
108	отношению к	3	4
109	в таком	3	4
110	той же	1	3
111	человека и	1	3
112	в чем	1	3
113	и как	3	3
114	не приходится	1	3
115	бы и	1	3
116	с их	1	3
117	борьбы с	1	3
118	на этом	1	3
119	не с	2	3
120	лишь в	5	3
121	с точки	6	3
122	и остается	1	3
123	его от	2	3
124	связи с	9	3
125	этом отношении	2	3
126	в ней	1	3
127	в состав	1	3
128	а также	2	3
129	к нему	7	3
130	между тем	2	3
131	что и	6	3
132	быть и	2	3
133	всех его	1	3
134	у него	1	3
135	связан с	2	3
136	в свою	2	3
137	связано с	2	3
138	смысла и	1	3
139	как к	1	3
140	и от	4	3
141	но это	1	3
142	что в	9	3
143	из себя	2	3
144	хотя бы	3	3
145	сказать что	2	3
146	одновременно и	2	3
147	во всяком	6	3
148	можно говорить	1	2
149	одним из	2	2
150	в сфере	1	2
151	языка с	1	2
152	каждом шагу	1	2
153	это и	1	2
154	мы уже	1	2
155	мы не	1	2
156	именно к	1	2
157	с ее	1	2
158	на них	1	2
159	далее в	1	2
160	не был	1	2
161	в новом	2	2
162	связи и	1	2
163	с этим	1	2
164	кроме того	1	2
165	более или	5	2
166	в нашем	1	2
167	в себе	6	2
168	роль в	1	2
169	на его	1	2
170	а просто	1	2
171	он не	4	2
172	в xvii	1	2
173	в виде	4	2
174	борьбу с	1	2
175	и более	1	2
176	и связанные	2	2
177	из него	2	2
178	людей и	2	2
179	факт что	1	2
180	значение в	1	2
181	в свой	1	2
182	далеко не	4	2
183	мы видели	2	2
184	чем в	1	2
185	или менее	5	2
186	и другие	3	2
187	и при	3	2
188	в их	1	2
189	на каждом	1	2
190	но эта	1	2
191	которые в	2	2
192	однако в	1	2
193	даже в	1	2
194	благодаря этой	1	2
195	и проч	2	2
196	тогда когда	2	2
197	того как	1	2
198	того чтобы	5	2
199	в одном	3	2
200	с одним	2	2
201	языка это	1	2
202	в области	9	2
203	систем в	1	2
204	отличается от	2	2
205	и другим	1	2
206	и образ	1	2
207	свою очередь	1	2
208	без всякого	1	2
209	в себя	1	2
210	как с	1	2
211	те же	2	2
212	особенно в	2	2
213	и здесь	2	2
214	о том	6	2
215	притом в	1	2
216	может не	1	2
217	этот второй	1	2
218	ни к	1	2
219	что он	4	2
220	пор не	1	2
221	всяком случае	6	2
222	со всеми	2	2
223	уже в	2	2
224	параллельно с	1	2
225	для того	5	2
226	то что	7	2
227	не было	2	2
228	до сих	5	2
229	от подлинной	2	2
230	именно в	2	2
231	а именно	1	2
232	как о	3	2
233	не всегда	2	2
234	в одно	2	2
235	в связи	3	2
236	эти слова	1	2
237	вместе с	15	2
238	и особенно	2	2
239	требует от	2	2
240	в данном	1	2
241	тот факт	1	2
242	и нет	3	2
243	сих пор	5	2
244	известной степени	1	2
245	не знаем	1	2
246	в результате	3	2
247	лишь о	1	2
248	все они	1	2
249	обстоит дело	1	2
