N	3gram	Tiupa_Vved_1	SlovoVZh
1	по отношению к	7	11
2	не может быть	3	7
3	можно сказать что	1	5
4	как если бы	1	4
5	в том что	3	4
6	тем не менее	3	3
7	это не так	1	2
8	на самом деле	3	2
9	с другой стороны	1	2
10	то же самое	1	2
11	одной стороны и	1	2
12	в зависимости от	1	2
13	до известной степени	1	2
14	в данном случае	6	2
15	в настоящее время	1	2
16	с одной стороны	5	2
17	один и тот	1	1
18	таким образом для	1	1
19	ключ как к	1	1
20	и в этом	1	1
21	нуждаются в особых	1	1
22	имеем дело с	2	1
23	в нашем случае	2	1
24	на второй план	1	1
25	все же не	1	1
26	мы имеем дело	3	1
27	в этом направлении	1	1
28	более или менее	2	1
29	в науке о	1	1
30	во всяком случае	1	1
31	одна и та	1	1
32	в этом смысле	1	1
33	но если бы	1	1
34	за ее пределы	1	1
35	герой нашего времени	1	1
36	в частности в	2	1
37	а не к	1	1
38	и точек зрения	1	1
39	могут быть только	1	1
40	сами по себе	1	1
41	то что мы	1	1
42	в свою очередь	4	1
43	но и в	2	1
44	и та же	1	1
45	науке о литературе	1	1
46	о том что	4	1
47	в этом отношении	4	1
48	по аналогии с	1	1
49	в конечном счете	1	1
50	и прежде всего	1	1
51	можно было бы	2	1
52	отношению к ним	1	1
53	то же время	3	1
54	подобно тому как	2	1
55	в основе своей	1	1
56	в противном случае	1	1
57	мы видели в	1	1
58	может быть только	1	1
59	по крайней мере	1	1
60	в то же	4	1
61	случае мы имеем	1	1
62	отнюдь не является	1	1
63	если нам удалось	1	1
64	так и к	1	1
65	в значительной степени	1	1
66	к которой принадлежит	1	1
67	как и в	2	1
68	и более глубокую	1	1
69	к тому же	4	1
70	в высшей степени	2	1
71	в том же	1	1
72	сохраняет при этом	1	1
73	и тот же	1	1
