N	3gram	Bakhtin_KF_1	Marksizm
1	с точки зрения	9	20
2	не может быть	11	13
3	бы то ни	2	8
4	то ни было	2	8
5	в настоящее время	1	6
6	и того же	1	5
7	одного и того	1	5
8	то же самое	1	3
9	может быть и	1	3
10	и тот же	1	3
11	один и тот	1	3
12	в смысле совокупности	1	3
13	то же время	2	3
14	в первом случае	1	3
15	в ее целом	2	3
16	в большинстве случаев	1	3
17	в то же	2	3
18	для того чтобы	1	3
19	в том что	2	3
20	нет и не	1	2
21	место в бытии	2	2
22	в данный момент	3	2
23	в каком бы	1	2
24	только при этом	1	2
25	со всех сторон	1	2
26	как если бы	1	2
27	и пр и	1	2
28	слова и его	1	2
29	и этот момент	1	2
30	может быть понято	1	2
31	но в то	1	2
32	во всяком случае	1	2
33	смысле этого слова	1	2
34	отсюда следует что	1	2
35	при этом условии	1	2
36	вопрос о том	2	2
37	мы не найдем	1	2
38	по отношению к	22	2
39	оно ни было	1	2
40	в свою очередь	1	2
41	в этом смысле	3	2
42	какого бы то	1	2
43	тем не менее	2	2
44	то все же	1	1
45	общего не имеют	1	1
46	а следовательно и	1	1
47	или иную эпоху	1	1
48	в ней в	1	1
49	и есть его	1	1
50	между прочим и	1	1
51	хотя бы только	1	1
52	равно как и	1	1
53	он не дает	1	1
54	как бы ни	1	1
55	и для него	2	1
56	равно себе самому	1	1
57	проникают друг друга	1	1
58	места в бытии	2	1
59	оно должно быть	1	1
60	бы ни была	1	1
61	каком бы то	1	1
62	хотя бы и	1	1
63	по отношению ко	4	1
64	и т.п но	1	1
65	не было бы	3	1
66	независимо от того	1	1
67	в котором мы	3	1
68	в основе своей	1	1
69	он ни был	2	1
70	лишь в процессе	1	1
71	может быть только	7	1
72	нет места для	1	1
73	ту или иную	1	1
74	если мы возьмем	1	1
75	в значительной степени	1	1
76	в едином и	4	1
77	лежит в основе	1	1
78	все остальное в	1	1
79	не является только	1	1
80	ничего общего не	2	1
81	не зависит от	1	1
82	может быть дано	1	1
83	из которых слагается	1	1
84	и как бы	1	1
85	может быть понята	1	1
86	это не значит	1	1
87	и та же	1	1
88	данного момента и	1	1
89	одна и та	1	1
90	ни в один	1	1
91	а не в	2	1
92	в его целом	10	1
93	вместо того чтобы	1	1
94	сознания и не	1	1
95	она могла бы	2	1
96	нет подхода к	1	1
97	в моем сознании	2	1
98	говорить о примате	1	1
99	само по себе	1	1
100	отношению ко всякому	1	1
101	что и для	1	1
102	будем говорить в	1	1
103	целостного и единого	1	1
104	не может стать	1	1
105	и в результате	1	1
106	тоже только в	1	1
107	могла бы и	1	1
108	в другом случае	1	1
109	и противоречие между	1	1
110	в данном контексте	1	1
111	к тому что	1	1
112	на самом деле	3	1
113	в ту или	1	1
114	не имеют с	1	1
115	может быть в	3	1
116	друг для друга	1	1
117	момент в нем	1	1
118	той или иной	2	1
119	и вопрос о	1	1
