N	2gram	Nazirov_Tr_1	Poddanst
1	не только	8	17
2	и в	18	14
3	и не	7	12
4	в области	1	11
5	в этом	9	10
6	но в	6	9
7	то же	5	9
8	в том	2	9
9	хотя бы	1	8
10	только в	1	7
11	в то	5	7
12	же время	6	7
13	в ней	1	6
14	xix века	1	6
15	но и	4	6
16	быть может	1	6
17	может быть	7	5
18	а я	5	5
19	не в	2	5
20	и о	1	5
21	на путях	1	4
22	а также	1	4
23	в своем	3	4
24	как бы	7	4
25	и если	1	4
26	том что	4	4
27	не может	5	4
28	и потому	1	4
29	в котором	1	4
30	по себе	1	4
31	что в	4	4
32	то что	4	4
33	и т	1	3
34	столь же	2	3
35	между тем	1	3
36	это не	5	3
37	и как	3	3
38	с ними	1	3
39	с одной	1	3
40	в себе	4	3
41	в нем	4	3
42	в россии	1	3
43	заключается в	1	3
44	прежде всего	4	3
45	с тем	2	3
46	но не	1	3
47	наряду с	1	3
48	могут быть	1	3
49	т е	1	3
50	тем самым	3	3
51	потому что	2	3
52	я и	1	3
53	и это	2	2
54	например в	1	2
55	в сфере	1	2
56	в ее	2	2
57	и есть	1	2
58	в мире	3	2
59	было в	2	2
60	начала и	1	2
61	по сравнению	1	2
62	в xix	1	2
63	во всех	1	2
64	в общем	1	2
65	отнюдь не	3	2
66	в русском	2	2
67	и дети	2	2
68	и пусть	1	2
69	xix век	1	2
70	того что	1	2
71	есть в	1	2
72	в его	3	2
73	как никогда	1	2
74	в виде	2	2
75	не к	1	2
76	и вот	1	2
77	по-видимому не	1	2
78	и с	7	2
79	может ли	1	2
80	именно в	1	2
81	iii в	3	2
82	xix веке	2	2
83	в них	1	2
84	не было	1	2
85	а не	1	2
86	должно быть	3	2
87	более чем	1	2
88	не столько	1	2
89	не менее	1	2
90	все это	4	2
91	одна из	2	2
92	мысль о	1	2
93	для нас	1	2
94	в частности	2	2
95	в недрах	1	2
96	в применении	1	1
97	также что	1	1
98	это значит?	1	1
99	и то	2	1
100	тем и	1	1
101	и поныне	1	1
102	во времена	1	1
103	смысл этого	1	1
104	из предшествующего	1	1
105	к жизни	5	1
106	на две	1	1
107	к смерти	1	1
108	применении к	1	1
109	должна быть	1	1
110	на нее	1	1
111	за то	1	1
112	и политических	1	1
113	в и	1	1
114	по природе	1	1
115	в борьбе	1	1
116	еще в	2	1
117	какой она	1	1
118	что уже	1	1
119	в эпоху	1	1
120	на милость	1	1
121	государства но	1	1
122	ними как	1	1
123	тем чем	1	1
124	не вполне	1	1
125	на себя	1	1
126	с ее	3	1
127	злого начала	1	1
128	и ее	2	1
129	и здесь	2	1
130	подчеркнуть что	1	1
131	и что	4	1
132	литературы и	1	1
133	еще не	4	1
134	и на	7	1
135	она всегда	1	1
136	он был	2	1
137	с того	1	1
138	без которой	1	1
139	и который	1	1
140	ответа на	1	1
141	с его	2	1
142	восходит к	1	1
143	связь между	1	1
144	россии эта	1	1
145	что и	2	1
146	отличие от	2	1
147	не просто	2	1
148	от социализма	1	1
149	есть с	1	1
150	и достоевский	1	1
151	в истории	1	1
152	вот как	1	1
153	– но	1	1
154	на общество	1	1
155	все же	5	1
156	власть и	1	1
157	у в	1	1
158	иногда значит	1	1
159	мы видим	1	1
160	опирающаяся на	1	1
161	в самом	2	1
162	в условиях	1	1
163	но как	1	1
164	в которой	1	1
165	бы и	2	1
166	что это	5	1
167	вопрос об	1	1
168	представляет собой	1	1
169	именно на	1	1
170	человека с	1	1
171	и любви	1	1
172	только один	1	1
173	уже в	3	1
174	только на	1	1
175	если он	1	1
176	не могла	1	1
177	только к	2	1
178	одно из	1	1
179	не как	1	1
180	и должна	1	1
181	к ним	1	1
182	друг друга	2	1
183	века в	1	1
184	и по	1	1
185	с собой	1	1
186	от нее	1	1
187	а затем	1	1
188	развития в	1	1
189	его в	2	1
190	русской интеллигенции	1	1
191	в душе	2	1
192	отдельные черты	1	1
193	времени так	1	1
194	полноте и	1	1
195	что не	1	1
196	в это	2	1
197	нигилизма в	1	1
198	обратиться к	1	1
199	на свои	1	1
200	где он	1	1
201	в этой	4	1
202	как и	5	1
203	с которым	1	1
204	говорится о	1	1
205	и я	2	1
206	ведет к	1	1
207	в развитии	1	1
208	когда в	1	1
209	и еще	1	1
210	первый вариант	1	1
211	в ходе	2	1
212	и при	1	1
213	так же	4	1
214	и особенно	1	1
215	ощущение что	1	1
216	всяком случае	1	1
217	что именно	1	1
218	в отличие	2	1
219	в данном	2	1
220	вопрос о	2	1
221	сравнению с	1	1
222	из авторов	1	1
223	эти черты	1	1
224	и судьбы	1	1
225	того кто	1	1
226	распадается на	1	1
227	и великого	1	1
228	в основном	3	1
229	xviii века	1	1
230	стремление к	1	1
231	что эта	1	1
232	она не	1	1
233	что с	3	1
234	входят в	1	1
235	она должна	2	1
236	самые страшные	1	1
