N	3gram	Tiupa_Teor_1	Vladivir
1	о том что	1	7
2	в том что	8	7
3	дело в том	1	4
4	в этом смысле	2	4
5	то же время	5	4
6	в то же	5	4
7	том что в	1	3
8	более или менее	2	3
9	и потому что	1	3
10	с другой стороны	5	3
11	не может быть	4	3
12	и в то	1	2
13	в то время	1	2
14	еще и потому	1	2
15	можно сказать что	2	2
16	тем не менее	3	2
17	для того чтобы	1	2
18	я никогда не	1	1
19	как это делает	1	1
20	чего бы то	1	1
21	что иное как	1	1
22	на первом слоге	1	1
23	с ними и	1	1
24	мы имеем дело	2	1
25	так и не	4	1
26	так и его	2	1
27	в таких случаях	1	1
28	бы то ни	1	1
29	только то что	1	1
30	другой стороны не	1	1
31	что даже в	1	1
32	одно и то	1	1
33	дело не в	1	1
34	субъект и объект	1	1
35	как раз в	1	1
36	содержит в себе	1	1
37	здесь мы имеем	1	1
38	но в то	1	1
39	то ни было	1	1
40	с одной стороны	2	1
41	в связи с	1	1
42	и то же	1	1
43	не содержит в	1	1
44	а с другой	2	1
45	имеем дело с	1	1
46	так или иначе	4	1
47	ни к какой	1	1
48	все что может	1	1
49	заключать в себе	1	1
50	при этом в	1	1
51	а в том	1	1
52	есть не что	1	1
53	заключается в том	1	1
54	в свою очередь	2	1
55	но он не	1	1
56	и теперь в	1	1
57	и тем самым	2	1
58	не только не	2	1
59	но он в	1	1
60	в известной степени	1	1
61	искусства и религии	1	1
62	его личности с	1	1
63	к тому что	2	1
64	не что иное	1	1
65	в сравнении с	1	1
66	никогда не стремился	1	1
67	указывает на его	1	1
