N	4gram	Tiupa_Anal_1	Problemy
1	в то же время	6	10
2	в той или иной	3	4
3	но в то же	2	4
4	одно и то же	1	3
5	бы то ни было	3	3
6	той или иной форме	1	2
7	чего бы то ни	1	2
8	одна и та же	1	2
9	и к тому же	2	2
10	одного и того же	2	1
11	в большей или меньшей	1	1
12	но не может быть	1	1
13	в том или ином	2	1
14	большей или меньшей степени	1	1
15	в том что он	2	1
16	он в то же	1	1
17	то же время он	1	1
18	и вместе с тем	1	1
19	во всей своей полноте	1	1
20	а в то же	2	1
21	или во всяком случае	1	1
