N	2gram	Medvedev_V_1	PoTuStor
1	и в	2	16
2	в этом	1	9
3	и только	1	9
4	и его	1	8
5	самом деле	1	6
6	все это	1	4
7	только в	1	4
8	так как	1	4
9	и не	1	4
10	хотя бы	1	4
11	том что	2	3
12	по крайней	1	3
13	крайней мере	1	3
14	в том	2	3
15	даже не	1	3
16	в самом	1	2
17	то же	1	2
18	сводится к	1	2
19	все то	1	2
20	в частности	1	2
21	но это	1	2
22	к этому	1	2
23	говоря о	1	1
24	и то	1	1
25	социальных отношений	1	1
26	я не	1	1
27	столь же	1	1
28	же с	1	1
29	к чему	1	1
30	то я	1	1
31	главным образом	1	1
32	для них	1	1
33	не будем	1	1
34	и почти	1	1
35	дело в	1	1
36	сводится в	1	1
37	и мало	1	1
38	в другом	1	1
39	и т.д	1	1
40	на одном	1	1
41	все время	1	1
42	ведь это	1	1
43	в конце	2	1
44	этом и	1	1
45	по поводу	1	1
