N	3gram	Bakhtin_Pr_3	Otkroven
1	о великом инквизиторе	1	6
2	записок из подполья	1	5
3	к человеку и	1	4
4	в записках из	1	3
5	в преступлении и	2	3
6	в нем нет	3	3
7	преступлении и наказании	2	3
8	записках из подполья	1	3
9	а не в	1	2
10	это было бы	1	2
11	легенда о великом	1	2
12	не может быть	1	2
13	как и все	1	2
14	но и в	1	2
15	до самого конца	1	2
16	и никогда не	1	2
17	смысле этого слова	1	1
18	о бессмертии души	1	1
19	по сравнению с	4	1
20	хотя и не	1	1
21	достоевского и в	2	1
22	всего творчества достоевского	2	1
23	все еще не	1	1
24	в эпоху возрождения	5	1
25	прежде всего в	1	1
26	достоевский как художник	1	1
27	друг к другу	1	1
28	человеческой природы с	1	1
29	записки из подполья	2	1
30	в его жизни	1	1
31	и это все	1	1
32	всех героев достоевского	1	1
33	в которую он	1	1
34	и не может	1	1
35	во всяком случае	1	1
36	после того как	1	1
37	к творчеству достоевского	1	1
38	и дмитрия карамазова	1	1
39	о том что	2	1
40	в этом отношении	1	1
41	в вечном муже	1	1
42	и прежде всего	5	1
43	каждом из них	2	1
44	в том что	3	1
45	он ни был	1	1
46	и заключается в	1	1
47	бы он ни	1	1
48	и то что	1	1
49	нужно отметить что	1	1
50	в каждом из	3	1
51	в братьях карамазовых	2	1
52	в этих романах	1	1
53	начиная с записок	1	1
54	с записок из	1	1
55	и даже когда	1	1
56	как и в	3	1
57	человека к человеку	1	1
58	но к этому	1	1
